time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,109.67500,110.09500,109.67500,110.07700,0,110.99881,110.98840,110.98975,20.04351,48.70661,,,,
2026-03-02T07:15:00+09:00,110.07700,110.29300,110.03900,110.19600,0,110.99293,110.97916,110.94775,25.95306,46.89645,,,,
2026-03-02T07:30:00+09:00,110.19600,110.26200,110.08900,110.15700,0,110.98698,110.96951,110.90445,25.29327,45.25150,,,,
2026-03-02T07:45:00+09:00,110.15700,110.21800,110.04300,110.04900,0,110.98031,110.95773,110.85485,23.51076,43.93974,,,,
2026-03-02T08:00:00+09:00,110.04900,110.73000,110.04800,110.54400,0,110.97602,110.95405,110.83045,43.25091,44.04956,,,,
2026-03-02T08:15:00+09:00,110.54400,110.65300,110.51600,110.55700,0,110.97183,110.95040,110.80740,43.66213,43.74001,,,,
2026-03-02T08:30:00+09:00,110.55700,110.63500,110.50700,110.60400,0,110.96771,110.94707,110.78465,45.20799,43.07872,,,,
2026-03-02T08:45:00+09:00,110.60400,110.62600,110.47200,110.51800,0,110.96351,110.94152,110.75850,42.88899,42.05028,,,,
2026-03-02T09:00:00+09:00,110.51800,110.66300,110.45600,110.59800,0,110.96002,110.93515,110.73785,45.68037,41.48401,,,,
2026-03-02T09:15:00+09:00,110.59800,110.62000,110.44500,110.47900,0,110.95632,110.92751,110.71495,42.36347,40.18771,,,,
2026-03-02T09:30:00+09:00,110.47900,110.68400,110.46900,110.60800,0,110.95298,110.92168,110.69860,46.86740,39.71740,,,,
2026-03-02T09:45:00+09:00,110.60800,110.81800,110.60800,110.80000,0,110.95069,110.91873,110.68895,52.78166,40.01296,,,,
2026-03-02T10:00:00+09:00,110.80000,111.22500,110.79200,111.13000,0,110.94987,110.92019,110.69225,60.84822,40.47300,,,,
2026-03-02T10:15:00+09:00,111.13000,111.13400,110.94200,110.96300,0,110.94839,110.91837,110.68545,55.66557,41.00124,,,,
2026-03-02T10:30:00+09:00,110.96300,111.05900,110.95000,111.02100,0,110.94756,110.91775,110.68335,57.03431,43.64344,,,,
2026-03-02T10:45:00+09:00,111.02100,111.07000,110.94600,111.01300,0,110.94666,110.91673,110.67630,56.77395,45.84493,,,,
2026-03-02T11:00:00+09:00,111.01300,111.08300,110.94100,110.98200,0,110.94560,110.91405,110.67145,55.71262,48.01774,,,,
2026-03-02T11:15:00+09:00,110.98200,111.02200,110.88200,110.88600,0,110.94414,110.91036,110.66475,52.44311,50.08434,,,,
2026-03-02T11:30:00+09:00,110.88600,111.10500,110.86800,111.09400,0,110.94367,110.90916,110.66460,58.17088,51.15005,,,,
2026-03-02T11:45:00+09:00,111.09400,111.11400,111.00000,111.06000,0,110.94300,110.90855,110.66680,56.96316,52.10012,,,,
2026-03-02T12:00:00+09:00,111.06000,111.15700,111.02000,111.13100,0,110.94248,110.90780,110.71950,58.88292,53.07690,,,,
2026-03-02T12:15:00+09:00,111.13100,111.19600,111.08400,111.14200,0,110.94239,110.90876,110.76680,59.18668,54.24102,,,,
2026-03-02T12:30:00+09:00,111.14200,111.16700,111.05900,111.14800,0,110.94247,110.90984,110.81635,59.36302,55.21835,,,,
2026-03-02T12:45:00+09:00,111.14800,111.19400,111.09800,111.13400,0,110.94252,110.90985,110.87060,58.72541,56.38706,,,,
2026-03-02T13:00:00+09:00,111.13400,111.19900,111.11700,111.13000,0,110.94287,110.90980,110.89990,58.53197,57.22025,,,,
2026-03-02T13:15:00+09:00,111.13000,111.14700,110.95500,111.12200,0,110.94306,110.91040,110.92815,58.11963,57.60153,,,,
2026-03-02T13:30:00+09:00,111.12200,111.13700,111.04200,111.06000,0,110.94318,110.91083,110.95095,54.89214,57.17610,,,,
2026-03-02T13:45:00+09:00,111.06000,111.09300,111.03500,111.04700,0,110.94307,110.91363,110.97740,54.21235,57.07230,,,,
2026-03-02T14:00:00+09:00,111.04700,111.09300,110.98800,110.99400,0,110.94280,110.91507,110.99720,51.41667,56.67104,,,,
2026-03-02T14:15:00+09:00,110.99400,111.10500,110.98400,111.08100,0,110.94284,110.91727,111.02730,55.47563,56.57830,,,,
2026-03-02T14:30:00+09:00,111.08100,111.13600,111.05900,111.06800,0,110.94265,110.91963,111.05030,54.73970,56.50880,,,,
2026-03-02T14:45:00+09:00,111.06800,111.09500,110.95500,110.99800,0,110.94225,110.92121,111.06020,50.82956,56.39355,,,,
2026-03-02T15:00:00+09:00,110.99800,111.08200,110.98000,111.01600,0,110.94177,110.92404,111.05450,51.78333,55.93730,,,,
2026-03-02T15:15:00+09:00,111.01600,111.05100,110.95400,110.96200,0,110.94084,110.92635,111.05445,48.72954,55.34918,,,,
2026-03-02T15:30:00+09:00,110.96200,110.98600,110.88600,110.90000,0,110.93938,110.92753,111.04840,45.41778,54.38739,,,,
2026-03-02T15:45:00+09:00,110.90000,110.91500,110.82200,110.86400,0,110.93824,110.92847,111.04095,43.56633,53.27165,,,,
2026-03-02T16:00:00+09:00,110.86400,110.97200,110.77300,110.77800,0,110.93648,110.92775,111.03075,39.43104,51.84793,,,,
2026-03-02T16:15:00+09:00,110.77800,110.86100,110.70300,110.77400,0,110.93444,110.92737,111.02515,39.24445,50.45644,,,,
2026-03-02T16:30:00+09:00,110.77400,110.88000,110.70500,110.75900,0,110.93236,110.92744,111.00840,38.50856,49.02619,,,,
2026-03-02T16:45:00+09:00,110.75900,110.80400,110.66400,110.79700,0,110.93014,110.92677,110.99525,41.50124,47.83917,,,,
2026-03-02T17:00:00+09:00,110.79700,110.92300,110.73500,110.85800,0,110.92807,110.92731,110.98160,46.04106,47.20695,,,,
2026-03-02T17:15:00+09:00,110.85800,110.87600,110.71700,110.73800,0,110.92544,110.92701,110.96140,39.54024,46.15894,,,,
2026-03-02T17:30:00+09:00,110.73800,110.94400,110.73500,110.93400,0,110.92385,110.92817,110.95070,51.56867,46.16979,,,,
2026-03-02T17:45:00+09:00,110.93400,111.01100,110.89400,110.93600,0,110.92249,110.92880,110.94080,51.67432,45.89827,,,,
2026-03-02T18:00:00+09:00,110.93600,111.17800,110.89700,111.17000,0,110.92212,110.93204,110.94280,62.09356,46.42355,,,,
2026-03-02T18:15:00+09:00,111.17000,111.20500,111.08400,111.09900,0,110.92158,110.93459,110.94165,58.00693,46.93622,,,,
2026-03-02T18:30:00+09:00,111.09900,111.16400,110.99400,111.04700,0,110.92076,110.93565,110.94100,55.14440,47.17629,,,,
2026-03-02T18:45:00+09:00,111.04700,111.14500,111.01700,111.13500,0,110.92070,110.93555,110.94540,58.84566,47.89887,,,,
2026-03-02T19:00:00+09:00,111.13500,111.24200,111.11800,111.19600,0,110.92147,110.93600,110.95550,61.23358,49.02858,,,,
2026-03-02T19:15:00+09:00,111.19600,111.32800,111.19000,111.28100,0,110.92278,110.93744,110.96550,64.33869,50.51232,,,,
2026-03-02T19:30:00+09:00,111.28100,111.32200,111.20000,111.20900,0,110.92397,110.93732,110.97255,59.95778,51.97851,,,,
2026-03-02T19:45:00+09:00,111.20900,111.25100,111.17300,111.23700,0,110.92537,110.93749,110.98450,61.06800,53.53734,,,,
2026-03-02T20:00:00+09:00,111.23700,111.26100,111.14200,111.15500,0,110.92620,110.93767,110.99145,56.15736,54.79796,,,,
2026-03-02T20:15:00+09:00,111.15500,111.18900,111.10100,111.13400,0,110.92661,110.93796,111.00005,54.93895,55.75780,,,,
2026-03-02T20:30:00+09:00,111.13400,111.20300,111.12000,111.18800,0,110.92717,110.93885,111.01445,57.49288,56.57579,,,,
2026-03-02T20:45:00+09:00,111.18800,111.24100,111.13900,111.18500,0,110.92762,110.93948,111.03050,57.29858,57.84424,,,,
2026-03-02T21:00:00+09:00,111.18500,111.25500,111.17300,111.18900,0,110.92810,110.94152,111.05105,57.50479,58.26825,,,,
2026-03-02T21:15:00+09:00,111.18900,111.21600,111.08100,111.13600,0,110.92849,110.94303,111.06915,53.79769,58.41992,,,,
2026-03-02T21:30:00+09:00,111.13600,111.17600,111.10000,111.14200,0,110.92935,110.94437,111.08830,54.15798,57.85309,,,,
2026-03-02T21:45:00+09:00,111.14200,111.14400,111.03100,111.09500,0,110.93009,110.94521,111.10320,50.81515,57.33939,,,,
2026-03-02T22:00:00+09:00,111.09500,111.16100,111.08100,111.15300,0,110.93082,110.94701,111.11795,54.54387,57.29650,,,,
2026-03-02T22:15:00+09:00,111.15300,111.36900,111.15300,111.28300,0,110.93215,110.95000,111.14520,61.57524,57.49147,,,,
2026-03-02T22:30:00+09:00,111.28300,111.31100,111.19000,111.21800,0,110.93307,110.95236,111.15940,56.84086,57.17770,,,,
2026-03-02T22:45:00+09:00,111.21800,111.25000,111.15900,111.16600,0,110.93400,110.95443,111.17090,53.30955,56.38991,,,,
2026-03-02T23:00:00+09:00,111.16600,111.29500,111.08900,111.23200,0,110.93490,110.95836,111.17400,56.96408,56.17607,,,,
2026-03-02T23:15:00+09:00,111.23200,111.23700,111.13700,111.18000,0,110.93559,110.96163,111.17805,53.41657,55.62954,,,,
2026-03-02T23:30:00+09:00,111.18000,111.46600,111.16000,111.44500,0,110.93744,110.96765,111.19795,65.28243,56.28133,,,,
2026-03-02T23:45:00+09:00,111.44500,111.53700,111.40300,111.43400,0,110.93902,110.97259,111.21290,64.54745,56.96765,,,,
2026-03-03T00:00:00+09:00,111.43400,111.69600,111.41200,111.69200,0,110.94190,110.98049,111.23770,72.39707,58.03224,,,,
2026-03-03T00:15:00+09:00,111.69200,111.69600,111.50100,111.54500,0,110.94415,110.98692,111.25090,63.73781,58.49218,,,,
2026-03-03T00:30:00+09:00,111.54500,111.60900,111.44100,111.53000,0,110.94680,110.99193,111.26695,62.91093,58.87833,,,,
2026-03-03T00:45:00+09:00,111.53000,111.53000,111.29000,111.33400,0,110.94826,110.99533,111.27180,53.19909,58.83558,,,,
2026-03-03T01:00:00+09:00,111.33400,111.43700,111.25100,111.41700,0,110.95024,111.00063,111.28490,56.27724,58.98695,,,,
2026-03-03T01:15:00+09:00,111.41700,111.42300,111.25800,111.26200,0,110.95160,111.00283,111.29130,49.70286,58.90750,,,,
2026-03-03T01:30:00+09:00,111.26200,111.30600,111.10700,111.27100,0,110.95371,111.00623,111.29545,50.06762,58.58777,,,,
2026-03-03T01:45:00+09:00,111.27100,111.30500,111.23600,111.27600,0,110.95624,111.02221,111.30000,50.28333,57.78121,,,,
2026-03-03T02:00:00+09:00,111.27600,111.32800,111.21300,111.32100,0,110.96017,111.03721,111.30660,52.28136,57.45553,,,,
2026-03-03T02:15:00+09:00,111.32100,111.40400,111.31500,111.39400,0,110.96514,111.05371,111.31950,55.41188,57.60569,,,,
2026-03-03T02:30:00+09:00,111.39400,111.41200,111.32600,111.35000,0,110.96861,111.07105,111.32990,53.14862,57.33316,,,,
2026-03-03T02:45:00+09:00,111.35000,111.47200,111.33200,111.46100,0,110.97204,111.08328,111.34820,57.82822,57.64828,,,,
2026-03-03T03:00:00+09:00,111.46100,111.47000,111.38800,111.45000,0,110.97518,111.09519,111.36305,57.21829,57.07227,,,,
2026-03-03T03:15:00+09:00,111.45000,111.47700,111.39900,111.46200,0,110.97815,111.10663,111.37200,57.74191,56.58616,,,,
2026-03-03T03:30:00+09:00,111.46200,111.49300,111.43100,111.44800,0,110.98185,111.11903,111.38350,56.86742,55.47690,,,,
2026-03-03T03:45:00+09:00,111.44800,111.47500,111.40500,111.45100,0,110.98554,111.13040,111.39775,57.01765,54.99689,,,,
2026-03-03T04:00:00+09:00,111.45100,111.60900,111.44600,111.59400,0,110.99001,111.14527,111.41585,63.53667,55.04158,,,,
2026-03-03T04:15:00+09:00,111.59400,111.66800,111.57500,111.64800,0,110.99477,111.15913,111.43925,65.65502,55.93129,,,,
2026-03-03T04:30:00+09:00,111.64800,111.68600,111.62000,111.62800,0,110.99968,111.17017,111.44840,64.16812,56.49493,,,,
2026-03-03T04:45:00+09:00,111.62800,111.67300,111.61800,111.63400,0,111.00444,111.17689,111.45840,64.42839,57.54675,,,,
2026-03-03T05:00:00+09:00,111.63400,111.63400,111.38900,111.40800,0,111.00806,111.18283,111.44420,49.76538,57.52516,,,,
2026-03-03T05:15:00+09:00,111.40800,111.52200,111.36800,111.42200,0,111.01123,111.18817,111.43805,50.51667,57.54183,,,,
2026-03-03T05:30:00+09:00,111.42200,111.49100,111.41700,111.45900,0,111.01395,111.19412,111.43450,52.53699,57.56009,,,,
2026-03-03T05:45:00+09:00,111.45900,111.53400,111.42700,111.50400,0,111.01654,111.20108,111.44300,54.94627,57.52683,,,,
2026-03-03T06:00:00+09:00,111.50400,111.57600,111.49400,111.56400,0,111.01933,111.21012,111.45035,58.00704,57.87386,,,,
2026-03-03T06:15:00+09:00,111.56400,111.59800,111.55300,111.57100,0,111.02208,111.21648,111.46580,58.36244,57.91202,,,,
2026-03-03T06:30:00+09:00,111.57100,111.57700,111.50100,111.54600,0,111.02467,111.22296,111.47955,56.52256,57.86233,,,,
2026-03-03T06:45:00+09:00,111.54600,111.62600,111.53200,111.59300,0,111.02772,111.22912,111.49540,59.13107,57.96155,,,,
2026-03-03T07:15:00+09:00,111.59300,111.69900,111.56200,111.69300,0,111.03136,111.23647,111.51400,64.07039,58.47605,,,,
2026-03-03T07:30:00+09:00,111.69300,111.76500,111.63700,111.66300,0,111.03479,111.24333,111.52745,61.66269,58.80784,,,,
2026-03-03T07:45:00+09:00,111.66300,111.75200,111.62900,111.71100,0,111.03837,111.25103,111.54550,63.99412,58.84051,,,,
2026-03-03T08:00:00+09:00,111.71100,111.76200,111.69600,111.73100,0,111.04188,111.25904,111.55900,64.95056,58.79019,,,,
2026-03-03T08:15:00+09:00,111.73100,111.73700,111.59000,111.70100,0,111.04528,111.26676,111.57155,62.27820,58.65520,,,,
2026-03-03T08:30:00+09:00,111.70100,111.74300,111.69700,111.74200,0,111.04913,111.27585,111.58555,64.43206,58.65546,,,,
2026-03-03T08:45:00+09:00,111.74200,111.80100,111.69300,111.69600,0,111.05304,111.28451,111.59795,60.27380,59.40606,,,,
2026-03-03T09:00:00+09:00,111.69600,111.72200,111.58700,111.69600,0,111.05692,111.29387,111.61020,60.27380,60.10300,,,,
2026-03-03T09:15:00+09:00,111.69600,111.71400,111.61300,111.71100,0,111.06135,111.30227,111.61605,61.22029,60.72324,,,,
2026-03-03T09:30:00+09:00,111.71100,111.78800,111.67600,111.75800,0,111.06590,111.31147,111.62155,64.10601,61.37750,,,,
2026-03-03T09:45:00+09:00,111.75800,111.85200,111.75700,111.81700,0,111.07070,111.32239,111.63100,67.38682,62.04749,,,,
2026-03-03T10:00:00+09:00,111.81700,112.04700,111.79300,112.00900,0,111.07646,111.33563,111.64975,75.29916,63.25725,,,,
2026-03-03T10:15:00+09:00,112.00900,112.08800,111.98900,112.00800,0,111.08275,111.34957,111.67975,75.19683,64.59113,,,,
2026-03-03T10:30:00+09:00,112.00800,112.04400,111.88300,111.96100,0,111.08866,111.36372,111.70670,70.35737,65.39301,,,,
2026-03-03T10:45:00+09:00,111.96100,112.00600,111.67400,111.68500,0,111.09361,111.37467,111.71800,50.00528,64.38836,,,,
2026-03-03T11:00:00+09:00,111.68500,111.73500,111.54400,111.63800,0,111.09832,111.38613,111.72470,47.48621,63.37575,,,,
2026-03-03T11:15:00+09:00,111.63800,111.65800,111.50000,111.59900,0,111.10251,111.39713,111.72645,45.44061,62.05050,,,,
2026-03-03T11:30:00+09:00,111.59900,111.76300,111.56700,111.73000,0,111.10765,111.41008,111.73440,52.79625,61.18233,,,,
2026-03-03T11:45:00+09:00,111.73000,111.77900,111.70700,111.71200,0,111.11337,111.42228,111.74270,51.76358,60.43129,,,,
2026-03-03T12:00:00+09:00,111.71200,111.78700,111.68100,111.74200,0,111.11880,111.43407,111.75015,53.39957,59.64325,,,,
2026-03-03T12:15:00+09:00,111.74200,111.79400,111.67600,111.69900,0,111.12389,111.44688,111.75045,50.74304,58.96249,,,,
2026-03-03T12:30:00+09:00,111.69900,111.85200,111.65300,111.83500,0,111.12934,111.45889,111.75905,57.88011,58.79151,,,,
2026-03-03T12:45:00+09:00,111.83500,111.87800,111.76100,111.80600,0,111.13472,111.47049,111.76380,56.01626,58.41979,,,,
2026-03-03T13:00:00+09:00,111.80600,111.86400,111.75700,111.81600,0,111.13976,111.47911,111.76805,56.53601,57.87908,,,,
2026-03-03T13:15:00+09:00,111.81600,111.88500,111.79500,111.84500,0,111.14508,111.48905,111.77525,58.08297,57.21452,,,,
2026-03-03T13:30:00+09:00,111.84500,111.88000,111.81500,111.86500,0,111.15026,111.49996,111.78140,59.16247,56.06190,,,,
2026-03-03T13:45:00+09:00,111.86500,111.89100,111.79700,111.81100,0,111.15517,111.50897,111.78715,55.04086,54.62219,,,,
2026-03-03T14:00:00+09:00,111.81100,111.85200,111.76100,111.80000,0,111.15989,111.51703,111.79235,54.21234,53.46897,,,,
2026-03-03T14:15:00+09:00,111.80000,111.86800,111.73800,111.77300,0,111.16412,111.52359,111.79545,52.13778,53.62129,,,,
2026-03-03T14:30:00+09:00,111.77300,111.77400,111.50400,111.56800,0,111.16763,111.52837,111.78595,39.71198,53.06599,,,,
2026-03-03T14:45:00+09:00,111.56800,111.65000,111.51800,111.56300,0,111.17100,111.53272,111.77325,39.46493,52.63915,,,,
2026-03-03T15:00:00+09:00,111.56300,111.63400,111.44800,111.49700,0,111.17408,111.53728,111.74765,36.25844,51.45788,,,,
2026-03-03T15:15:00+09:00,111.49700,111.53200,111.39700,111.52100,0,111.17702,111.54244,111.72330,38.22402,50.49077,,,,
2026-03-03T15:30:00+09:00,111.52100,111.52300,111.35900,111.40600,0,111.17995,111.54535,111.69555,32.97661,49.03199,,,,
2026-03-03T15:45:00+09:00,111.40600,111.51700,111.38500,111.48800,0,111.18324,111.54939,111.68570,39.36821,48.21950,,,,
2026-03-03T16:00:00+09:00,111.48800,111.55500,111.42100,111.53600,0,111.18665,111.55401,111.68060,42.80650,47.14281,,,,
2026-03-03T16:15:00+09:00,111.53600,111.64800,111.51900,111.62800,0,111.19012,111.56057,111.68205,48.79953,46.62733,,,,
2026-03-03T16:30:00+09:00,111.62800,111.64400,111.42300,111.60700,0,111.19277,111.56677,111.67590,47.57411,45.98720,,,,
2026-03-03T16:45:00+09:00,111.60700,111.61200,111.34900,111.41400,0,111.19458,111.57103,111.66100,38.10383,44.56012,,,,
2026-03-03T17:00:00+09:00,111.41400,111.51300,111.29400,111.31600,0,111.19594,111.57320,111.63970,34.36325,42.78874,,,,
