time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.70318,0.70490,0.70315,0.70415,0,0.71136,0.71151,0.71120,13.24089,47.12034,,,,
2026-03-02T07:15:00+09:00,0.70415,0.70562,0.70409,0.70510,0,0.71133,0.71142,0.71088,21.26307,44.90179,,,,
2026-03-02T07:30:00+09:00,0.70510,0.70556,0.70494,0.70555,0,0.71130,0.71134,0.71057,24.80968,42.99265,,,,
2026-03-02T07:45:00+09:00,0.70555,0.70620,0.70494,0.70502,0,0.71126,0.71124,0.71024,23.46885,41.10298,,,,
2026-03-02T08:00:00+09:00,0.70502,0.70862,0.70459,0.70715,0,0.71124,0.71118,0.71003,37.97652,40.47484,,,,
2026-03-02T08:15:00+09:00,0.70715,0.70764,0.70630,0.70632,0,0.71121,0.71110,0.70977,35.17809,39.54201,,,,
2026-03-02T08:30:00+09:00,0.70632,0.70666,0.70570,0.70664,0,0.71118,0.71102,0.70952,37.10247,38.26050,,,,
2026-03-02T08:45:00+09:00,0.70664,0.70665,0.70540,0.70559,0,0.71114,0.71092,0.70921,33.57981,36.61550,,,,
2026-03-02T09:00:00+09:00,0.70559,0.70645,0.70519,0.70640,0,0.71112,0.71084,0.70894,38.43578,35.44177,,,,
2026-03-02T09:15:00+09:00,0.70640,0.70700,0.70627,0.70655,0,0.71109,0.71075,0.70869,39.32051,34.57481,,,,
2026-03-02T09:30:00+09:00,0.70655,0.70728,0.70652,0.70724,0,0.71107,0.71068,0.70849,43.35323,34.41234,,,,
2026-03-02T09:45:00+09:00,0.70724,0.70850,0.70724,0.70844,0,0.71105,0.71063,0.70834,49.62370,34.59881,,,,
2026-03-02T10:00:00+09:00,0.70844,0.71092,0.70836,0.71054,0,0.71104,0.71060,0.70827,58.31901,35.49605,,,,
2026-03-02T10:15:00+09:00,0.71054,0.71056,0.70906,0.70948,0,0.71103,0.71056,0.70814,53.31646,36.35629,,,,
2026-03-02T10:30:00+09:00,0.70948,0.71073,0.70924,0.71033,0,0.71102,0.71053,0.70806,56.53610,39.44881,,,,
2026-03-02T10:45:00+09:00,0.71033,0.71078,0.70987,0.71065,0,0.71101,0.71051,0.70801,57.71836,42.05275,,,,
2026-03-02T11:00:00+09:00,0.71065,0.71083,0.70967,0.70989,0,0.71100,0.71048,0.70794,53.96400,44.13521,,,,
2026-03-02T11:15:00+09:00,0.70989,0.70995,0.70937,0.70955,0,0.71099,0.71044,0.70784,52.32426,46.19631,,,,
2026-03-02T11:30:00+09:00,0.70955,0.71077,0.70950,0.71070,0,0.71098,0.71042,0.70781,57.07523,47.56050,,,,
2026-03-02T11:45:00+09:00,0.71070,0.71082,0.71036,0.71063,0,0.71097,0.71040,0.70780,56.70482,49.09812,,,,
2026-03-02T12:00:00+09:00,0.71063,0.71139,0.71042,0.71093,0,0.71096,0.71038,0.70814,57.96395,50.58823,,,,
2026-03-02T12:15:00+09:00,0.71093,0.71167,0.71067,0.71151,0,0.71095,0.71038,0.70846,60.36396,52.50138,,,,
2026-03-02T12:30:00+09:00,0.71151,0.71154,0.71079,0.71122,0,0.71094,0.71038,0.70874,58.56354,53.93908,,,,
2026-03-02T12:45:00+09:00,0.71122,0.71134,0.71085,0.71096,0,0.71093,0.71037,0.70904,56.92426,55.19649,,,,
2026-03-02T13:00:00+09:00,0.71096,0.71125,0.71074,0.71082,0,0.71092,0.71036,0.70922,56.01504,56.10091,,,,
2026-03-02T13:15:00+09:00,0.71082,0.71086,0.70947,0.71036,0,0.71091,0.71034,0.70942,53.01853,56.34339,,,,
