time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.87661,0.87768,0.87617,0.87691,0,0.87413,0.87636,0.87699,50.47885,42.84988,,,,
2026-03-02T07:15:00+09:00,0.87691,0.87709,0.87636,0.87669,0,0.87415,0.87638,0.87692,48.00943,42.83187,,,,
2026-03-02T07:30:00+09:00,0.87669,0.87732,0.87657,0.87731,0,0.87419,0.87641,0.87689,54.73058,43.21169,,,,
2026-03-02T07:45:00+09:00,0.87731,0.87760,0.87725,0.87726,0,0.87422,0.87644,0.87685,54.12292,43.85687,,,,
2026-03-02T08:00:00+09:00,0.87726,0.87791,0.87654,0.87714,0,0.87425,0.87647,0.87684,52.61310,44.50916,,,,
2026-03-02T08:15:00+09:00,0.87714,0.87734,0.87684,0.87709,0,0.87428,0.87650,0.87683,51.96266,45.23997,,,,
2026-03-02T08:30:00+09:00,0.87709,0.87758,0.87670,0.87670,0,0.87431,0.87652,0.87681,47.07417,45.57699,,,,
2026-03-02T08:45:00+09:00,0.87670,0.87729,0.87670,0.87716,0,0.87434,0.87655,0.87681,52.72362,46.52365,,,,
2026-03-02T09:00:00+09:00,0.87716,0.87755,0.87710,0.87744,0,0.87437,0.87657,0.87682,55.81530,47.62538,,,,
2026-03-02T09:15:00+09:00,0.87744,0.87752,0.87713,0.87717,0,0.87440,0.87660,0.87683,52.26586,48.30608,,,,
2026-03-02T09:30:00+09:00,0.87717,0.87724,0.87689,0.87691,0,0.87443,0.87662,0.87683,49.03229,48.67097,,,,
2026-03-02T09:45:00+09:00,0.87691,0.87698,0.87650,0.87678,0,0.87446,0.87663,0.87684,47.45152,48.90512,,,,
2026-03-02T10:00:00+09:00,0.87678,0.87684,0.87620,0.87644,0,0.87449,0.87664,0.87682,43.50140,48.97358,,,,
2026-03-02T10:15:00+09:00,0.87644,0.87728,0.87643,0.87682,0,0.87452,0.87665,0.87683,48.64678,50.60203,,,,
2026-03-02T10:30:00+09:00,0.87682,0.87690,0.87659,0.87670,0,0.87454,0.87665,0.87684,47.18538,50.36679,,,,
2026-03-02T10:45:00+09:00,0.87670,0.87679,0.87656,0.87669,0,0.87457,0.87665,0.87684,47.05851,50.29886,,,,
2026-03-02T11:00:00+09:00,0.87669,0.87689,0.87669,0.87676,0,0.87459,0.87667,0.87684,48.11026,49.82598,,,,
2026-03-02T11:15:00+09:00,0.87676,0.87680,0.87648,0.87657,0,0.87462,0.87668,0.87683,45.46980,49.20790,,,,
2026-03-02T11:30:00+09:00,0.87657,0.87684,0.87651,0.87657,0,0.87464,0.87668,0.87682,45.46980,48.69767,,,,
2026-03-02T11:45:00+09:00,0.87657,0.87685,0.87656,0.87680,0,0.87467,0.87670,0.87690,49.37089,48.51254,,,,
2026-03-02T12:00:00+09:00,0.87680,0.87696,0.87664,0.87690,0,0.87470,0.87672,0.87689,51.01185,48.79380,,,,
2026-03-02T12:15:00+09:00,0.87690,0.87694,0.87657,0.87657,0,0.87473,0.87673,0.87689,45.74295,48.29519,,,,
2026-03-02T12:30:00+09:00,0.87657,0.87691,0.87657,0.87667,0,0.87475,0.87676,0.87686,47.51216,47.70210,,,,
2026-03-02T12:45:00+09:00,0.87667,0.87677,0.87656,0.87663,0,0.87478,0.87678,0.87683,46.85402,47.31554,,,,
2026-03-02T13:00:00+09:00,0.87663,0.87665,0.87650,0.87654,0,0.87480,0.87680,0.87680,45.33248,47.05127,,,,
2026-03-02T13:15:00+09:00,0.87654,0.87680,0.87654,0.87667,0,0.87483,0.87682,0.87677,47.96124,47.08768,,,,
2026-03-02T13:30:00+09:00,0.87667,0.87680,0.87662,0.87680,0,0.87486,0.87685,0.87678,50.52340,47.58925,,,,
2026-03-02T13:45:00+09:00,0.87680,0.87707,0.87678,0.87703,0,0.87489,0.87687,0.87677,54.76673,48.02639,,,,
2026-03-02T14:00:00+09:00,0.87703,0.87717,0.87695,0.87701,0,0.87491,0.87689,0.87675,54.33038,48.53675,,,,
2026-03-02T14:15:00+09:00,0.87701,0.87734,0.87681,0.87711,0,0.87494,0.87691,0.87675,56.20908,49.19036,,,,
2026-03-02T14:30:00+09:00,0.87711,0.87725,0.87702,0.87714,0,0.87497,0.87693,0.87676,56.78344,49.80987,,,,
2026-03-02T14:45:00+09:00,0.87714,0.87726,0.87704,0.87709,0,0.87500,0.87695,0.87678,55.47741,50.52470,,,,
2026-03-02T15:00:00+09:00,0.87709,0.87714,0.87686,0.87706,0,0.87502,0.87697,0.87681,54.66500,51.18150,,,,
2026-03-02T15:15:00+09:00,0.87706,0.87732,0.87680,0.87699,0,0.87505,0.87699,0.87681,52.72485,51.42107,,,,
2026-03-02T15:30:00+09:00,0.87699,0.87716,0.87678,0.87690,0,0.87508,0.87700,0.87682,50.25519,51.36702,,,,
2026-03-02T15:45:00+09:00,0.87690,0.87709,0.87664,0.87670,0,0.87510,0.87700,0.87683,45.18957,51.32750,,,,
2026-03-02T16:00:00+09:00,0.87670,0.87737,0.87658,0.87734,0,0.87513,0.87702,0.87685,59.32028,52.17093,,,,
2026-03-02T16:15:00+09:00,0.87734,0.87763,0.87711,0.87745,0,0.87516,0.87704,0.87690,61.17309,53.19372,,,,
2026-03-02T16:30:00+09:00,0.87745,0.87746,0.87623,0.87640,0,0.87518,0.87704,0.87689,41.66527,52.93178,,,,
2026-03-02T16:45:00+09:00,0.87640,0.87732,0.87627,0.87681,0,0.87521,0.87705,0.87689,48.56296,52.97476,,,,
2026-03-02T17:00:00+09:00,0.87681,0.87751,0.87644,0.87737,0,0.87524,0.87706,0.87691,56.18376,53.37907,,,,
2026-03-02T17:15:00+09:00,0.87737,0.87809,0.87726,0.87801,0,0.87527,0.87707,0.87699,62.94133,53.96297,,,,
2026-03-02T17:30:00+09:00,0.87801,0.87873,0.87783,0.87805,0,0.87530,0.87708,0.87705,63.32207,54.60524,,,,
2026-03-02T17:45:00+09:00,0.87805,0.87810,0.87771,0.87802,0,0.87533,0.87710,0.87712,62.80094,55.07608,,,,
