time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.34122,1.34126,1.34000,1.34093,0,1.35053,1.34740,1.34710,25.79687,55.30008,,,,
2026-03-02T07:15:00+09:00,1.34093,1.34097,1.34021,1.34060,0,1.35046,1.34728,1.34684,25.11792,53.09889,,,,
2026-03-02T07:30:00+09:00,1.34060,1.34149,1.34058,1.34145,0,1.35039,1.34718,1.34659,30.21280,51.31599,,,,
2026-03-02T07:45:00+09:00,1.34145,1.34155,1.34111,1.34121,0,1.35032,1.34707,1.34635,29.60040,49.10898,,,,
2026-03-02T08:00:00+09:00,1.34121,1.34358,1.34119,1.34264,0,1.35025,1.34698,1.34617,37.70286,47.53998,,,,
2026-03-02T08:15:00+09:00,1.34264,1.34292,1.34086,1.34099,0,1.35018,1.34686,1.34588,32.98547,45.57567,,,,
2026-03-02T08:30:00+09:00,1.34099,1.34206,1.34027,1.34205,0,1.35011,1.34676,1.34563,38.32433,43.85465,,,,
2026-03-02T08:45:00+09:00,1.34205,1.34206,1.34033,1.34054,0,1.35003,1.34665,1.34529,34.15052,41.68200,,,,
2026-03-02T09:00:00+09:00,1.34054,1.34144,1.34006,1.34136,0,1.34996,1.34654,1.34500,38.09342,39.77064,,,,
2026-03-02T09:15:00+09:00,1.34136,1.34225,1.34122,1.34180,0,1.34990,1.34645,1.34469,40.16381,38.74822,,,,
2026-03-02T09:30:00+09:00,1.34180,1.34230,1.34134,1.34223,0,1.34983,1.34636,1.34440,42.19830,38.05130,,,,
2026-03-02T09:45:00+09:00,1.34223,1.34337,1.34180,1.34323,0,1.34977,1.34629,1.34416,46.73413,37.62939,,,,
2026-03-02T10:00:00+09:00,1.34323,1.34519,1.34291,1.34484,0,1.34972,1.34626,1.34398,53.11346,37.86373,,,,
2026-03-02T10:15:00+09:00,1.34484,1.34487,1.34287,1.34405,0,1.34966,1.34621,1.34374,49.95216,37.43903,,,,
2026-03-02T10:30:00+09:00,1.34405,1.34540,1.34380,1.34494,0,1.34961,1.34618,1.34354,53.32281,39.40517,,,,
2026-03-02T10:45:00+09:00,1.34494,1.34532,1.34447,1.34504,0,1.34955,1.34617,1.34341,53.70012,41.44676,,,,
2026-03-02T11:00:00+09:00,1.34504,1.34508,1.34394,1.34416,0,1.34950,1.34612,1.34324,49.87906,42.85149,,,,
2026-03-02T11:15:00+09:00,1.34416,1.34439,1.34379,1.34423,0,1.34944,1.34607,1.34308,50.18272,44.32166,,,,
2026-03-02T11:30:00+09:00,1.34423,1.34476,1.34385,1.34448,0,1.34938,1.34601,1.34294,51.31714,45.29410,,,,
2026-03-02T11:45:00+09:00,1.34448,1.34466,1.34419,1.34445,0,1.34932,1.34594,1.34276,51.16657,46.59275,,,,
2026-03-02T12:00:00+09:00,1.34445,1.34532,1.34440,1.34453,0,1.34926,1.34588,1.34294,51.57461,47.53920,,,,
2026-03-02T12:15:00+09:00,1.34453,1.34558,1.34448,1.34543,0,1.34921,1.34583,1.34318,56.02627,49.10176,,,,
2026-03-02T12:30:00+09:00,1.34543,1.34545,1.34463,1.34509,0,1.34915,1.34577,1.34336,54.00644,50.23840,,,,
2026-03-02T12:45:00+09:00,1.34509,1.34516,1.34465,1.34475,0,1.34908,1.34571,1.34354,51.98802,51.08299,,,,
2026-03-02T13:00:00+09:00,1.34475,1.34508,1.34450,1.34472,0,1.34902,1.34565,1.34365,51.80404,51.76911,,,,
2026-03-02T13:15:00+09:00,1.34472,1.34476,1.34394,1.34444,0,1.34896,1.34560,1.34382,50.02470,52.00415,,,,
2026-03-02T13:30:00+09:00,1.34444,1.34455,1.34382,1.34388,0,1.34890,1.34553,1.34391,46.57883,51.53739,,,,
2026-03-02T13:45:00+09:00,1.34388,1.34391,1.34352,1.34384,0,1.34884,1.34548,1.34407,46.33332,51.27890,,,,
2026-03-02T14:00:00+09:00,1.34384,1.34385,1.34268,1.34270,0,1.34877,1.34541,1.34414,39.88157,50.31881,,,,
2026-03-02T14:15:00+09:00,1.34270,1.34300,1.34209,1.34247,0,1.34870,1.34534,1.34418,38.71040,49.24812,,,,
2026-03-02T14:30:00+09:00,1.34247,1.34280,1.34223,1.34225,0,1.34864,1.34527,1.34418,37.57379,48.36917,,,,
2026-03-02T14:45:00+09:00,1.34225,1.34234,1.34144,1.34148,0,1.34857,1.34519,1.34409,33.82979,47.20111,,,,
2026-03-02T15:00:00+09:00,1.34148,1.34156,1.34002,1.34003,0,1.34849,1.34508,1.34385,28.14282,45.54580,,,,
2026-03-02T15:15:00+09:00,1.34003,1.34042,1.33829,1.33872,0,1.34841,1.34496,1.34358,24.18688,43.61868,,,,
2026-03-02T15:30:00+09:00,1.33872,1.33902,1.33763,1.33790,0,1.34832,1.34485,1.34323,22.09339,41.51287,,,,
2026-03-02T15:45:00+09:00,1.33790,1.33855,1.33761,1.33815,0,1.34823,1.34472,1.34289,24.24620,39.24287,,,,
