time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.76680,0.76802,0.76680,0.76709,0,0.77231,0.77072,0.76833,33.60266,40.52603,,,,
2026-03-02T07:15:00+09:00,0.76709,0.76734,0.76682,0.76728,0,0.77228,0.77064,0.76826,36.14096,40.65317,,,,
2026-03-02T07:30:00+09:00,0.76728,0.76790,0.76698,0.76785,0,0.77226,0.77057,0.76822,43.16108,41.21889,,,,
2026-03-02T07:45:00+09:00,0.76785,0.76788,0.76714,0.76720,0,0.77223,0.77049,0.76814,38.02727,41.58740,,,,
2026-03-02T08:00:00+09:00,0.76720,0.76932,0.76705,0.76919,0,0.77221,0.77045,0.76815,55.48474,42.96075,,,,
2026-03-02T08:15:00+09:00,0.76919,0.76970,0.76832,0.76964,0,0.77220,0.77041,0.76820,58.34245,44.33399,,,,
2026-03-02T08:30:00+09:00,0.76964,0.76964,0.76905,0.76906,0,0.77218,0.77036,0.76824,53.56909,45.47549,,,,
2026-03-02T08:45:00+09:00,0.76906,0.76961,0.76905,0.76955,0,0.77216,0.77032,0.76832,56.78585,46.76614,,,,
2026-03-02T09:00:00+09:00,0.76955,0.76998,0.76904,0.76909,0,0.77215,0.77027,0.76837,53.06881,47.79896,,,,
2026-03-02T09:15:00+09:00,0.76909,0.76916,0.76839,0.76876,0,0.77213,0.77021,0.76842,50.51428,47.92701,,,,
2026-03-02T09:30:00+09:00,0.76876,0.76932,0.76870,0.76878,0,0.77211,0.77016,0.76846,50.66926,48.01756,,,,
2026-03-02T09:45:00+09:00,0.76878,0.76926,0.76866,0.76874,0,0.77210,0.77010,0.76849,50.32976,48.23806,,,,
2026-03-02T10:00:00+09:00,0.76874,0.76946,0.76870,0.76904,0,0.77208,0.77005,0.76854,52.87986,48.24402,,,,
2026-03-02T10:15:00+09:00,0.76904,0.76920,0.76878,0.76886,0,0.77206,0.77000,0.76858,51.18195,48.83986,,,,
2026-03-02T10:30:00+09:00,0.76886,0.76908,0.76839,0.76866,0,0.77204,0.76994,0.76861,49.28826,49.96026,,,,
2026-03-02T10:45:00+09:00,0.76866,0.76881,0.76829,0.76841,0,0.77202,0.76987,0.76859,46.94984,50.73232,,,,
2026-03-02T11:00:00+09:00,0.76841,0.76899,0.76833,0.76887,0,0.77201,0.76981,0.76860,51.50859,51.32857,,,,
2026-03-02T11:15:00+09:00,0.76887,0.76913,0.76882,0.76888,0,0.77199,0.76975,0.76861,51.60595,52.29848,,,,
2026-03-02T11:30:00+09:00,0.76888,0.76888,0.76807,0.76849,0,0.77197,0.76970,0.76858,47.59264,51.73476,,,,
2026-03-02T11:45:00+09:00,0.76849,0.76860,0.76826,0.76834,0,0.77195,0.76964,0.76859,46.10744,50.86083,,,,
2026-03-02T12:00:00+09:00,0.76834,0.76841,0.76792,0.76822,0,0.77194,0.76958,0.76865,44.90027,50.24163,,,,
2026-03-02T12:15:00+09:00,0.76822,0.76825,0.76783,0.76798,0,0.77192,0.76952,0.76868,42.50345,49.22145,,,,
2026-03-02T12:30:00+09:00,0.76798,0.76830,0.76790,0.76806,0,0.77190,0.76945,0.76869,43.58451,48.54400,,,,
2026-03-02T12:45:00+09:00,0.76806,0.76827,0.76797,0.76821,0,0.77189,0.76939,0.76874,45.64803,48.19641,,,,
2026-03-02T13:00:00+09:00,0.76821,0.76852,0.76818,0.76847,0,0.77187,0.76933,0.76871,49.12186,48.08589,,,,
2026-03-02T13:15:00+09:00,0.76847,0.76859,0.76825,0.76844,0,0.77186,0.76928,0.76865,48.73481,47.97196,,,,
2026-03-02T13:30:00+09:00,0.76844,0.76876,0.76834,0.76863,0,0.77184,0.76922,0.76862,51.34935,47.86264,,,,
2026-03-02T13:45:00+09:00,0.76863,0.76880,0.76828,0.76828,0,0.77182,0.76916,0.76856,46.63143,47.53760,,,,
2026-03-02T14:00:00+09:00,0.76828,0.76891,0.76827,0.76890,0,0.77181,0.76912,0.76855,54.59063,47.91634,,,,
2026-03-02T14:15:00+09:00,0.76890,0.76906,0.76876,0.76892,0,0.77179,0.76907,0.76856,54.82468,48.47883,,,,
2026-03-02T14:30:00+09:00,0.76892,0.76905,0.76870,0.76902,0,0.77178,0.76902,0.76857,56.04460,48.80283,,,,
2026-03-02T14:45:00+09:00,0.76902,0.76919,0.76868,0.76883,0,0.77176,0.76897,0.76858,53.11004,48.91027,,,,
2026-03-02T15:00:00+09:00,0.76883,0.76953,0.76875,0.76951,0,0.77175,0.76893,0.76860,60.98399,49.86679,,,,
2026-03-02T15:15:00+09:00,0.76951,0.76978,0.76927,0.76960,0,0.77173,0.76889,0.76864,61.89600,50.99455,,,,
2026-03-02T15:30:00+09:00,0.76960,0.77037,0.76959,0.77023,0,0.77172,0.76887,0.76871,67.60455,52.61628,,,,
2026-03-02T15:45:00+09:00,0.77023,0.77042,0.76961,0.77030,0,0.77172,0.76885,0.76881,68.17506,54.44997,,,,
2026-03-02T16:00:00+09:00,0.77030,0.77160,0.77019,0.77136,0,0.77171,0.76884,0.76893,75.27570,56.71362,,,,
2026-03-02T16:15:00+09:00,0.77136,0.77207,0.77124,0.77126,0,0.77171,0.76883,0.76905,73.60719,58.71070,,,,
2026-03-02T16:30:00+09:00,0.77126,0.77292,0.77124,0.77241,0,0.77171,0.76884,0.76925,79.29178,60.86570,,,,
2026-03-02T16:45:00+09:00,0.77241,0.77346,0.77240,0.77268,0,0.77171,0.76886,0.76947,80.36127,63.12473,,,,
2026-03-02T17:00:00+09:00,0.77268,0.77320,0.77209,0.77266,0,0.77172,0.76890,0.76969,80.03155,65.17346,,,,
2026-03-02T17:15:00+09:00,0.77266,0.77413,0.77255,0.77364,0,0.77172,0.76894,0.76997,83.58548,67.81304,,,,
2026-03-02T17:30:00+09:00,0.77364,0.77422,0.77330,0.77355,0,0.77173,0.76898,0.77024,82.13965,69.78082,,,,
2026-03-02T17:45:00+09:00,0.77355,0.77383,0.77254,0.77271,0,0.77174,0.76902,0.77047,69.97374,70.86290,,,,
2026-03-02T18:00:00+09:00,0.77271,0.77279,0.77155,0.77158,0,0.77173,0.76905,0.77063,57.61180,70.97484,,,,
2026-03-02T18:15:00+09:00,0.77158,0.77189,0.77144,0.77158,0,0.77173,0.76909,0.77078,57.61180,71.29640,,,,
2026-03-02T18:30:00+09:00,0.77158,0.77159,0.77108,0.77123,0,0.77173,0.76912,0.77091,54.17384,70.80996,,,,
2026-03-02T18:45:00+09:00,0.77123,0.77216,0.77123,0.77213,0,0.77173,0.76918,0.77110,60.67277,70.72258,,,,
2026-03-02T19:00:00+09:00,0.77213,0.77231,0.77176,0.77213,0,0.77172,0.76923,0.77127,60.67277,70.22746,,,,
2026-03-02T19:15:00+09:00,0.77213,0.77219,0.77109,0.77140,0,0.77171,0.76929,0.77139,53.53133,69.18147,,,,
2026-03-02T19:30:00+09:00,0.77140,0.77201,0.77125,0.77181,0,0.77171,0.76932,0.77153,56.61970,67.84890,,,,
2026-03-02T19:45:00+09:00,0.77181,0.77307,0.77179,0.77289,0,0.77171,0.76938,0.77173,63.50107,67.12704,,,,
2026-03-02T20:00:00+09:00,0.77289,0.77387,0.77276,0.77361,0,0.77171,0.76944,0.77194,67.23283,66.26568,,,,
2026-03-02T20:15:00+09:00,0.77361,0.77464,0.77360,0.77460,0,0.77171,0.76952,0.77219,71.54142,65.63570,,,,
2026-03-02T20:30:00+09:00,0.77460,0.77478,0.77419,0.77440,0,0.77171,0.76959,0.77240,69.55174,64.88714,,,,
2026-03-02T20:45:00+09:00,0.77440,0.77511,0.77421,0.77498,0,0.77172,0.76967,0.77263,71.98505,64.05854,,,,
2026-03-02T21:00:00+09:00,0.77498,0.77672,0.77498,0.77671,0,0.77173,0.76978,0.77290,77.70766,63.74197,,,,
2026-03-02T21:15:00+09:00,0.77671,0.77829,0.77657,0.77732,0,0.77175,0.76990,0.77320,79.31233,64.40901,,,,
2026-03-02T21:30:00+09:00,0.77732,0.77742,0.77689,0.77722,0,0.77176,0.77001,0.77344,78.31706,65.88796,,,,
2026-03-02T21:45:00+09:00,0.77722,0.77800,0.77718,0.77773,0,0.77177,0.77013,0.77369,79.71512,67.46676,,,,
2026-03-02T22:00:00+09:00,0.77773,0.77952,0.77735,0.77836,0,0.77179,0.77026,0.77398,81.31762,69.40561,,,,
2026-03-02T22:15:00+09:00,0.77836,0.77836,0.77782,0.77801,0,0.77181,0.77038,0.77420,77.64763,70.61810,,,,
2026-03-02T22:30:00+09:00,0.77801,0.77850,0.77793,0.77846,0,0.77182,0.77052,0.77444,78.96228,71.92449,,,,
2026-03-02T22:45:00+09:00,0.77846,0.77852,0.77765,0.77826,0,0.77184,0.77066,0.77472,76.80031,73.58656,,,,
2026-03-02T23:00:00+09:00,0.77826,0.77862,0.77733,0.77810,0,0.77186,0.77080,0.77505,75.03044,74.90161,,,,
