time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,155.94400,156.26100,155.94400,156.25300,0,156.03619,155.98777,156.04855,58.87974,50.99372,,,,
2026-03-02T07:15:00+09:00,156.25300,156.32000,156.25000,156.26200,0,156.03542,155.99401,156.05940,59.21772,51.78013,,,,
2026-03-02T07:30:00+09:00,156.26200,156.28400,156.14400,156.16200,0,156.03429,155.99919,156.06870,53.91513,52.30633,,,,
2026-03-02T07:45:00+09:00,156.16200,156.16400,156.08700,156.11600,0,156.03265,156.00336,156.07165,51.62511,53.04117,,,,
2026-03-02T08:00:00+09:00,156.11600,156.37100,156.11500,156.32600,0,156.03207,156.01273,156.08360,59.98177,54.04934,,,,
2026-03-02T08:15:00+09:00,156.32600,156.54400,156.31300,156.52400,0,156.03262,156.02525,156.10730,65.95368,55.18723,,,,
2026-03-02T08:30:00+09:00,156.52400,156.61300,156.49800,156.52600,0,156.03329,156.03773,156.13205,66.00886,56.41219,,,,
2026-03-02T08:45:00+09:00,156.52600,156.65700,156.49900,156.63300,0,156.03467,156.05036,156.16315,68.91178,57.73483,,,,
2026-03-02T09:00:00+09:00,156.63300,156.80800,156.56000,156.57100,0,156.03591,156.06107,156.19240,65.42515,58.94185,,,,
2026-03-02T09:15:00+09:00,156.57100,156.58600,156.32700,156.36400,0,156.03650,156.06857,156.21555,55.35505,58.61587,,,,
2026-03-02T09:30:00+09:00,156.36400,156.55700,156.34600,156.38900,0,156.03696,156.07600,156.23700,56.23126,58.46410,,,,
2026-03-02T09:45:00+09:00,156.38900,156.52600,156.33500,156.39900,0,156.03748,156.08401,156.25600,56.59819,58.85185,,,,
2026-03-02T10:00:00+09:00,156.39900,156.60200,156.39700,156.40300,0,156.03802,156.09068,156.27605,56.75437,58.75818,,,,
2026-03-02T10:15:00+09:00,156.40300,156.51600,156.37400,156.39800,0,156.03886,156.09728,156.29480,56.48078,59.38133,,,,
2026-03-02T10:30:00+09:00,156.39800,156.44900,156.21200,156.29500,0,156.03942,156.10280,156.30965,51.02413,58.82021,,,,
2026-03-02T10:45:00+09:00,156.29500,156.34500,156.21300,156.21700,0,156.03967,156.10607,156.31170,47.29758,57.96877,,,,
2026-03-02T11:00:00+09:00,156.21700,156.36900,156.16800,156.33300,0,156.04054,156.10943,156.32055,52.81667,57.89031,,,,
2026-03-02T11:15:00+09:00,156.33300,156.44200,156.27300,156.27700,0,156.04155,156.11235,156.33160,50.08958,57.78063,,,,
2026-03-02T11:30:00+09:00,156.27700,156.36200,156.24000,156.31800,0,156.04288,156.11545,156.33850,52.04199,57.21350,,,,
2026-03-02T11:45:00+09:00,156.31800,156.35900,156.21800,156.28300,0,156.04435,156.11905,156.35245,50.23541,56.09077,,,,
2026-03-02T12:00:00+09:00,156.28300,156.33100,156.21800,156.31400,0,156.04570,156.12265,156.35550,51.83039,55.07802,,,,
2026-03-02T12:15:00+09:00,156.31400,156.31900,156.15600,156.20100,0,156.04712,156.12417,156.35245,46.03806,53.44418,,,,
2026-03-02T12:30:00+09:00,156.20100,156.31000,156.17700,156.27900,0,156.04912,156.12604,156.35830,50.17709,52.35504,,,,
2026-03-02T12:45:00+09:00,156.27900,156.33900,156.24200,156.31700,0,156.05155,156.12728,156.36835,52.10452,52.12286,,,,
2026-03-02T13:00:00+09:00,156.31700,156.38300,156.28500,156.33900,0,156.05440,156.12972,156.36900,53.23254,51.90866,,,,
2026-03-02T13:15:00+09:00,156.33900,156.44200,156.31600,156.42900,0,156.05680,156.13376,156.36425,57.62894,51.98229,,,,
2026-03-02T13:30:00+09:00,156.42900,156.54200,156.41300,156.52700,0,156.05931,156.13983,156.36430,61.83597,52.34526,,,,
2026-03-02T13:45:00+09:00,156.52700,156.58900,156.52200,156.52400,0,156.06224,156.14665,156.35885,61.63422,52.71336,,,,
2026-03-02T14:00:00+09:00,156.52400,156.68400,156.52300,156.67100,0,156.06613,156.15597,156.36385,67.26933,53.87374,,,,
2026-03-02T14:15:00+09:00,156.67100,156.75200,156.64100,156.73100,0,156.07038,156.16657,156.38220,69.25434,55.44208,,,,
2026-03-02T14:30:00+09:00,156.73100,156.80500,156.72300,156.78000,0,156.07469,156.17728,156.40175,70.81120,56.72740,,,,
2026-03-02T14:45:00+09:00,156.78000,156.85500,156.70600,156.83100,0,156.07915,156.18923,156.42335,72.37892,58.31949,,,,
2026-03-02T15:00:00+09:00,156.83100,156.93100,156.81400,156.91600,0,156.08371,156.20305,156.44900,74.80752,59.94560,,,,
2026-03-02T15:15:00+09:00,156.91600,156.98900,156.87600,156.96100,0,156.08826,156.21661,156.47715,76.01012,61.78665,,,,
2026-03-02T15:30:00+09:00,156.96100,157.01600,156.91100,156.97400,0,156.09297,156.23081,156.51110,76.36119,63.53885,,,,
2026-03-02T15:45:00+09:00,156.97400,156.99900,156.82400,156.88600,0,156.09788,156.24457,156.54455,69.00017,65.17901,,,,
2026-03-02T16:00:00+09:00,156.88600,157.03800,156.88400,156.93100,0,156.10289,156.25877,156.57445,70.56287,66.63513,,,,
2026-03-02T16:15:00+09:00,156.93100,157.02600,156.91900,156.94500,0,156.10804,156.27213,156.60785,71.05179,67.98851,,,,
2026-03-02T16:30:00+09:00,156.94500,157.02400,156.89100,156.94800,0,156.11340,156.28620,156.63935,71.16232,69.26921,,,,
2026-03-02T16:45:00+09:00,156.94800,157.03400,156.91700,156.97800,0,156.11859,156.29876,156.67410,72.30127,70.31723,,,,
2026-03-02T17:00:00+09:00,156.97800,157.15600,156.93900,157.15200,0,156.12458,156.31436,156.71600,77.78222,71.45625,,,,
2026-03-02T17:15:00+09:00,157.15200,157.24400,157.13300,157.15400,0,156.13004,156.32793,156.76365,77.83651,72.61355,,,,
2026-03-02T17:30:00+09:00,157.15400,157.25000,157.08600,157.10700,0,156.13582,156.34044,156.80505,73.30360,73.04457,,,,
2026-03-02T17:45:00+09:00,157.10700,157.11700,156.90200,156.97500,0,156.14079,156.35249,156.83795,62.32565,72.54967,,,,
2026-03-02T18:00:00+09:00,156.97500,157.01900,156.83300,156.85400,0,156.14438,156.36316,156.86370,54.29820,71.37017,,,,
2026-03-02T18:15:00+09:00,156.85400,156.90800,156.79600,156.89400,0,156.14808,156.37553,156.88695,56.30190,70.22181,,,,
2026-03-02T18:30:00+09:00,156.89400,156.91100,156.82400,156.88200,0,156.15194,156.38489,156.90470,55.51554,68.84381,,,,
2026-03-02T18:45:00+09:00,156.88200,157.02100,156.87900,157.00700,0,156.15673,156.39684,156.92885,61.54122,67.81032,,,,
2026-03-02T19:00:00+09:00,157.00700,157.01600,156.91300,156.96000,0,156.16126,156.40835,156.94330,58.34125,66.52318,,,,
2026-03-02T19:15:00+09:00,156.96000,156.98600,156.79700,156.83100,0,156.16498,156.41989,156.94830,50.56909,65.20667,,,,
2026-03-02T19:30:00+09:00,156.83100,156.89400,156.80100,156.80400,0,156.16904,156.42968,156.94950,49.09488,63.67324,,,,
