time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,0.70318,0.71167,0.70315,0.70917,356003,0.66220,0.67786,0.70639,60.07991,62.78386,,,,
2026-03-03,0.70917,0.71227,0.69440,0.70346,526402,0.66247,0.67853,0.70646,52.35323,61.49085,,,,
2026-03-04,0.70346,0.70834,0.69844,0.70737,411852,0.66276,0.67930,0.70685,56.48059,60.81638,,,,
2026-03-05,0.70737,0.70891,0.69735,0.70059,419052,0.66304,0.67997,0.70725,48.61632,59.74791,,,,
2026-03-06,0.70059,0.70473,0.69766,0.70259,424056,0.66335,0.68070,0.70733,50.79288,58.81960,,,,
2026-03-09,0.69813,0.70787,0.69562,0.70747,537372,0.66366,0.68154,0.70724,55.72139,58.17441,,,,
2026-03-10,0.70747,0.71683,0.70532,0.71191,413803,0.66401,0.68243,0.70746,59.67845,58.20272,,,,
2026-03-11,0.71191,0.71873,0.71127,0.71509,326409,0.66433,0.68335,0.70758,62.27858,58.34255,,,,
2026-03-12,0.71509,0.71609,0.70721,0.70763,644188,0.66464,0.68416,0.70752,53.55397,57.70592,,,,
2026-03-13,0.70763,0.70922,0.69780,0.69791,321319,0.66488,0.68478,0.70707,44.75619,56.68464,,,,
2026-03-16,0.69901,0.70825,0.69856,0.70709,251577,0.66517,0.68549,0.70707,52.66521,56.21225,,,,
2026-03-17,0.70709,0.71182,0.70492,0.71037,237043,0.66547,0.68624,0.70716,55.13663,55.51415,,,,
2026-03-18,0.71037,0.71234,0.70180,0.70227,252112,0.66573,0.68688,0.70706,48.41409,54.52286,,,,
2026-03-19,0.70227,0.71089,0.69994,0.70863,922262,0.66601,0.68758,0.70722,53.23542,53.84020,,,,
2026-03-20,0.70863,0.70971,0.70051,0.70183,335902,0.66627,0.68813,0.70691,48.06311,52.98186,,,,
2026-03-23,0.69947,0.70625,0.69105,0.70099,743197,0.66651,0.68867,0.70668,47.44981,52.63162,,,,
2026-03-24,0.70099,0.70243,0.69382,0.69940,486028,0.66676,0.68914,0.70637,46.24686,51.90064,,,,
2026-03-25,0.69940,0.70037,0.69426,0.69463,306053,0.66698,0.68957,0.70549,42.74572,51.48131,,,,
2026-03-26,0.69463,0.69569,0.68754,0.68836,537904,0.66718,0.68990,0.70439,38.60818,50.61097,,,,
2026-03-27,0.68836,0.69120,0.68641,0.68698,262030,0.66736,0.69016,0.70319,37.74227,49.32675,,,,
2026-03-30,0.68658,0.68742,0.68332,0.68516,245195,0.66755,0.69041,0.70199,36.57713,47.67666,,,,
2026-03-31,0.68516,0.69038,0.68339,0.68999,357657,0.66777,0.69074,0.70131,41.71920,46.20813
