time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,114.26400,115.27600,114.24600,115.00300,213109,109.35074,113.12073,113.68025,61.46117,48.65698,,,,
2026-03-03,115.00300,115.49400,114.72000,115.25000,245018,109.40800,113.18868,113.73425,63.00989,50.07970,,,,
2026-03-04,115.25000,115.39700,114.78200,115.07600,229061,109.46355,113.25040,113.74725,61.14576,51.64694,,,,
2026-03-05,115.07600,115.71200,114.76800,115.18300,319022,109.51704,113.30389,113.78045,61.89238,53.32297,,,,
2026-03-06,115.18300,116.34300,115.06500,116.25500,300050,109.57497,113.36261,113.84170,68.43636,55.16334,,,,
2026-03-09,116.25500,117.19800,115.97800,115.98900,343890,109.63293,113.41981,113.89325,65.43372,56.86904,,,,
2026-03-10,115.98900,116.60900,115.83100,116.37700,277669,109.69052,113.49352,114.01645,67.66246,58.34163,,,,
2026-03-11,116.37700,117.06500,116.29400,116.94300,234882,109.75507,113.56981,114.21980,70.63672,59.87144,,,,
2026-03-12,116.94300,117.11100,116.67400,116.83700,481758,109.81487,113.65191,114.45055,69.35027,61.28719,,,,
2026-03-13,116.83700,117.01300,116.09400,116.33500,263362,109.87498,113.71783,114.66300,63.45612,62.52728,,,,
2026-03-16,116.33500,116.50300,116.03800,116.21600,207742,109.93111,113.78209,114.84590,62.10855,63.15214,,,,
2026-03-17,116.21600,116.51200,115.79900,116.13400,174157,109.98331,113.84132,115.03325,61.14497,63.42562,,,,
2026-03-18,116.13400,116.50000,115.71700,116.43600,236039,110.03803,113.91292,115.20425,63.39729,64.00976,,,,
2026-03-19,116.43600,116.50100,114.71600,114.75000,608912,110.08197,113.95591,115.27765,47.01275,63.29631,,,,
2026-03-20,114.75000,116.20600,114.71100,115.99900,271266,110.13330,114.01928,115.41165,56.07031,62.91125,,,,
2026-03-23,115.99900,116.39400,115.18600,115.36900,378128,110.18279,114.07595,115.53510,51.30630,62.07528,,,,
2026-03-24,115.36900,115.64700,115.24200,115.30500,285055,110.22906,114.11593,115.61165,50.83378,61.33871,,,,
2026-03-25,115.30500,115.50800,115.11000,115.45700,224529,110.27341,114.15508,115.66790,51.96527,60.62963,,,,
2026-03-26,115.45700,115.46800,115.12900,115.26200,392106,110.31907,114.18115,115.72600,50.36395,59.33875,,,,
2026-03-27,115.26200,115.50900,115.07500,115.34400,203980,110.36615,114.21071,115.77600,51.04708,58.31113,,,,
2026-03-30,115.46300,115.46300,114.39700,114.69000,176979,110.40895,114.23380,115.76035,45.65066,56.73886,,,,
2026-03-31,114.69000,114.87200,113.83600,114.05700,235426,110.44764,114.24652,115.70070,41.11965,54.63050
