time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,203.12000,204.01000,201.67700,201.76800,320984,189.22284,197.63684,200.72015,56.88088,52.98060,,,,
2026-03-03,201.76800,202.19400,200.41300,201.60100,342531,189.36365,197.73233,200.75605,56.03438,53.69272,,,,
2026-03-04,201.60100,201.94700,200.60300,201.51700,290190,189.50143,197.81971,200.74725,55.58627,54.38879,,,,
2026-03-05,201.51700,202.12100,200.97300,201.68000,331822,189.63822,197.91661,200.74875,56.31630,55.00771,,,,
2026-03-06,201.68000,203.36500,201.46900,203.30200,327220,189.77977,198.02720,200.78470,62.85855,55.92080,,,,
2026-03-09,202.97400,203.72000,202.61900,202.68500,381044,189.91748,198.12473,200.75210,59.22499,56.68846,,,,
2026-03-10,202.68500,203.53200,202.62900,202.95200,326333,190.05767,198.25335,200.84995,60.29461,57.17469,,,,
2026-03-11,202.95200,204.01200,202.84000,203.60000,280394,190.20265,198.38109,201.10670,62.84221,57.93031,,,,
2026-03-12,203.60000,203.69600,202.58200,202.58700,533982,190.34256,198.50692,201.31600,56.71581,58.28067,,,,
2026-03-13,202.58700,202.86500,201.71100,201.75900,315243,190.47978,198.60416,201.46270,52.23343,58.43135,,,,
2026-03-16,201.75900,202.22000,201.10100,201.78100,272885,190.61328,198.70667,201.58190,52.34121,58.03191,,,,
2026-03-17,201.78100,202.66400,201.76000,202.46900,219057,190.74540,198.81681,201.75440,55.70699,57.62124,,,,
2026-03-18,202.46900,202.71200,201.52800,201.56700,274567,190.87398,198.92985,201.82255,50.65600,57.11114,,,,
2026-03-19,201.56700,201.80200,199.48800,200.06600,697638,190.99420,199.00995,201.82890,43.57544,55.80479,,,,
2026-03-20,200.06600,202.17100,199.95600,201.98100,314609,191.12327,199.11528,201.93570,52.66586,55.50372,,,,
2026-03-23,201.98100,202.43000,200.50300,201.33000,406202,191.24486,199.22775,202.02690,49.73258,55.05359,,,,
2026-03-24,201.33000,201.75700,200.59000,201.21800,364626,191.36338,199.33803,202.02275,49.22462,54.59918,,,,
2026-03-25,201.21800,201.64200,200.86000,201.39900,303231,191.48126,199.44800,201.97900,50.11144,54.15598,,,,
2026-03-26,201.39900,201.51500,200.78500,200.83000,539512,191.59647,199.53267,201.94095,47.31383,53.04564,,,,
2026-03-27,200.83000,201.09000,200.29600,200.48400,304081,191.71307,199.60677,201.82880,45.64507,52.07565,,,,
2026-03-30,200.48400,200.59900,199.14200,199.75900,255377,191.82160,199.66335,201.72835,42.28006,50.78890,,,,
2026-03-31,199.75900,200.20200,197.72700,198.50100,334278,191.92205,199.70163,201.57335,37.16082,48.95451
