time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,97.87400,98.75300,97.76800,98.54800,0,98.35224,98.33960,97.49125,61.80950,49.44713,,,,
2026-03-03,98.55600,99.68300,98.43500,99.07100,0,98.35207,98.33691,97.57575,66.59297,51.26105,,,,
2026-03-04,99.10600,99.32900,98.70000,98.77500,0,98.35129,98.32680,97.63240,61.86973,52.72548,,,,
2026-03-05,98.77200,99.41300,98.66700,99.06100,0,98.34880,98.31965,97.68815,64.49042,54.40231,,,,
2026-03-06,99.00900,99.43500,98.83600,98.85500,0,98.34369,98.30288,97.74685,61.22627,55.62774,,,,
2026-03-09,98.85500,99.69500,98.69800,98.72700,0,98.34067,98.28308,97.83975,59.22053,56.70054,,,,
2026-03-10,98.79700,98.95400,98.49200,98.91500,0,98.33803,98.26600,97.94095,61.22949,57.35408,,,,
2026-03-11,98.93700,99.29900,98.69900,99.25200,0,98.34075,98.25356,98.05820,64.59641,58.14075,,,,
2026-03-12,99.45300,99.75900,99.25000,99.74300,0,98.34322,98.25291,98.19935,68.84200,59.26146,,,,
2026-03-13,99.69200,100.54000,99.58600,100.49400,0,98.35160,98.26533,98.37985,73.98145,60.84852,,,,
2026-03-16,100.42700,100.48000,99.66000,99.82200,0,98.35715,98.26919,98.51605,63.83488,61.52716,,,,
2026-03-17,99.86300,100.11500,99.50300,99.56200,0,98.35895,98.27029,98.63880,60.38417,62.22594,,,,
2026-03-18,99.54700,100.31400,99.46500,100.23300,0,98.36509,98.28131,98.76575,65.55863,63.14877,,,,
2026-03-19,100.23300,100.30600,98.97500,99.16200,0,98.36568,98.27920,98.83290,53.53840,63.36963,,,,
2026-03-20,99.29000,99.79300,99.25200,99.50300,0,98.37028,98.28767,98.91860,56.28659,62.97514,,,,
2026-03-23,99.68100,100.14800,98.88000,99.14600,0,98.37683,98.28869,98.99110,52.76759,61.98761,,,,
2026-03-24,99.14300,99.62200,99.06000,99.18200,0,98.38205,98.29131,99.05610,53.08611,61.36021,,,,
2026-03-25,99.19800,99.66500,99.07100,99.63700,0,98.38954,98.29851,99.15580,57.03024,60.82734,,,,
2026-03-26,99.62900,100.01000,99.56200,99.86400,0,98.39475,98.30680,99.25990,58.88729,60.66027,,,,
2026-03-27,99.87100,100.20600,99.80300,100.19300,0,98.40146,98.32759,99.38725,61.48531,60.82204,,,,
2026-03-30,100.21700,100.61400,100.05000,100.49100,0,98.41000,98.35635,99.48440,63.72156,61.00005,,,,
2026-03-31,100.58500,100.64300,99.80800,99.85600,0,98.41541,98.37585,99.52365,56.22952,60.40241
