time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,0.87661,0.87873,0.87138,0.87141,262737,0.86710,0.87206,0.87081,50.88822,55.62872,,,,
2026-03-03,0.87141,0.87393,0.86899,0.86900,306098,0.86725,0.87189,0.87115,46.22695,54.97562,,,,
2026-03-04,0.86900,0.87124,0.86847,0.86951,238175,0.86740,0.87173,0.87143,47.32650,54.41080,,,,
2026-03-05,0.86951,0.87118,0.86840,0.86870,271692,0.86756,0.87157,0.87138,45.72722,54.16101,,,,
2026-03-06,0.86870,0.86982,0.86471,0.86581,283647,0.86769,0.87134,0.87128,40.47217,53.38108,,,,
2026-03-09,0.86507,0.86769,0.86429,0.86509,331188,0.86781,0.87112,0.87106,39.26161,51.95722,,,,
2026-03-10,0.86509,0.86608,0.86419,0.86524,237119,0.86792,0.87093,0.87073,39.66649,50.71702,,,,
2026-03-11,0.86524,0.86571,0.86184,0.86237,221247,0.86801,0.87071,0.87030,34.87607,48.94769,,,,
2026-03-12,0.86237,0.86369,0.86155,0.86264,438126,0.86812,0.87050,0.86988,35.66325,47.34653,,,,
2026-03-13,0.86264,0.86543,0.86201,0.86292,249457,0.86822,0.87033,0.86962,36.52019,45.85125,,,,
2026-03-16,0.86225,0.86499,0.86193,0.86366,201930,0.86833,0.87017,0.86934,38.83879,44.74476,,,,
2026-03-17,0.86366,0.86454,0.86318,0.86396,178076,0.86844,0.87001,0.86886,39.79878,43.90841,,,,
2026-03-18,0.86396,0.86511,0.86261,0.86371,216721,0.86855,0.86982,0.86842,39.24595,42.47720,,,,
2026-03-19,0.86371,0.86489,0.86115,0.86272,604912,0.86863,0.86960,0.86784,37.05111,40.82595,,,,
2026-03-20,0.86272,0.86790,0.86147,0.86718,260464,0.86873,0.86951,0.86752,50.48566,40.79720,,,,
2026-03-23,0.86606,0.86792,0.86306,0.86399,392833,0.86879,0.86938,0.86706,43.35803,40.59227,,,,
2026-03-24,0.86399,0.86584,0.86354,0.86537,262941,0.86887,0.86928,0.86672,46.85365,40.55850,,,,
2026-03-25,0.86537,0.86680,0.86454,0.86472,235203,0.86894,0.86916,0.86641,45.43145,40.53737,,,,
2026-03-26,0.86472,0.86623,0.86365,0.86446,466956,0.86899,0.86903,0.86589,44.84507,40.84972,,,,
2026-03-27,0.86446,0.86791,0.86411,0.86739,215757,0.86905,0.86895,0.86549,52.31447,41.78207,,,,
2026-03-30,0.86670,0.86982,0.86585,0.86936,193469,0.86913,0.86885,0.86539,56.57286,42.98967,,,,
2026-03-31,0.86936,0.87425,0.86759,0.87296,291561,0.86921,0.86880,0.86559,63.06412,45.00310
