time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,1.17708,1.17958,1.16717,1.16873,283673,1.16627,1.17280,1.18169,38.25306,49.85000,,,,
2026-03-03,1.16873,1.17068,1.15302,1.16129,376549,1.16639,1.17279,1.18068,32.97642,48.19993,,,,
2026-03-04,1.16129,1.16545,1.15746,1.16332,283518,1.16652,1.17284,1.17981,35.58721,46.74392,,,,
2026-03-05,1.16332,1.16472,1.15588,1.16083,322512,1.16666,1.17288,1.17896,33.84566,45.18924,,,,
2026-03-06,1.16083,1.16214,1.15458,1.16157,311579,1.16682,1.17299,1.17797,34.86582,43.82796,,,,
2026-03-09,1.15449,1.16374,1.15071,1.16345,441018,1.16696,1.17313,1.17657,37.50264,42.62668,,,,
2026-03-10,1.16345,1.16672,1.16058,1.16107,307923,1.16709,1.17326,1.17515,35.54106,41.82069,,,,
2026-03-11,1.16107,1.16453,1.15607,1.15668,262058,1.16715,1.17332,1.17363,32.19590,40.83964,,,,
2026-03-12,1.15668,1.15745,1.15095,1.15112,451658,1.16722,1.17325,1.17184,28.53297,39.56051,,,,
2026-03-13,1.15112,1.15296,1.14108,1.14141,244684,1.16722,1.17301,1.16957,23.50380,37.85786,,,,
2026-03-16,1.14275,1.15249,1.14141,1.15046,207508,1.16725,1.17288,1.16784,35.00274,37.07687,,,,
2026-03-17,1.15046,1.15472,1.14659,1.15396,171977,1.16733,1.17281,1.16626,38.83226,36.22924,,,,
2026-03-18,1.15396,1.15552,1.14499,1.14517,213901,1.16734,1.17260,1.16461,33.49483,35.11478,,,,
2026-03-19,1.14517,1.16162,1.14428,1.15883,733388,1.16743,1.17255,1.16369,45.93212,34.71903,,,,
2026-03-20,1.15883,1.15949,1.15245,1.15704,257858,1.16747,1.17242,1.16265,44.75109,35.18318,,,,
2026-03-23,1.15351,1.16397,1.14844,1.16116,552768,1.16749,1.17238,1.16178,48.06136,36.26067,,,,
2026-03-24,1.16116,1.16282,1.15569,1.16068,363207,1.16751,1.17233,1.16096,47.70276,37.12607,,,,
2026-03-25,1.16068,1.16305,1.15552,1.15585,254887,1.16751,1.17223,1.15970,44.13428,37.86097,,,,
2026-03-26,1.15585,1.15723,1.15194,1.15255,422672,1.16754,1.17209,1.15834,41.83179,38.35854,,,,
2026-03-27,1.15255,1.15477,1.15017,1.15078,207891,1.16755,1.17184,1.15680,40.60809,38.58036,,,,
2026-03-30,1.15008,1.15212,1.14430,1.14639,188697,1.16754,1.17148,1.15568,37.66511,38.73208,,,,
2026-03-31,1.14639,1.15634,1.14470,1.15527,274821,1.16755,1.17123,1.15538,46.16430,39.72982
