time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,209.24800,211.38000,209.19400,210.84000,623701,202.94432,209.63168,210.41395,51.93761,44.58756,,,,
2026-03-03,210.84000,211.35800,209.21200,210.60000,715371,203.03286,209.72741,210.28060,50.86675,45.42975,,,,
2026-03-04,210.60000,210.69200,209.48000,209.97600,625376,203.11467,209.80547,210.07470,48.09043,46.23493,,,,
2026-03-05,209.97600,210.61500,209.16800,210.34900,641004,203.19213,209.88596,209.97415,49.85238,47.00448,,,,
2026-03-06,210.34900,211.53200,210.04500,211.44300,667523,203.27424,209.96936,209.85225,54.70818,47.88311,,,,
2026-03-09,210.81500,212.17800,210.60000,211.83300,754264,203.36120,210.04991,209.77360,56.33152,49.15805,,,,
2026-03-10,211.83300,212.41500,211.58000,211.98000,646194,203.45232,210.14595,209.84530,56.95773,50.18977,,,,
2026-03-11,211.98000,213.30700,211.94800,213.06700,513928,203.55193,210.24620,210.06155,61.36922,51.56657,,,,
2026-03-12,213.06700,213.13900,212.40400,212.51200,976248,203.64171,210.34187,210.29030,58.09522,52.61258,,,,
2026-03-13,212.51200,212.87000,211.06800,211.11000,518831,203.73028,210.39485,210.42495,50.73227,53.22337,,,,
2026-03-16,211.18200,212.11700,210.80300,211.75200,432693,203.81517,210.46033,210.55570,53.63039,53.49979,,,,
2026-03-17,211.75200,212.48800,211.62800,212.20800,403483,203.89705,210.53465,210.77165,55.62698,53.44982,,,,
2026-03-18,212.20800,212.72900,211.88400,211.91000,431484,203.97758,210.62196,210.92880,53.99087,53.72260,,,,
2026-03-19,211.91000,212.34300,210.79300,211.70500,1261232,204.05886,210.70008,211.08190,52.83953,53.93065,,,,
2026-03-20,211.70500,212.77500,211.60900,212.43600,511154,204.14217,210.77017,211.25755,56.40920,54.25005,,,,
2026-03-23,212.16500,213.29500,211.57800,212.63700,760091,204.22909,210.85052,211.45995,57.36482,54.71420,,,,
2026-03-24,212.63700,212.98100,212.24300,212.71600,691479,204.31500,210.92672,211.58625,57.75679,55.40465,,,,
2026-03-25,212.71600,213.20900,212.49600,213.00500,511884,204.39819,210.99815,211.64175,59.23336,56.07472,,,,
2026-03-26,213.00500,213.30900,212.69700,212.87700,990518,204.48796,211.05593,211.76515,58.26200,56.32857,,,,
2026-03-27,212.87700,213.09900,212.22300,212.55800,447273,204.57745,211.10739,211.87570,55.80585,56.29102,,,,
2026-03-30,212.51700,212.60200,210.20000,210.44900,442614,204.65094,211.13779,211.85615,42.92255,55.28850,,,,
2026-03-31,210.44900,211.21300,209.62400,209.88200,552939,204.71867,211.15971,211.82025,40.23334,53.77880
