time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,1.34122,1.34558,1.33142,1.34047,433433,1.34441,1.34418,1.35607,38.88364,46.66646,,,,
2026-03-03,1.34047,1.34250,1.32528,1.33544,547738,1.34432,1.34442,1.35437,35.81319,45.41463,,,,
2026-03-04,1.33544,1.34031,1.33031,1.33731,415807,1.34423,1.34472,1.35304,37.78027,44.34464,,,,
2026-03-05,1.33731,1.33868,1.32973,1.33534,433131,1.34415,1.34500,1.35219,36.51084,43.02771,,,,
2026-03-06,1.33534,1.34095,1.33112,1.34039,462774,1.34412,1.34546,1.35116,41.90009,42.24801,,,,
2026-03-09,1.33339,1.34470,1.32829,1.34339,583059,1.34410,1.34595,1.34987,44.89271,42.02160,,,,
2026-03-10,1.34339,1.34831,1.34121,1.34174,402938,1.34408,1.34637,1.34875,43.56364,42.04673,,,,
2026-03-11,1.34174,1.34574,1.33933,1.34107,325969,1.34402,1.34678,1.34767,43.00686,42.16849,,,,
2026-03-12,1.34107,1.34116,1.33380,1.33422,625872,1.34393,1.34702,1.34629,37.70144,41.85909,,,,
2026-03-13,1.33422,1.33694,1.32128,1.32137,329042,1.34376,1.34699,1.34410,30.18004,40.87493,,,,
2026-03-16,1.32375,1.33398,1.32203,1.33195,282415,1.34364,1.34709,1.34257,40.67428,40.67664,,,,
2026-03-17,1.33195,1.33644,1.32733,1.33545,249023,1.34355,1.34727,1.34152,43.68956,40.21203,,,,
2026-03-18,1.33545,1.33743,1.32522,1.32564,286614,1.34341,1.34733,1.34033,37.87841,39.75912,,,,
2026-03-19,1.32564,1.34673,1.32458,1.34299,929052,1.34338,1.34762,1.34017,50.43507,40.20786,,,,
2026-03-20,1.34299,1.34420,1.32986,1.33394,340964,1.34328,1.34760,1.33951,45.29238,40.66563,,,,
2026-03-23,1.33098,1.34792,1.32568,1.34235,779032,1.34318,1.34774,1.33917,50.35806,41.70455,,,,
2026-03-24,1.34235,1.34453,1.33521,1.34110,470894,1.34311,1.34785,1.33880,49.62259,42.55043,,,,
2026-03-25,1.34110,1.34359,1.33581,1.33634,332019,1.34301,1.34790,1.33783,46.81846,43.28668,,,,
2026-03-26,1.33634,1.33783,1.33101,1.33255,620646,1.34296,1.34794,1.33705,44.65473,43.48344,,,,
2026-03-27,1.33255,1.33471,1.32515,1.32515,285383,1.34287,1.34777,1.33591,40.69965,43.18394,,,,
2026-03-30,1.32515,1.32825,1.31737,1.31864,280711,1.34273,1.34751,1.33482,37.54888,42.75431,,,,
2026-03-31,1.31864,1.32643,1.31593,1.32174,361518,1.34262,1.34731,1.33413,39.93353,42.53479
