time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,92.76500,93.74700,92.76500,93.44500,247066,88.67262,91.13872,93.13450,56.12565,51.94002,,,,
2026-03-03,93.44500,93.76200,92.11700,92.83300,294803,88.71048,91.20673,93.07090,50.57344,51.91865,,,,
2026-03-04,92.83300,93.30700,92.42700,93.24200,254016,88.74845,91.27921,93.02770,53.85857,52.38739,,,,
2026-03-05,93.24200,93.32500,92.65300,92.83700,240392,88.78357,91.34401,93.00030,50.29387,52.57851,,,,
2026-03-06,92.83700,93.25400,92.47700,93.07600,239593,88.81741,91.41153,92.92470,52.30024,52.66882,,,,
2026-03-09,92.69400,93.73600,92.57900,93.48600,329707,88.85494,91.48608,92.87900,55.61043,52.96644,,,,
2026-03-10,93.48600,94.00100,93.18700,93.69600,252126,88.89394,91.56568,92.89970,57.24697,53.60086,,,,
2026-03-11,93.69600,94.18300,93.61700,93.94100,198850,88.93325,91.64532,92.96475,59.13965,54.22030,,,,
2026-03-12,93.94100,93.97500,93.22400,93.23000,385142,88.96781,91.71967,93.01950,51.95180,54.27413,,,,
2026-03-13,93.23000,93.31900,92.20300,92.20800,196517,88.99919,91.76136,93.02110,43.72524,54.08931,,,,
2026-03-16,92.38100,93.27100,92.25300,93.19200,161621,89.03219,91.81120,93.05015,51.66187,53.91708,,,,
2026-03-17,93.19200,93.30900,92.60800,93.11000,150794,89.06236,91.85949,93.07250,51.01617,53.29970,,,,
2026-03-18,93.11000,93.28000,92.54700,92.63800,169910,89.08873,91.90743,93.08970,47.34777,52.71191,,,,
2026-03-19,92.63800,93.00900,92.12200,92.60000,525484,89.11338,91.94969,93.09285,47.05441,51.99329,,,,
2026-03-20,92.60000,93.29700,92.53400,92.75500,212144,89.14175,91.99225,93.09960,48.45722,51.44555,,,,
2026-03-23,92.58300,93.20800,91.95600,92.74200,366468,89.17041,92.03737,93.13325,48.34153,51.28612,,,,
2026-03-24,92.74200,92.91100,92.20100,92.57500,274086,89.20007,92.07601,93.11325,46.79595,50.78165,,,,
2026-03-25,92.57500,92.72700,92.34200,92.50800,188978,89.22451,92.10899,93.04960,46.15833,50.48625,,,,
2026-03-26,92.50800,92.60700,91.90400,91.99500,322150,89.24781,92.12673,92.98290,41.49614,49.71453,,,,
2026-03-27,91.99500,92.31100,91.77500,92.02800,166497,89.27102,92.14389,92.90685,41.90265,48.73541,,,,
2026-03-30,92.10000,92.10000,90.95700,91.33100,153581,89.29216,92.15728,92.80115,36.18378,47.23089,,,,
2026-03-31,91.33100,91.60500,90.67100,91.15200,206205,89.31245,92.16743,92.71710,34.86765,45.49718
