time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,0.59466,0.59946,0.59160,0.59363,246520,0.58755,0.58436,0.60007,45.64361,54.77340,,,,
2026-03-03,0.59363,0.59556,0.58360,0.58882,387923,0.58751,0.58464,0.59929,39.98104,53.08156,,,,
2026-03-04,0.58882,0.59422,0.58612,0.59402,291462,0.58748,0.58502,0.59900,47.55588,52.07040,,,,
2026-03-05,0.59402,0.59485,0.58728,0.58952,281041,0.58745,0.58534,0.59873,42.55105,50.71425,,,,
2026-03-06,0.58952,0.59156,0.58573,0.58984,287685,0.58742,0.58573,0.59817,43.01036,49.41032,,,,
2026-03-09,0.58613,0.59349,0.58482,0.59327,370405,0.58740,0.58620,0.59757,47.82549,48.34050,,,,
2026-03-10,0.59327,0.59644,0.59073,0.59287,264222,0.58739,0.58662,0.59700,47.32333,48.14885,,,,
2026-03-11,0.59287,0.59483,0.59049,0.59130,213418,0.58733,0.58703,0.59633,45.31230,47.74430,,,,
2026-03-12,0.59130,0.59137,0.58509,0.58541,422832,0.58726,0.58734,0.59542,38.67262,46.86353,,,,
2026-03-13,0.58541,0.58620,0.57687,0.57687,197903,0.58713,0.58744,0.59409,31.47182,45.62618,,,,
2026-03-16,0.57899,0.58693,0.57755,0.58606,166132,0.58704,0.58761,0.59323,43.63458,45.15655,,,,
2026-03-17,0.58606,0.58686,0.58166,0.58574,150560,0.58697,0.58778,0.59229,43.34609,44.33464,,,,
2026-03-18,0.58574,0.58725,0.57885,0.57960,170850,0.58684,0.58787,0.59145,38.13606,43.42837,,,,
2026-03-19,0.57960,0.58923,0.57847,0.58738,587644,0.58675,0.58807,0.59097,46.85301,42.95123,,,,
2026-03-20,0.58738,0.58918,0.58177,0.58231,226804,0.58665,0.58813,0.59023,42.63678,42.73646,,,,
2026-03-23,0.58147,0.58874,0.57620,0.58573,525866,0.58655,0.58826,0.58974,46.15661,43.17757,,,,
2026-03-24,0.58573,0.58668,0.57935,0.58349,328668,0.58646,0.58835,0.58909,44.24179,42.94085,,,,
2026-03-25,0.58349,0.58434,0.58039,0.58051,209044,0.58633,0.58839,0.58813,41.75977,42.88433,,,,
2026-03-26,0.58051,0.58110,0.57502,0.57591,332722,0.58621,0.58836,0.58707,38.19745,42.54055,,,,
2026-03-27,0.57591,0.57777,0.57378,0.57391,168400,0.58606,0.58826,0.58581,36.73036,41.74804,,,,
2026-03-30,0.57465,0.57495,0.56996,0.57207,155593,0.58593,0.58814,0.58473,35.38388,40.89522,,,,
2026-03-31,0.57207,0.57486,0.56978,0.57448,221579,0.58582,0.58807,0.58401,38.56079,40.41297
