time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,1.36480,1.37188,1.36306,1.36728,305295,1.38041,1.37862,1.36476,49.59584,47.70427,,,,
2026-03-03,1.36728,1.37529,1.36532,1.36789,427340,1.38038,1.37817,1.36498,50.35334,48.46135,,,,
2026-03-04,1.36789,1.36998,1.36267,1.36427,314422,1.38034,1.37762,1.36489,45.94090,48.66541,,,,
2026-03-05,1.36427,1.37162,1.36148,1.36738,315610,1.38027,1.37720,1.36471,49.99505,49.12308,,,,
2026-03-06,1.36738,1.36769,1.35591,1.35591,299641,1.38013,1.37654,1.36416,38.52101,48.61322,,,,
2026-03-09,1.35976,1.36062,1.35253,1.35867,398688,1.38002,1.37587,1.36431,41.97210,48.33636,,,,
2026-03-10,1.35867,1.36017,1.35421,1.35794,266925,1.37994,1.37518,1.36446,41.31156,47.58883,,,,
2026-03-11,1.35794,1.36050,1.35544,1.35923,220569,1.37988,1.37449,1.36455,43.01814,47.07622,,,,
2026-03-12,1.35923,1.36427,1.35766,1.36377,451106,1.37984,1.37388,1.36469,48.67476,47.01118,,,,
2026-03-13,1.36377,1.37416,1.36208,1.37201,243884,1.37986,1.37345,1.36523,57.01523,47.36437,,,,
2026-03-16,1.37147,1.37257,1.36529,1.36857,195830,1.37987,1.37299,1.36549,53.13334,47.42944,,,,
2026-03-17,1.36857,1.37226,1.36788,1.36903,163285,1.37987,1.37262,1.36576,53.58840,47.74110,,,,
2026-03-18,1.36903,1.37376,1.36869,1.37303,197943,1.37989,1.37226,1.36594,57.45667,48.26218,,,,
2026-03-19,1.37303,1.37483,1.37045,1.37386,572104,1.37992,1.37196,1.36623,58.23454,49.20078,,,,
2026-03-20,1.37386,1.37477,1.36995,1.37183,253921,1.37995,1.37165,1.36646,55.55886,49.62671,,,,
2026-03-23,1.37183,1.37549,1.36694,1.37247,398668,1.38001,1.37134,1.36660,56.24149,50.04729,,,,
2026-03-24,1.37247,1.37854,1.37167,1.37628,300727,1.38010,1.37127,1.36693,60.16434,51.06325,,,,
2026-03-25,1.37628,1.38198,1.37500,1.38100,202116,1.38022,1.37121,1.36761,64.41983,52.09359,,,,
2026-03-26,1.38100,1.38660,1.38006,1.38594,363490,1.38031,1.37123,1.36851,68.24349,54.21662,,,,
2026-03-27,1.38594,1.38955,1.38449,1.38900,181799,1.38041,1.37136,1.36977,70.36778,56.24489,,,,
2026-03-30,1.38771,1.39454,1.38767,1.39223,170192,1.38052,1.37156,1.37102,72.46181,58.46991,,,,
2026-03-31,1.39223,1.39668,1.39058,1.39146,220293,1.38062,1.37175,1.37219,71.17061,60.48080
