time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,0.76680,0.78133,0.76680,0.77874,223123,0.79766,0.78867,0.77228,53.50886,44.50997,,,,
2026-03-03,0.77874,0.78785,0.77774,0.78175,282505,0.79747,0.78852,0.77265,56.45886,45.58088,,,,
2026-03-04,0.78175,0.78352,0.77816,0.77816,218288,0.79725,0.78828,0.77269,52.20415,46.45927,,,,
2026-03-05,0.77816,0.78375,0.77788,0.78087,231370,0.79702,0.78803,0.77285,54.96323,47.59181,,,,
2026-03-06,0.78087,0.78274,0.77500,0.77501,233906,0.79677,0.78763,0.77283,48.45021,48.08842,,,,
2026-03-09,0.77881,0.78255,0.77689,0.77694,296866,0.79654,0.78725,0.77341,50.52943,48.73702,,,,
2026-03-10,0.77694,0.77929,0.77479,0.77788,209192,0.79632,0.78685,0.77394,51.55434,49.16044,,,,
2026-03-11,0.77788,0.78085,0.77648,0.77990,179041,0.79613,0.78647,0.77441,53.77082,49.60344,,,,
2026-03-12,0.77990,0.78633,0.77865,0.78591,340196,0.79595,0.78620,0.77529,59.68129,50.45230,,,,
2026-03-13,0.78591,0.79168,0.78470,0.79081,164844,0.79581,0.78602,0.77647,63.75053,51.62354,,,,
2026-03-16,0.79081,0.79228,0.78647,0.78647,148488,0.79564,0.78577,0.77732,58.15228,52.45309,,,,
2026-03-17,0.78647,0.79002,0.78404,0.78404,120785,0.79546,0.78552,0.77806,55.22794,53.20963,,,,
2026-03-18,0.78404,0.79359,0.78372,0.79314,149548,0.79531,0.78537,0.77907,62.77700,54.38586,,,,
2026-03-19,0.79314,0.79581,0.78570,0.78815,553876,0.79514,0.78518,0.77974,57.09230,55.58009,,,,
2026-03-20,0.78815,0.79054,0.78551,0.78727,195557,0.79498,0.78502,0.78036,56.12704,55.76710,,,,
2026-03-23,0.78727,0.79398,0.78342,0.78625,411873,0.79486,0.78479,0.78094,54.96700,55.66054,,,,
2026-03-24,0.78625,0.79246,0.78555,0.78817,254921,0.79475,0.78458,0.78166,56.77789,55.98724,,,,
2026-03-25,0.78817,0.79245,0.78697,0.79085,183877,0.79464,0.78437,0.78259,59.24164,56.29284,,,,
2026-03-26,0.79085,0.79591,0.79056,0.79454,302984,0.79453,0.78421,0.78365,62.41811,57.29054,,,,
2026-03-27,0.79454,0.79933,0.79344,0.79818,162883,0.79443,0.78419,0.78515,65.29168,58.34499,,,,
2026-03-30,0.79818,0.80127,0.79716,0.79829,148447,0.79434,0.78423,0.78613,65.37783,59.33238,,,,
2026-03-31,0.79829,0.80424,0.79790,0.79894,199406,0.79425,0.78428,0.78699,65.91621,60.19991
