time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,155.94400,157.75200,155.94400,157.34900,386869,150.98378,155.96111,155.17075,60.82224,47.62447,,,,
2026-03-03,157.34900,157.96900,157.15100,157.68400,417356,151.05944,156.00329,155.26945,62.27052,49.37332,,,,
2026-03-04,157.68400,157.86200,156.84900,157.04900,353244,151.13051,156.02829,155.28130,57.90118,50.93488,,,,
2026-03-05,157.04900,157.85000,156.44900,157.55000,356990,151.19666,156.05625,155.30760,60.26984,52.68482,,,,
2026-03-06,157.55000,158.08900,157.36600,157.75000,369394,151.26133,156.06444,155.33610,61.20816,54.11866,,,,
2026-03-09,158.04500,158.90000,157.62500,157.64500,489915,151.32874,156.06723,155.42500,60.40162,55.57108,,,,
2026-03-10,157.64500,158.13400,157.27200,158.03600,364301,151.39873,156.09000,155.60825,62.38909,56.57160,,,,
2026-03-11,158.03600,158.97600,157.86100,158.94300,262674,151.48017,156.11709,155.89420,66.57944,57.78804,,,,
2026-03-12,158.94300,159.43100,158.56900,159.32400,502064,151.55697,156.16100,156.22505,68.18304,59.10782,,,,
2026-03-13,159.32400,159.74600,159.00700,159.70000,295794,151.64165,156.20428,156.57860,69.72684,60.68356,,,,
2026-03-16,159.52400,159.74300,158.84900,159.05600,248299,151.71943,156.24132,156.85570,63.99905,61.37898,,,,
2026-03-17,159.05600,159.49700,158.72100,158.98300,213846,151.79028,156.27939,157.14225,63.36365,61.87262,,,,
2026-03-18,158.98300,159.90100,158.56900,159.80700,247371,151.86634,156.33807,157.39445,67.30905,62.76449,,,,
2026-03-19,159.80700,159.85200,157.50600,157.68800,822068,151.93042,156.36241,157.52900,51.84633,62.59072,,,,
2026-03-20,157.68800,159.38600,157.58300,159.20000,282477,152.00381,156.41557,157.73765,59.07144,62.46566,,,,
2026-03-23,159.30700,159.65700,158.01700,158.41000,599559,152.07846,156.46035,157.92595,54.47256,61.90866,,,,
2026-03-24,158.41000,159.19100,158.25700,158.67800,366394,152.15148,156.50489,158.06515,55.73166,61.75370,,,,
2026-03-25,158.67800,159.50000,158.56400,159.46200,290041,152.22531,156.55212,158.22040,59.27952,61.68296,,,,
2026-03-26,159.46200,159.84900,159.28500,159.78500,446624,152.29797,156.59177,158.40515,60.67776,61.64507,,,,
2026-03-27,159.78500,160.41300,159.45600,160.24700,216358,152.37368,156.64836,158.61730,62.65313,61.80590,,,,
2026-03-30,160.14500,160.46100,159.32500,159.66900,222797,152.44479,156.70293,158.73330,58.68139,61.54106,,,,
2026-03-31,159.66900,159.97400,158.65500,158.71100,282883,152.50804,156.74176,158.78465,52.71644,60.55085
