time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.70318,0.70620,0.70315,0.70502,3635,0.70787,0.71062,0.71120,26.45731,48.40426,,,,
2026-03-02T08:00:00+09:00,0.70502,0.70862,0.70459,0.70559,17380,0.70788,0.71061,0.71089,29.71605,46.85906,,,,
2026-03-02T09:00:00+09:00,0.70559,0.70850,0.70519,0.70844,16090,0.70789,0.71065,0.71069,43.25521,46.50688,,,,
2026-03-02T10:00:00+09:00,0.70844,0.71092,0.70836,0.71065,22867,0.70791,0.71071,0.71059,51.11863,46.81014,,,,
2026-03-02T11:00:00+09:00,0.71065,0.71083,0.70937,0.71063,13302,0.70792,0.71078,0.71049,51.04968,47.25199,,,,
2026-03-02T12:00:00+09:00,0.71063,0.71167,0.71042,0.71096,9512,0.70793,0.71082,0.71043,52.19535,48.08865,,,,
2026-03-02T13:00:00+09:00,0.71096,0.71125,0.70933,0.70945,9860,0.70794,0.71084,0.71033,46.79801,48.10846,,,,
2026-03-02T14:00:00+09:00,0.70945,0.70949,0.70769,0.70775,9184,0.70794,0.71082,0.71015,41.58444,46.84564,,,,
2026-03-02T15:00:00+09:00,0.70775,0.70816,0.70629,0.70667,15131,0.70793,0.71077,0.70994,38.63936,45.64024,,,,
2026-03-02T16:00:00+09:00,0.70667,0.70700,0.70485,0.70580,17371,0.70791,0.71071,0.70969,36.40279,44.50634,,,,
2026-03-02T17:00:00+09:00,0.70580,0.70698,0.70448,0.70673,21396,0.70791,0.71065,0.70950,40.37583,43.57677,,,,
2026-03-02T18:00:00+09:00,0.70673,0.70916,0.70647,0.70784,13693,0.70791,0.71060,0.70940,44.80770,43.11845,,,,
2026-03-02T19:00:00+09:00,0.70784,0.70974,0.70783,0.70889,12502,0.70792,0.71058,0.70932,48.69274,42.79618,,,,
2026-03-02T20:00:00+09:00,0.70889,0.70910,0.70784,0.70837,10656,0.70793,0.71057,0.70911,46.93087,42.71600,,,,
2026-03-02T21:00:00+09:00,0.70837,0.70846,0.70561,0.70586,13275,0.70792,0.71053,0.70880,39.50112,43.64770,,,,
2026-03-02T22:00:00+09:00,0.70586,0.70735,0.70551,0.70574,16700,0.70792,0.71050,0.70851,39.18175,44.32382,,,,
2026-03-02T23:00:00+09:00,0.70574,0.70836,0.70517,0.70763,26943,0.70792,0.71049,0.70831,46.51623,44.55675,,,,
2026-03-03T00:00:00+09:00,0.70763,0.70874,0.70569,0.70584,27934,0.70792,0.71045,0.70803,41.42134,43.86409,,,,
2026-03-03T01:00:00+09:00,0.70584,0.70709,0.70530,0.70658,19895,0.70791,0.71042,0.70777,44.14502,43.37090,,,,
2026-03-03T02:00:00+09:00,0.70658,0.70836,0.70633,0.70832,11312,0.70792,0.71040,0.70764,50.02858,43.21613,,,,
2026-03-03T03:00:00+09:00,0.70832,0.70839,0.70763,0.70820,8005,0.70792,0.71037,0.70780,49.64023,43.41914,,,,
2026-03-03T04:00:00+09:00,0.70820,0.71059,0.70816,0.71037,8083,0.70794,0.71035,0.70804,56.25351,44.46693,,,,
2026-03-03T05:00:00+09:00,0.71037,0.71039,0.70718,0.70862,24393,0.70794,0.71031,0.70804,50.49459,45.31374,,,,
2026-03-03T06:00:00+09:00,0.70862,0.70948,0.70862,0.70917,4899,0.70796,0.71027,0.70797,52.15250,46.43871,,,,
2026-03-03T07:00:00+09:00,0.70917,0.71029,0.70876,0.70992,3064,0.70798,0.71024,0.70794,54.39535,47.44011,,,,
2026-03-03T08:00:00+09:00,0.70992,0.71081,0.70984,0.71024,4186,0.70800,0.71022,0.70790,55.35689,48.19362,,,,
2026-03-03T09:00:00+09:00,0.71024,0.71040,0.70952,0.71006,7382,0.70801,0.71019,0.70793,54.65877,48.61977,,,,
2026-03-03T10:00:00+09:00,0.71006,0.71226,0.70991,0.71005,16403,0.70803,0.71016,0.70804,54.61756,49.16882,,,,
2026-03-03T11:00:00+09:00,0.71005,0.71095,0.70871,0.71042,16706,0.70806,0.71014,0.70823,55.94117,50.34311,,,,
2026-03-03T12:00:00+09:00,0.71042,0.71143,0.70980,0.71087,11424,0.70810,0.71012,0.70849,57.56230,51.65600,,,,
2026-03-03T13:00:00+09:00,0.71087,0.71140,0.71024,0.71039,8909,0.70813,0.71008,0.70867,55.22799,52.27827,,,,
2026-03-03T14:00:00+09:00,0.71039,0.71097,0.70849,0.70880,14342,0.70815,0.71003,0.70872,48.24821,52.76591,,,,
2026-03-03T15:00:00+09:00,0.70880,0.70923,0.70794,0.70913,14022,0.70817,0.70999,0.70873,49.66993,53.16054,,,,
2026-03-03T16:00:00+09:00,0.70913,0.70971,0.70762,0.70778,15775,0.70819,0.70993,0.70870,44.30743,52.75189,,,,
2026-03-03T17:00:00+09:00,0.70778,0.70815,0.70510,0.70532,22682,0.70819,0.70982,0.70867,36.56135,51.81768,,,,
2026-03-03T18:00:00+09:00,0.70532,0.70662,0.70390,0.70401,21022,0.70818,0.70970,0.70859,33.22974,50.17313,,,,
2026-03-03T19:00:00+09:00,0.70401,0.70462,0.70151,0.70235,20219,0.70816,0.70957,0.70832,29.55458,48.67741,,,,
2026-03-03T20:00:00+09:00,0.70235,0.70285,0.70078,0.70260,24337,0.70814,0.70945,0.70816,30.79594,47.15194,,,,
2026-03-03T21:00:00+09:00,0.70260,0.70456,0.70207,0.70309,21739,0.70813,0.70934,0.70799,33.27768,45.64354,,,,
2026-03-03T22:00:00+09:00,0.70309,0.70319,0.70008,0.70115,23188,0.70811,0.70920,0.70763,28.86425,43.75121,,,,
2026-03-03T23:00:00+09:00,0.70115,0.70158,0.69731,0.69752,40941,0.70806,0.70902,0.70709,22.77713,41.47395,,,,
2026-03-04T00:00:00+09:00,0.69752,0.69968,0.69441,0.69951,69878,0.70802,0.70885,0.70655,31.32716,39.81035,,,,
2026-03-04T01:00:00+09:00,0.69951,0.70285,0.69914,0.70243,54547,0.70800,0.70874,0.70624,41.55300,38.78262,,,,
2026-03-04T02:00:00+09:00,0.70243,0.70290,0.70108,0.70210,33948,0.70798,0.70863,0.70589,40.81334,37.58627,,,,
2026-03-04T03:00:00+09:00,0.70210,0.70497,0.70206,0.70437,22550,0.70798,0.70855,0.70561,47.70867,37.04917,,,,
2026-03-04T04:00:00+09:00,0.70437,0.70576,0.70294,0.70425,32503,0.70797,0.70849,0.70531,47.39433,36.98818,,,,
2026-03-04T05:00:00+09:00,0.70425,0.70528,0.70370,0.70434,19135,0.70797,0.70844,0.70502,47.67280,36.84553,,,,
2026-03-04T06:00:00+09:00,0.70434,0.70446,0.70330,0.70346,4750,0.70796,0.70836,0.70469,45.15582,36.90613,,,,
2026-03-04T07:00:00+09:00,0.70346,0.70385,0.70251,0.70362,2338,0.70796,0.70826,0.70435,45.71699,37.56010,,,,
2026-03-04T08:00:00+09:00,0.70362,0.70455,0.70333,0.70386,5940,0.70795,0.70817,0.70400,46.59963,38.51509,,,,
2026-03-04T09:00:00+09:00,0.70386,0.70395,0.70036,0.70116,19586,0.70794,0.70804,0.70354,38.93047,39.18480,,,,
2026-03-04T10:00:00+09:00,0.70116,0.70179,0.69863,0.70055,26722,0.70791,0.70792,0.70313,37.43163,39.65878,,,,
2026-03-04T11:00:00+09:00,0.70055,0.70220,0.70030,0.70101,18586,0.70789,0.70779,0.70272,39.32861,40.09099,,,,
2026-03-04T12:00:00+09:00,0.70101,0.70124,0.69917,0.70077,15340,0.70787,0.70767,0.70237,38.66986,40.79139,,,,
2026-03-04T13:00:00+09:00,0.70077,0.70143,0.69846,0.69930,14837,0.70784,0.70752,0.70207,34.82252,41.65177,,,,
2026-03-04T14:00:00+09:00,0.69930,0.70068,0.69922,0.70004,18943,0.70781,0.70737,0.70187,38.15809,42.13970,,,,
2026-03-04T15:00:00+09:00,0.70004,0.70245,0.69919,0.70204,15650,0.70779,0.70724,0.70186,46.17552,42.46988,,,,
2026-03-04T16:00:00+09:00,0.70204,0.70439,0.70197,0.70302,15895,0.70778,0.70711,0.70188,49.62198,43.09907,,,,
2026-03-04T17:00:00+09:00,0.70302,0.70342,0.70153,0.70201,24146,0.70776,0.70697,0.70183,46.32944,43.00055,,,,
2026-03-04T18:00:00+09:00,0.70201,0.70447,0.70123,0.70386,19888,0.70777,0.70685,0.70196,52.54113,43.36818,,,,
2026-03-04T19:00:00+09:00,0.70386,0.70727,0.70385,0.70462,31231,0.70778,0.70675,0.70232,54.85282,43.88104,,,,
2026-03-04T20:00:00+09:00,0.70462,0.70596,0.70446,0.70497,13624,0.70779,0.70667,0.70259,55.91774,44.64974,,,,
2026-03-04T21:00:00+09:00,0.70497,0.70646,0.70376,0.70427,18237,0.70779,0.70657,0.70268,53.21423,45.18526,,,,
2026-03-04T22:00:00+09:00,0.70427,0.70612,0.70425,0.70545,24859,0.70780,0.70650,0.70285,56.98929,45.92738,,,,
2026-03-04T23:00:00+09:00,0.70545,0.70583,0.70330,0.70452,32821,0.70780,0.70642,0.70286,53.33654,46.95638,,,,
2026-03-05T00:00:00+09:00,0.70452,0.70723,0.70420,0.70709,30051,0.70781,0.70637,0.70300,60.81166,48.62639,,,,
2026-03-05T01:00:00+09:00,0.70709,0.70757,0.70612,0.70706,17731,0.70782,0.70633,0.70313,60.68945,50.15216,,,,
2026-03-05T02:00:00+09:00,0.70706,0.70771,0.70613,0.70708,12888,0.70783,0.70629,0.70331,60.74609,51.72904,,,,
2026-03-05T03:00:00+09:00,0.70708,0.70740,0.70610,0.70701,10110,0.70784,0.70621,0.70348,60.41797,53.55728,,,,
2026-03-05T04:00:00+09:00,0.70701,0.70832,0.70701,0.70825,7846,0.70785,0.70616,0.70370,64.11560,55.41139,,,,
2026-03-05T05:00:00+09:00,0.70825,0.70833,0.70747,0.70778,7846,0.70787,0.70611,0.70403,61.76056,56.52461,,,,
2026-03-05T06:00:00+09:00,0.70778,0.70810,0.70734,0.70734,4509,0.70788,0.70605,0.70437,59.55514,57.23412,,,,
2026-03-05T07:00:00+09:00,0.70734,0.70773,0.70716,0.70730,971,0.70789,0.70600,0.70469,59.34766,58.16399,,,,
2026-03-05T08:00:00+09:00,0.70730,0.70792,0.70730,0.70753,2812,0.70788,0.70594,0.70503,60.20613,58.71149,,,,
2026-03-05T09:00:00+09:00,0.70753,0.70861,0.70728,0.70842,7258,0.70789,0.70591,0.70548,63.42478,59.32377,,,,
2026-03-05T10:00:00+09:00,0.70842,0.70891,0.70629,0.70649,18943,0.70788,0.70593,0.70581,53.34788,59.14021,,,,
2026-03-05T11:00:00+09:00,0.70649,0.70733,0.70595,0.70706,14652,0.70787,0.70595,0.70606,55.59193,59.31005,,,,
2026-03-05T12:00:00+09:00,0.70706,0.70744,0.70493,0.70522,12852,0.70786,0.70591,0.70617,47.62764,58.64136,,,,
2026-03-05T13:00:00+09:00,0.70522,0.70564,0.70473,0.70531,9021,0.70784,0.70583,0.70633,48.01990,58.26160,,,,
2026-03-05T14:00:00+09:00,0.70531,0.70560,0.70390,0.70395,9738,0.70782,0.70575,0.70634,42.80276,56.97525,,,,
2026-03-05T15:00:00+09:00,0.70395,0.70509,0.70279,0.70469,18131,0.70781,0.70566,0.70634,46.22618,55.94216,,,,
2026-03-05T16:00:00+09:00,0.70469,0.70515,0.70305,0.70348,15005,0.70777,0.70558,0.70626,41.81867,54.59020,,,,
2026-03-05T17:00:00+09:00,0.70348,0.70356,0.70112,0.70305,20163,0.70774,0.70552,0.70620,40.34643,53.15652,,,,
2026-03-05T18:00:00+09:00,0.70305,0.70707,0.70284,0.70446,36547,0.70772,0.70549,0.70615,46.94257,51.92987,,,,
2026-03-05T19:00:00+09:00,0.70446,0.70496,0.70399,0.70462,15481,0.70771,0.70547,0.70616,47.64995,50.92197,,,,
2026-03-05T20:00:00+09:00,0.70462,0.70582,0.70430,0.70492,12569,0.70770,0.70545,0.70605,49.02233,50.16963,,,,
2026-03-05T21:00:00+09:00,0.70492,0.70576,0.70422,0.70503,12560,0.70769,0.70541,0.70595,49.54464,49.46941,,,,
2026-03-05T22:00:00+09:00,0.70503,0.70519,0.70239,0.70294,20386,0.70766,0.70533,0.70574,40.95807,48.09455,,,,
2026-03-05T23:00:00+09:00,0.70294,0.70387,0.70162,0.70366,27882,0.70764,0.70527,0.70557,44.52497,46.74457,,,,
2026-03-06T00:00:00+09:00,0.70366,0.70447,0.70029,0.70130,30851,0.70761,0.70521,0.70523,36.69884,45.55535,,,,
2026-03-06T01:00:00+09:00,0.70130,0.70133,0.69839,0.70036,28694,0.70757,0.70514,0.70486,34.12590,44.02206,,,,
2026-03-06T02:00:00+09:00,0.70036,0.70106,0.69780,0.69840,29575,0.70752,0.70502,0.70441,29.48419,42.72610,,,,
2026-03-06T03:00:00+09:00,0.69840,0.69930,0.69758,0.69878,26098,0.70747,0.70492,0.70398,31.43148,41.54121,,,,
2026-03-06T04:00:00+09:00,0.69878,0.69908,0.69738,0.69817,17371,0.70743,0.70481,0.70352,29.99934,40.62668,,,,
2026-03-06T05:00:00+09:00,0.69817,0.70147,0.69776,0.70109,23964,0.70740,0.70471,0.70315,43.31414,40.41868,,,,
2026-03-06T06:00:00+09:00,0.70109,0.70122,0.70058,0.70059,4670,0.70737,0.70461,0.70285,41.84636,40.42066,,,,
2026-03-06T07:00:00+09:00,0.70059,0.70103,0.70015,0.70066,757,0.70734,0.70448,0.70253,42.14196,40.54891,,,,
2026-03-06T08:00:00+09:00,0.70066,0.70133,0.70063,0.70092,3793,0.70731,0.70438,0.70232,43.29492,40.28836,,,,
2026-03-06T09:00:00+09:00,0.70092,0.70234,0.70084,0.70208,7158,0.70729,0.70428,0.70216,48.24978,40.33121,,,,
2026-03-06T10:00:00+09:00,0.70208,0.70341,0.70187,0.70315,13274,0.70728,0.70419,0.70212,52.38294,40.57125,,,,
2026-03-06T11:00:00+09:00,0.70315,0.70393,0.70315,0.70357,8274,0.70727,0.70411,0.70206,53.93806,40.88507,,,,
2026-03-06T12:00:00+09:00,0.70357,0.70408,0.70352,0.70392,7760,0.70726,0.70402,0.70208,55.24966,41.90590,,,,
2026-03-06T13:00:00+09:00,0.70392,0.70402,0.70280,0.70288,5802,0.70724,0.70393,0.70207,50.63579,42.34238,,,,
2026-03-06T14:00:00+09:00,0.70288,0.70374,0.70272,0.70287,7429,0.70723,0.70383,0.70200,50.59204,43.33475,,,,
2026-03-06T15:00:00+09:00,0.70287,0.70413,0.70283,0.70386,7642,0.70722,0.70373,0.70196,54.75939,44.80857,,,,
2026-03-06T16:00:00+09:00,0.70386,0.70473,0.70352,0.70437,8351,0.70721,0.70365,0.70193,56.78171,46.75840,,,,
2026-03-06T17:00:00+09:00,0.70437,0.70462,0.70306,0.70386,13265,0.70720,0.70359,0.70187,54.17378,48.38285,,,,
2026-03-06T18:00:00+09:00,0.70386,0.70388,0.69972,0.69993,18367,0.70717,0.70346,0.70172,39.22372,49.04173,,,,
2026-03-06T19:00:00+09:00,0.69993,0.70125,0.69984,0.70100,14103,0.70714,0.70337,0.70159,43.77331,49.07453,,,,
2026-03-06T20:00:00+09:00,0.70100,0.70164,0.69905,0.69931,16658,0.70711,0.70329,0.70149,38.82924,48.85902,,,,
2026-03-06T21:00:00+09:00,0.69931,0.70100,0.69880,0.70005,14819,0.70708,0.70324,0.70147,41.92247,48.84334,,,,
2026-03-06T22:00:00+09:00,0.70005,0.70235,0.69814,0.69836,43078,0.70704,0.70319,0.70147,37.28536,48.41409,,,,
2026-03-06T23:00:00+09:00,0.69836,0.69960,0.69767,0.69903,54150,0.70700,0.70314,0.70148,40.11351,47.83293,,,,
2026-03-07T00:00:00+09:00,0.69903,0.70213,0.69898,0.70042,52849,0.70697,0.70310,0.70160,45.59498,47.34807,,,,
2026-03-07T01:00:00+09:00,0.70042,0.70294,0.70034,0.70219,32981,0.70695,0.70312,0.70165,51.66230,47.18552,,,,
2026-03-07T02:00:00+09:00,0.70219,0.70263,0.70090,0.70099,24932,0.70692,0.70317,0.70167,47.77249,46.65143,,,,
2026-03-07T03:00:00+09:00,0.70099,0.70308,0.70093,0.70195,23458,0.70690,0.70320,0.70174,50.95400,46.67416,,,,
2026-03-07T04:00:00+09:00,0.70195,0.70285,0.70159,0.70252,17299,0.70689,0.70320,0.70182,52.79278,46.83136,,,,
2026-03-07T05:00:00+09:00,0.70252,0.70298,0.70136,0.70220,15302,0.70688,0.70320,0.70182,51.62267,46.60731,,,,
2026-03-07T06:00:00+09:00,0.70220,0.70296,0.70204,0.70259,5498,0.70688,0.70318,0.70179,52.99021,46.33649,,,,
2026-03-09T06:00:00+09:00,0.69813,0.69964,0.69810,0.69855,923,0.70685,0.70310,0.70154,40.28586,45.34449,,,,
2026-03-09T07:00:00+09:00,0.69855,0.69915,0.69769,0.69805,17718,0.70681,0.70302,0.70125,39.03841,45.33126,,,,
2026-03-09T08:00:00+09:00,0.69805,0.69851,0.69634,0.69685,13472,0.70677,0.70293,0.70095,36.14560,44.78642,,,,
2026-03-09T09:00:00+09:00,0.69685,0.69760,0.69563,0.69634,19219,0.70671,0.70283,0.70062,34.95990,44.51004,,,,
2026-03-09T10:00:00+09:00,0.69634,0.69765,0.69562,0.69667,27530,0.70667,0.70274,0.70026,36.41339,44.11653,,,,
2026-03-09T11:00:00+09:00,0.69667,0.69967,0.69667,0.69956,23422,0.70664,0.70271,0.70002,47.48229,44.84488,,,,
2026-03-09T12:00:00+09:00,0.69956,0.69996,0.69826,0.69913,15706,0.70660,0.70270,0.69978,46.19381,45.27919,,,,
