time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,114.26400,114.45000,114.24600,114.35500,2282,113.47115,114.12056,114.22845,56.35876,58.89460,,,,
2026-03-02T08:00:00+09:00,114.35500,114.61900,114.35400,114.58800,9376,113.48213,114.13161,114.26050,65.55599,59.59510,,,,
2026-03-02T09:00:00+09:00,114.58800,114.68600,114.44400,114.54600,11536,113.49246,114.14191,114.29540,62.97945,60.51658,,,,
2026-03-02T10:00:00+09:00,114.54600,114.69800,114.46800,114.46900,11658,113.50258,114.15195,114.31675,58.44429,61.26705,,,,
2026-03-02T11:00:00+09:00,114.46900,114.56400,114.43300,114.51000,7069,113.51292,114.16179,114.34015,60.09218,62.19062,,,,
2026-03-02T12:00:00+09:00,114.51000,114.57400,114.47200,114.55200,6378,113.52385,114.17376,114.35920,61.76486,62.54548,,,,
2026-03-02T13:00:00+09:00,114.55200,114.70400,114.52200,114.67100,6199,113.53524,114.18657,114.38270,66.10029,62.90819,,,,
2026-03-02T14:00:00+09:00,114.67100,114.85900,114.67100,114.81600,7101,113.54739,114.20272,114.41470,70.49096,63.28129,,,,
2026-03-02T15:00:00+09:00,114.81600,114.94700,114.80100,114.84700,9710,113.55972,114.21627,114.45340,71.34544,63.65766,,,,
2026-03-02T16:00:00+09:00,114.84700,114.96100,114.84200,114.94000,12085,113.57306,114.23152,114.49885,73.79683,64.13834,,,,
2026-03-02T17:00:00+09:00,114.94000,115.02800,114.78800,114.85200,12483,113.58571,114.24609,114.54065,67.87931,64.32349,,,,
2026-03-02T18:00:00+09:00,114.85200,115.00800,114.82500,115.00100,8385,113.59848,114.26129,114.58030,71.97672,64.89672,,,,
2026-03-02T19:00:00+09:00,115.00100,115.00600,114.91300,114.95100,7160,113.61081,114.27467,114.61215,68.80488,65.10227,,,,
2026-03-02T20:00:00+09:00,114.95100,114.95900,114.87300,114.92300,6110,113.62287,114.28472,114.63645,67.02364,65.90097,,,,
2026-03-02T21:00:00+09:00,114.92300,115.18400,114.92100,115.16800,8846,113.63618,114.29575,114.67175,73.49053,67.12467,,,,
2026-03-02T22:00:00+09:00,115.16800,115.24600,115.10300,115.11300,11577,113.64975,114.30449,114.70280,70.16402,67.45381,,,,
2026-03-02T23:00:00+09:00,115.11300,115.23700,115.07200,115.14600,15505,113.66354,114.31411,114.73680,71.01186,68.02756,,,,
2026-03-03T00:00:00+09:00,115.14600,115.27500,115.05800,115.12700,13465,113.67686,114.32311,114.77080,69.78232,68.83742,,,,
2026-03-03T01:00:00+09:00,115.12700,115.12700,114.80200,114.89200,11873,113.68892,114.33005,114.79055,56.70468,68.59545,,,,
2026-03-03T02:00:00+09:00,114.89200,114.90300,114.77900,114.84200,6945,113.70024,114.33689,114.81545,54.36998,68.06725,,,,
2026-03-03T03:00:00+09:00,114.84200,114.92100,114.79600,114.89700,5781,113.71156,114.34495,114.84255,56.49204,67.38094,,,,
