time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,203.12000,203.52100,203.12000,203.36500,1512,200.72113,201.97479,202.39390,68.83231,67.25717,,,,
2026-03-02T08:00:00+09:00,203.36500,203.61800,203.18100,203.52600,11202,200.74492,202.00283,202.49600,70.72311,68.22970,,,,
2026-03-02T09:00:00+09:00,203.52600,203.65100,203.29500,203.43100,14985,200.76832,202.03123,202.59855,68.09795,69.21247,,,,
2026-03-02T10:00:00+09:00,203.43100,203.57000,203.25100,203.28500,14939,200.78988,202.05849,202.68275,64.15655,69.79359,,,,
2026-03-02T11:00:00+09:00,203.28500,203.43200,203.22900,203.39000,10578,200.81176,202.08436,202.77050,65.69436,70.22922,,,,
2026-03-02T12:00:00+09:00,203.39000,203.51100,203.33500,203.46300,9332,200.83370,202.11389,202.84705,66.76205,69.78161,,,,
2026-03-02T13:00:00+09:00,203.46300,203.73800,203.40400,203.71900,7994,200.85754,202.14512,202.93395,70.25790,69.18832,,,,
2026-03-02T14:00:00+09:00,203.71900,203.97900,203.68400,203.97500,9658,200.88232,202.18252,203.03715,73.28395,69.27270,,,,
2026-03-02T15:00:00+09:00,203.97500,204.01000,203.60800,203.65800,13456,200.90552,202.21055,203.12805,64.52883,68.67573,,,,
2026-03-02T16:00:00+09:00,203.65800,203.72800,202.95500,203.14700,16788,200.92679,202.23233,203.19080,53.44466,67.38998,,,,
2026-03-02T17:00:00+09:00,203.14700,203.42100,202.96900,203.13600,16912,200.94854,202.25433,203.24720,53.23268,65.93162,,,,
2026-03-02T18:00:00+09:00,203.13600,203.42400,203.11700,203.33200,12454,200.97054,202.27813,203.28040,56.54030,64.81855,,,,
2026-03-02T19:00:00+09:00,203.33200,203.39100,202.97400,203.00900,10859,200.98972,202.29568,203.27365,50.23494,63.20758,,,,
2026-03-02T20:00:00+09:00,203.00900,203.02500,202.47900,202.51800,11339,201.00625,202.30313,203.25200,42.47968,62.01923,,,,
2026-03-02T21:00:00+09:00,202.51800,202.55300,201.94400,202.33900,14885,201.02198,202.30451,203.21825,40.05211,59.96350,,,,
2026-03-02T22:00:00+09:00,202.33900,202.49900,201.97200,202.38600,18686,201.03795,202.30471,203.18895,41.00541,57.84081,,,,
2026-03-02T23:00:00+09:00,202.38600,202.57800,202.30100,202.34000,20439,201.05424,202.30677,203.14910,40.32945,55.85735,,,,
2026-03-03T00:00:00+09:00,202.34000,202.49100,201.99400,202.15200,20388,201.06959,202.30524,203.10195,37.60128,53.96054,,,,
2026-03-03T01:00:00+09:00,202.15200,202.15500,201.67700,201.95800,18841,201.08346,202.30224,203.04280,34.97221,51.76610,,,,
2026-03-03T02:00:00+09:00,201.95800,202.20300,201.89500,202.16900,15583,201.09834,202.29911,203.01490,39.89462,49.84700,,,,
2026-03-03T03:00:00+09:00,202.16900,202.17500,201.95800,201.98000,13205,201.11193,202.29627,202.94565,37.17975,47.48428,,,,
2026-03-03T04:00:00+09:00,201.98000,202.02800,201.90700,201.96500,14586,201.12558,202.29245,202.86760,36.96475,44.89005,,,,
