time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T08:00:00+09:00,97.87400,98.03400,97.83000,98.02200,0,97.68545,97.73841,97.71650,67.28140,49.20122,,,,
2026-03-02T09:00:00+09:00,98.00400,98.09400,97.91600,97.92200,0,97.68817,97.73903,97.72710,60.22102,49.70902,,,,
2026-03-02T10:00:00+09:00,97.92300,97.94700,97.79200,97.80500,0,97.68970,97.73777,97.73500,53.18835,49.75580,,,,
2026-03-02T11:00:00+09:00,97.80600,97.90100,97.79500,97.83200,0,97.69229,97.73719,97.74220,54.50863,49.95870,,,,
2026-03-02T12:00:00+09:00,97.83100,97.83500,97.76800,97.82800,0,97.69520,97.73647,97.74695,54.26445,50.30093,,,,
2026-03-02T13:00:00+09:00,97.82900,97.90800,97.81700,97.87100,0,97.69873,97.73697,97.75670,56.51936,50.23659,,,,
2026-03-02T14:00:00+09:00,97.87600,98.03500,97.87600,98.03300,0,97.70313,97.73959,97.77315,63.76721,50.97513,,,,
2026-03-02T15:00:00+09:00,98.03400,98.27300,98.03100,98.25700,0,97.70870,97.74687,97.79730,70.97235,52.67665,,,,
2026-03-02T16:00:00+09:00,98.25700,98.47000,98.24900,98.38400,0,97.71505,97.75511,97.82815,74.11522,55.00587,,,,
2026-03-02T17:00:00+09:00,98.38500,98.56600,98.33600,98.37000,0,97.72124,97.76367,97.85880,73.17466,57.14627,,,,
2026-03-02T18:00:00+09:00,98.36800,98.38100,98.19500,98.27400,0,97.72707,97.77169,97.88590,66.90476,58.95969,,,,
2026-03-02T19:00:00+09:00,98.27500,98.27600,98.15100,98.21200,0,97.73234,97.77912,97.90480,63.14185,60.54699,,,,
2026-03-02T20:00:00+09:00,98.21200,98.29400,98.18100,98.24100,0,97.73761,97.78599,97.92740,64.15730,61.91596,,,,
2026-03-02T21:00:00+09:00,98.24400,98.48800,98.24200,98.47700,0,97.74394,97.79484,97.96580,71.12830,63.81035,,,,
2026-03-02T22:00:00+09:00,98.47500,98.55700,98.39200,98.53400,0,97.75040,97.80407,98.01135,72.51852,64.18443,,,,
2026-03-02T23:00:00+09:00,98.53600,98.56500,98.34400,98.40500,0,97.75624,97.81057,98.04945,64.90183,64.51877,,,,
2026-03-03T00:00:00+09:00,98.40600,98.68700,98.40600,98.68300,0,97.76365,97.82012,98.10275,71.78052,65.84678,,,,
2026-03-03T01:00:00+09:00,98.68700,98.75300,98.56400,98.59600,0,97.77066,97.82983,98.15215,67.33309,66.76282,,,,
2026-03-03T02:00:00+09:00,98.60100,98.61900,98.45400,98.45700,0,97.77653,97.83641,98.19245,60.84647,67.23296,,,,
2026-03-03T03:00:00+09:00,98.46300,98.60300,98.46100,98.53400,0,97.78270,97.84528,98.23685,62.97438,67.69403,,,,
2026-03-03T04:00:00+09:00,98.53400,98.54100,98.36800,98.38100,0,97.78830,97.85385,98.25480,56.41366,67.16878,,,,
2026-03-03T05:00:00+09:00,98.38600,98.65200,98.36800,98.55000,0,97.79455,97.86513,98.28620,61.21962,66.47216,,,,
2026-03-03T06:00:00+09:00,98.55100,98.56000,98.51400,98.54900,0,97.80100,97.87673,98.32340,61.17663,65.54797,,,,
2026-03-03T07:00:00+09:00,98.55700,98.58800,98.53600,98.57100,0,97.80771,97.88831,98.36035,61.81190,64.73635,,,,
