time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.87661,0.87768,0.87617,0.87726,2619,0.87352,0.87349,0.87637,58.29428,63.32936,,,,
2026-03-02T08:00:00+09:00,0.87726,0.87791,0.87654,0.87716,11360,0.87354,0.87356,0.87649,57.58176,63.52916,,,,
2026-03-02T09:00:00+09:00,0.87716,0.87755,0.87650,0.87678,10855,0.87355,0.87362,0.87657,54.83878,63.06991,,,,
2026-03-02T10:00:00+09:00,0.87678,0.87728,0.87620,0.87669,12761,0.87356,0.87368,0.87664,54.18048,62.24141,,,,
2026-03-02T11:00:00+09:00,0.87669,0.87689,0.87648,0.87680,6619,0.87358,0.87374,0.87666,54.89319,61.56273,,,,
2026-03-02T12:00:00+09:00,0.87680,0.87696,0.87656,0.87663,5645,0.87359,0.87380,0.87669,53.50796,60.39124,,,,
2026-03-02T13:00:00+09:00,0.87663,0.87707,0.87650,0.87703,4325,0.87361,0.87386,0.87680,56.30217,59.42790,,,,
2026-03-02T14:00:00+09:00,0.87703,0.87734,0.87681,0.87709,4719,0.87363,0.87392,0.87691,56.72234,58.10818,,,,
2026-03-02T15:00:00+09:00,0.87709,0.87732,0.87664,0.87670,11233,0.87364,0.87398,0.87697,53.14530,56.42937,,,,
2026-03-02T16:00:00+09:00,0.87670,0.87763,0.87623,0.87681,14806,0.87366,0.87404,0.87700,54.02593,55.40426,,,,
2026-03-02T17:00:00+09:00,0.87681,0.87873,0.87644,0.87802,16134,0.87368,0.87411,0.87710,62.39797,55.49808,,,,
2026-03-02T18:00:00+09:00,0.87802,0.87872,0.87737,0.87737,12759,0.87370,0.87417,0.87711,56.45091,55.44256,,,,
2026-03-02T19:00:00+09:00,0.87737,0.87755,0.87532,0.87558,10363,0.87371,0.87421,0.87703,44.01101,54.51108,,,,
2026-03-02T20:00:00+09:00,0.87558,0.87585,0.87445,0.87482,9223,0.87371,0.87425,0.87686,39.98236,54.02389,,,,
2026-03-02T21:00:00+09:00,0.87482,0.87489,0.87350,0.87367,12728,0.87371,0.87427,0.87661,34.79252,52.34519,,,,
2026-03-02T22:00:00+09:00,0.87367,0.87443,0.87367,0.87415,15270,0.87372,0.87430,0.87643,38.38739,50.97416,,,,
2026-03-02T23:00:00+09:00,0.87415,0.87447,0.87314,0.87351,18859,0.87372,0.87433,0.87624,35.57153,49.59793,,,,
2026-03-03T00:00:00+09:00,0.87351,0.87447,0.87313,0.87350,19501,0.87372,0.87435,0.87608,35.52768,48.26559,,,,
2026-03-03T01:00:00+09:00,0.87350,0.87391,0.87296,0.87297,15626,0.87373,0.87437,0.87590,33.19214,46.71551,,,,
2026-03-03T02:00:00+09:00,0.87297,0.87302,0.87228,0.87264,11058,0.87373,0.87438,0.87576,31.79079,45.16429,,,,
2026-03-03T03:00:00+09:00,0.87264,0.87278,0.87223,0.87232,9108,0.87373,0.87439,0.87551,30.44836,43.31759,,,,
2026-03-03T04:00:00+09:00,0.87232,0.87244,0.87199,0.87209,8764,0.87373,0.87440,0.87526,29.48464,41.37204,,,,
2026-03-03T05:00:00+09:00,0.87209,0.87262,0.87203,0.87229,12856,0.87373,0.87442,0.87503,31.51452,39.82698,,,,
2026-03-03T06:00:00+09:00,0.87229,0.87234,0.87141,0.87141,3986,0.87373,0.87442,0.87477,27.73181,37.94883,,,,
2026-03-03T07:00:00+09:00,0.87141,0.87209,0.87043,0.87190,1152,0.87372,0.87443,0.87452,32.58417,35.81927,,,,
2026-03-03T08:00:00+09:00,0.87190,0.87231,0.87188,0.87217,3213,0.87372,0.87445,0.87430,35.16734,34.29902,,,,
2026-03-03T09:00:00+09:00,0.87217,0.87235,0.87192,0.87200,6073,0.87372,0.87446,0.87405,34.27678,33.60372,,,,
