time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,183.56500,183.89000,183.48700,183.78600,3103,183.12654,184.16623,184.17955,38.68303,53.04784,,,,
2026-03-02T08:00:00+09:00,183.78600,184.22300,183.69800,184.18200,26997,183.13923,184.17464,184.19505,49.59661,53.08607,,,,
2026-03-02T09:00:00+09:00,184.18200,184.39500,184.00800,184.19600,33216,183.15181,184.18488,184.21650,49.93587,53.26511,,,,
2026-03-02T10:00:00+09:00,184.19600,184.44800,184.19600,184.21300,35064,183.16439,184.19513,184.22655,50.37268,53.59664,,,,
2026-03-02T11:00:00+09:00,184.21300,184.31100,184.13100,184.23700,23579,183.17711,184.20412,184.23825,51.02239,53.94596,,,,
2026-03-02T12:00:00+09:00,184.23700,184.32700,184.19100,184.27700,20084,183.19063,184.21660,184.23140,52.14683,53.93903,,,,
2026-03-02T13:00:00+09:00,184.27700,184.51000,184.24900,184.48500,16305,183.20477,184.23004,184.23625,57.59829,54.14297,,,,
2026-03-02T14:00:00+09:00,184.48500,184.68900,184.45300,184.53200,19139,183.21892,184.24608,184.25850,58.74203,54.35952,,,,
2026-03-02T15:00:00+09:00,184.53200,184.55500,183.99200,184.06100,32228,183.23099,184.25080,184.25995,45.49740,53.19453,,,,
2026-03-02T16:00:00+09:00,184.06100,184.18100,183.74700,183.92000,39723,183.24326,184.25393,184.25720,42.41431,52.05917,,,,
2026-03-02T17:00:00+09:00,183.92000,184.14200,183.89400,184.01500,38817,183.25570,184.25928,184.25865,45.11304,51.20231,,,,
2026-03-02T18:00:00+09:00,184.01500,184.23400,183.99100,184.21600,28697,183.26794,184.26455,184.26130,50.40854,50.65942,,,,
2026-03-02T19:00:00+09:00,184.21600,184.26400,184.13900,184.19700,24677,183.27977,184.26800,184.25900,49.91827,49.78846,,,,
2026-03-02T20:00:00+09:00,184.19700,184.20200,184.04800,184.16400,21815,183.29118,184.26641,184.25350,49.02638,49.31969,,,,
2026-03-02T21:00:00+09:00,184.16400,184.26800,184.09300,184.19100,31011,183.30270,184.26173,184.23860,49.81641,50.11493,,,,
2026-03-02T22:00:00+09:00,184.19100,184.46900,184.17000,184.27100,38062,183.31515,184.25643,184.23205,52.18130,50.29955,,,,
2026-03-02T23:00:00+09:00,184.27100,184.57300,184.20500,184.52300,39865,183.32915,184.25509,184.23960,58.77206,50.93071,,,,
2026-03-03T00:00:00+09:00,184.52300,184.61300,184.16700,184.23500,42590,183.34102,184.24928,184.23130,50.24822,50.92182,,,,
2026-03-03T01:00:00+09:00,184.23500,184.23500,183.88000,184.09600,34033,183.35216,184.24412,184.20910,46.72590,50.61493,,,,
2026-03-03T02:00:00+09:00,184.09600,184.23800,184.02600,184.22300,23083,183.36351,184.23932,184.20100,50.16331,50.47325,,,,
2026-03-03T03:00:00+09:00,184.22300,184.22700,184.00000,184.04000,13532,183.37376,184.23272,184.21370,45.59779,49.61607,,,,
2026-03-03T04:00:00+09:00,184.04000,184.11400,183.99000,184.03900,14376,183.38444,184.22657,184.20655,45.57338,48.67545,,,,
2026-03-03T05:00:00+09:00,184.03900,184.05100,183.85200,183.94600,28191,183.39437,184.21809,184.19405,43.25436,48.51523,,,,
2026-03-03T06:00:00+09:00,183.94600,184.06600,183.83600,183.83600,9516,183.40347,184.20763,184.17520,40.62142,48.38717,,,,
