time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.17708,1.17761,1.17566,1.17745,1880,1.17972,1.18001,1.18063,35.43323,51.48647,,,,
2026-03-02T08:00:00+09:00,1.17745,1.17874,1.17567,1.17590,13091,1.17970,1.17999,1.18041,30.84798,50.40184,,,,
2026-03-02T09:00:00+09:00,1.17590,1.17782,1.17560,1.17775,11904,1.17967,1.18000,1.18024,40.70985,49.87462,,,,
2026-03-02T10:00:00+09:00,1.17775,1.17943,1.17752,1.17919,12587,1.17965,1.18002,1.18016,47.04083,49.73969,,,,
2026-03-02T11:00:00+09:00,1.17919,1.17933,1.17809,1.17886,6853,1.17962,1.18004,1.18008,45.83301,49.42997,,,,
2026-03-02T12:00:00+09:00,1.17886,1.17958,1.17882,1.17886,5367,1.17959,1.18006,1.17995,45.83301,49.51591,,,,
2026-03-02T13:00:00+09:00,1.17886,1.17903,1.17817,1.17862,4137,1.17956,1.18007,1.17983,44.86145,49.33046,,,,
2026-03-02T14:00:00+09:00,1.17862,1.17862,1.17660,1.17662,5870,1.17951,1.18003,1.17969,37.69122,48.19974,,,,
2026-03-02T15:00:00+09:00,1.17662,1.17665,1.17301,1.17322,14827,1.17945,1.17996,1.17936,29.15894,45.94945,,,,
2026-03-02T16:00:00+09:00,1.17322,1.17342,1.17033,1.17161,18668,1.17939,1.17985,1.17894,26.14120,43.73303,,,,
2026-03-02T17:00:00+09:00,1.17161,1.17237,1.16980,1.17226,18154,1.17932,1.17975,1.17854,29.32151,41.69626,,,,
2026-03-02T18:00:00+09:00,1.17226,1.17437,1.17209,1.17330,14126,1.17927,1.17965,1.17824,34.20327,39.96212,,,,
2026-03-02T19:00:00+09:00,1.17330,1.17472,1.17327,1.17385,10153,1.17921,1.17957,1.17795,36.69357,38.56374,,,,
2026-03-02T20:00:00+09:00,1.17385,1.17411,1.17262,1.17332,8977,1.17916,1.17950,1.17758,35.30680,37.07685,,,,
2026-03-02T21:00:00+09:00,1.17332,1.17338,1.17020,1.17036,13150,1.17909,1.17938,1.17699,28.76769,36.60074,,,,
2026-03-02T22:00:00+09:00,1.17036,1.17182,1.16952,1.16985,17167,1.17902,1.17928,1.17640,27.81192,36.38388,,,,
2026-03-02T23:00:00+09:00,1.16985,1.17236,1.16950,1.17167,19886,1.17895,1.17920,1.17589,35.98552,36.04642,,,,
2026-03-03T00:00:00+09:00,1.17167,1.17167,1.16798,1.16801,20616,1.17888,1.17906,1.17519,28.89910,34.75059,,,,
2026-03-03T01:00:00+09:00,1.16801,1.16942,1.16717,1.16896,17490,1.17880,1.17895,1.17456,32.60873,33.80600,,,,
2026-03-03T02:00:00+09:00,1.16896,1.17077,1.16866,1.17071,11217,1.17874,1.17884,1.17402,38.92970,33.31290,,,,
2026-03-03T03:00:00+09:00,1.17071,1.17073,1.16868,1.16943,8692,1.17867,1.17870,1.17362,36.25139,32.69790,,,,
2026-03-03T04:00:00+09:00,1.16943,1.17133,1.16938,1.17111,7098,1.17861,1.17857,1.17338,41.90117,32.99861,,,,
2026-03-03T05:00:00+09:00,1.17111,1.17131,1.16785,1.16901,16284,1.17853,1.17842,1.17294,37.43501,33.58976,,,,
2026-03-03T06:00:00+09:00,1.16901,1.16953,1.16873,1.16873,3225,1.17847,1.17826,1.17242,36.87071,34.35615,,,,
2026-03-03T07:00:00+09:00,1.16873,1.16905,1.16806,1.16861,1522,1.17840,1.17810,1.17191,36.61596,34.87718,,,,
2026-03-03T08:00:00+09:00,1.16861,1.16980,1.16861,1.16946,2521,1.17834,1.17795,1.17144,39.78938,35.27619,,,,
2026-03-03T09:00:00+09:00,1.16946,1.16955,1.16864,1.16952,5152,1.17828,1.17780,1.17098,40.01767,35.51363,,,,
2026-03-03T10:00:00+09:00,1.16952,1.17068,1.16922,1.16968,9992,1.17823,1.17765,1.17063,40.66375,35.89626,,,,
2026-03-03T11:00:00+09:00,1.16968,1.16989,1.16858,1.16943,9145,1.17818,1.17749,1.17044,39.93985,36.69428,,,,
2026-03-03T12:00:00+09:00,1.16943,1.16977,1.16862,1.16902,5377,1.17813,1.17732,1.17031,38.72238,37.47359,,,,
2026-03-03T13:00:00+09:00,1.16902,1.16933,1.16792,1.16810,5374,1.17808,1.17712,1.17011,36.06573,37.47932,,,,
2026-03-03T14:00:00+09:00,1.16810,1.16849,1.16650,1.16666,10065,1.17802,1.17692,1.16977,32.32720,37.72419,,,,
2026-03-03T15:00:00+09:00,1.16666,1.16715,1.16620,1.16691,9689,1.17796,1.17672,1.16943,33.61380,37.79598,,,,
2026-03-03T16:00:00+09:00,1.16691,1.16691,1.16426,1.16436,15174,1.17789,1.17649,1.16898,27.80663,37.00147,,,,
2026-03-03T17:00:00+09:00,1.16436,1.16460,1.16177,1.16228,22911,1.17781,1.17623,1.16858,24.14274,36.13657,,,,
2026-03-03T18:00:00+09:00,1.16228,1.16290,1.15987,1.16051,21619,1.17771,1.17594,1.16811,21.54159,34.68231,,,,
2026-03-03T19:00:00+09:00,1.16051,1.16126,1.15891,1.15918,17565,1.17761,1.17565,1.16748,19.81409,33.42368,,,,
2026-03-03T20:00:00+09:00,1.15918,1.16033,1.15820,1.15972,17576,1.17752,1.17537,1.16707,22.53051,32.39938,,,,
2026-03-03T21:00:00+09:00,1.15972,1.16153,1.15901,1.16129,19224,1.17743,1.17513,1.16669,29.95963,31.92392,,,,
2026-03-03T22:00:00+09:00,1.16129,1.16150,1.15901,1.15904,18243,1.17733,1.17485,1.16610,26.09714,30.94591,,,,
2026-03-03T23:00:00+09:00,1.15904,1.15995,1.15648,1.15673,27613,1.17721,1.17454,1.16547,22.84128,29.71902,,,,
2026-03-04T00:00:00+09:00,1.15673,1.15850,1.15302,1.15728,42596,1.17710,1.17422,1.16478,25.23304,28.61683,,,,
2026-03-04T01:00:00+09:00,1.15728,1.16059,1.15692,1.16029,34074,1.17700,1.17395,1.16434,36.78243,28.39130,,,,
2026-03-04T02:00:00+09:00,1.16029,1.16033,1.15867,1.15903,23233,1.17689,1.17366,1.16385,34.38778,28.08168,,,,
2026-03-04T03:00:00+09:00,1.15903,1.16219,1.15898,1.16157,16662,1.17681,1.17341,1.16350,42.51274,28.54219,,,,
2026-03-04T04:00:00+09:00,1.16157,1.16256,1.15997,1.16122,21308,1.17672,1.17317,1.16309,41.74561,29.21493,,,,
2026-03-04T05:00:00+09:00,1.16122,1.16244,1.16111,1.16176,12561,1.17665,1.17296,1.16270,43.44134,29.91690,,,,
2026-03-04T06:00:00+09:00,1.16176,1.16182,1.16098,1.16129,4703,1.17657,1.17273,1.16228,42.28754,30.95125,,,,
2026-03-04T07:00:00+09:00,1.16129,1.16146,1.16083,1.16107,3439,1.17650,1.17248,1.16187,41.72885,32.20740,,,,
2026-03-04T08:00:00+09:00,1.16107,1.16202,1.16087,1.16107,3537,1.17642,1.17223,1.16147,41.72885,33.64935,,,,
2026-03-04T09:00:00+09:00,1.16107,1.16111,1.15921,1.15928,10910,1.17634,1.17196,1.16103,37.10322,34.88428,,,,
2026-03-04T10:00:00+09:00,1.15928,1.15974,1.15746,1.15938,14122,1.17625,1.17169,1.16066,37.51991,35.95496,,,,
2026-03-04T11:00:00+09:00,1.15938,1.16042,1.15914,1.15980,11312,1.17617,1.17141,1.16031,39.33765,36.62481,,,,
2026-03-04T12:00:00+09:00,1.15980,1.16091,1.15953,1.16083,7986,1.17609,1.17116,1.16013,43.66611,37.87974,,,,
2026-03-04T13:00:00+09:00,1.16083,1.16103,1.15903,1.15930,6439,1.17600,1.17090,1.15998,39.19252,39.04769,,,,
2026-03-04T14:00:00+09:00,1.15930,1.15989,1.15869,1.15952,8908,1.17591,1.17063,1.15993,40.14214,40.11262,,,,
2026-03-04T15:00:00+09:00,1.15952,1.16176,1.15896,1.16107,10296,1.17583,1.17037,1.16003,46.48338,40.80555,,,,
2026-03-04T16:00:00+09:00,1.16107,1.16279,1.16107,1.16157,13510,1.17576,1.17011,1.16012,48.38301,41.80520,,,,
2026-03-04T17:00:00+09:00,1.16157,1.16168,1.15948,1.15995,16777,1.17567,1.16983,1.16005,43.05097,41.84365,,,,
2026-03-04T18:00:00+09:00,1.15995,1.16198,1.15921,1.16086,14713,1.17560,1.16957,1.16014,46.61030,42.19113,,,,
2026-03-04T19:00:00+09:00,1.16086,1.16468,1.16085,1.16342,27809,1.17554,1.16933,1.16048,55.11019,43.02462,,,,
2026-03-04T20:00:00+09:00,1.16342,1.16545,1.16307,1.16351,13520,1.17548,1.16910,1.16079,55.37914,43.95973,,,,
2026-03-04T21:00:00+09:00,1.16351,1.16486,1.16260,1.16303,12413,1.17542,1.16888,1.16093,53.53681,44.80316,,,,
2026-03-04T22:00:00+09:00,1.16303,1.16520,1.16303,1.16310,17477,1.17535,1.16865,1.16113,53.77830,45.66383,,,,
2026-03-04T23:00:00+09:00,1.16310,1.16410,1.16203,1.16245,23283,1.17529,1.16842,1.16117,51.12124,46.66512,,,,
2026-03-05T00:00:00+09:00,1.16245,1.16404,1.16164,1.16401,19366,1.17523,1.16820,1.16131,56.65624,48.03200,,,,
2026-03-05T01:00:00+09:00,1.16401,1.16461,1.16285,1.16372,12971,1.17517,1.16800,1.16141,55.40030,49.17933,,,,
2026-03-05T02:00:00+09:00,1.16372,1.16436,1.16264,1.16330,9015,1.17510,1.16778,1.16151,53.54888,49.88524,,,,
2026-03-05T03:00:00+09:00,1.16330,1.16333,1.16234,1.16244,8417,1.17503,1.16753,1.16158,49.87353,50.64817,,,,
2026-03-05T04:00:00+09:00,1.16244,1.16411,1.16244,1.16397,6094,1.17497,1.16729,1.16173,55.69910,51.75939,,,,
2026-03-05T05:00:00+09:00,1.16397,1.16436,1.16384,1.16402,5670,1.17491,1.16706,1.16196,55.87955,52.43054,,,,
2026-03-05T06:00:00+09:00,1.16402,1.16418,1.16329,1.16332,3210,1.17484,1.16681,1.16216,52.64628,52.73506,,,,
2026-03-05T07:00:00+09:00,1.16332,1.16339,1.16244,1.16338,999,1.17477,1.16656,1.16234,52.89786,53.43841,,,,
2026-03-05T08:00:00+09:00,1.16338,1.16388,1.16336,1.16346,1887,1.17470,1.16632,1.16247,53.25446,53.91299,,,,
2026-03-05T09:00:00+09:00,1.16346,1.16452,1.16319,1.16449,5223,1.17463,1.16609,1.16273,57.69522,54.09764,,,,
2026-03-05T10:00:00+09:00,1.16449,1.16472,1.16270,1.16281,11336,1.17455,1.16590,1.16289,49.44449,53.67373,,,,
2026-03-05T11:00:00+09:00,1.16281,1.16318,1.16222,1.16255,7388,1.17447,1.16572,1.16297,48.29346,53.29921,,,,
2026-03-05T12:00:00+09:00,1.16255,1.16275,1.16101,1.16132,7515,1.17439,1.16550,1.16296,43.17309,52.54169,,,,
2026-03-05T13:00:00+09:00,1.16132,1.16146,1.16055,1.16082,5390,1.17430,1.16525,1.16300,41.25808,51.83718,,,,
2026-03-05T14:00:00+09:00,1.16082,1.16139,1.15940,1.15945,7048,1.17421,1.16500,1.16293,36.48296,50.39623,,,,
2026-03-05T15:00:00+09:00,1.15945,1.16158,1.15876,1.16069,13757,1.17412,1.16475,1.16279,42.92211,49.50493,,,,
2026-03-05T16:00:00+09:00,1.16069,1.16160,1.15992,1.16048,12756,1.17400,1.16451,1.16264,42.14292,48.69022,,,,
2026-03-05T17:00:00+09:00,1.16048,1.16048,1.15815,1.15986,16706,1.17389,1.16429,1.16248,39.84320,47.97377,,,,
2026-03-05T18:00:00+09:00,1.15986,1.16439,1.15964,1.16224,37560,1.17378,1.16414,1.16244,50.91606,47.63212,,,,
2026-03-05T19:00:00+09:00,1.16224,1.16315,1.16061,1.16108,11746,1.17368,1.16400,1.16237,46.43024,46.95717,,,,
2026-03-05T20:00:00+09:00,1.16108,1.16171,1.16037,1.16113,9984,1.17357,1.16385,1.16223,46.64843,46.52876,,,,
2026-03-05T21:00:00+09:00,1.16113,1.16247,1.16073,1.16204,10695,1.17347,1.16370,1.16214,50.59263,46.36410,,,,
2026-03-05T22:00:00+09:00,1.16204,1.16243,1.15900,1.15974,15076,1.17336,1.16352,1.16196,42.11751,45.56860,,,,
2026-03-05T23:00:00+09:00,1.15974,1.16087,1.15923,1.16024,21037,1.17325,1.16334,1.16185,44.30188,44.61193,,,,
2026-03-06T00:00:00+09:00,1.16024,1.16089,1.15690,1.15831,23576,1.17313,1.16318,1.16157,38.29448,43.81550,,,,
2026-03-06T01:00:00+09:00,1.15831,1.15866,1.15590,1.15837,21044,1.17301,1.16303,1.16129,38.57335,43.12121,,,,
2026-03-06T02:00:00+09:00,1.15837,1.15918,1.15725,1.15877,23267,1.17291,1.16285,1.16106,40.50380,42.93055,,,,
2026-03-06T03:00:00+09:00,1.15877,1.15915,1.15711,1.15860,17158,1.17280,1.16273,1.16082,39.92946,42.83564,,,,
2026-03-06T04:00:00+09:00,1.15860,1.15880,1.15700,1.15729,12521,1.17269,1.16257,1.16051,35.72550,42.78154,,,,
2026-03-06T05:00:00+09:00,1.15729,1.16102,1.15701,1.16046,20697,1.17261,1.16244,1.16031,49.56373,43.25594,,,,
2026-03-06T06:00:00+09:00,1.16046,1.16103,1.16018,1.16083,5046,1.17251,1.16232,1.16021,50.89270,43.88093,,,,
2026-03-06T07:00:00+09:00,1.16083,1.16099,1.16050,1.16072,965,1.17241,1.16218,1.16012,50.46695,44.63977,,,,
2026-03-06T08:00:00+09:00,1.16072,1.16101,1.16031,1.16065,2488,1.17232,1.16207,1.16009,50.17927,44.58714,,,,
2026-03-06T09:00:00+09:00,1.16065,1.16142,1.16053,1.16109,5575,1.17222,1.16197,1.16010,52.03030,44.98714,,,,
2026-03-06T10:00:00+09:00,1.16109,1.16201,1.16068,1.16151,9052,1.17213,1.16188,1.16020,53.79501,45.49761,,,,
2026-03-06T11:00:00+09:00,1.16151,1.16205,1.16143,1.16164,5490,1.17204,1.16177,1.16025,54.35474,45.76633,,,,
2026-03-06T12:00:00+09:00,1.16164,1.16206,1.16162,1.16200,3740,1.17195,1.16167,1.16033,55.94628,46.75410,,,,
2026-03-06T13:00:00+09:00,1.16200,1.16210,1.16131,1.16136,3241,1.17187,1.16156,1.16040,52.44529,47.33578,,,,
2026-03-06T14:00:00+09:00,1.16136,1.16166,1.16056,1.16063,6347,1.17178,1.16144,1.16032,48.70167,48.07915,,,,
2026-03-06T15:00:00+09:00,1.16063,1.16120,1.16018,1.16116,6351,1.17169,1.16134,1.16033,51.41336,48.99629,,,,
2026-03-06T16:00:00+09:00,1.16116,1.16180,1.16065,1.16144,7879,1.17160,1.16125,1.16034,52.83193,49.87687,,,,
2026-03-06T17:00:00+09:00,1.16144,1.16145,1.16015,1.16028,11519,1.17151,1.16116,1.16025,46.74307,50.36356,,,,
2026-03-06T18:00:00+09:00,1.16028,1.16028,1.15717,1.15741,14609,1.17140,1.16104,1.16014,35.76151,50.36613,,,,
2026-03-06T19:00:00+09:00,1.15741,1.15848,1.15727,1.15782,10567,1.17130,1.16095,1.16002,38.00234,49.54032,,,,
2026-03-06T20:00:00+09:00,1.15782,1.15811,1.15610,1.15624,13377,1.17119,1.16087,1.15991,33.19655,48.27631,,,,
2026-03-06T21:00:00+09:00,1.15624,1.15687,1.15522,1.15548,12598,1.17109,1.16080,1.15977,31.15561,46.89692,,,,
2026-03-06T22:00:00+09:00,1.15548,1.15925,1.15505,1.15549,36608,1.17098,1.16075,1.15960,31.21553,45.54237,,,,
2026-03-06T23:00:00+09:00,1.15549,1.15746,1.15458,1.15720,34257,1.17087,1.16072,1.15953,40.71797,44.73435,,,,
2026-03-07T00:00:00+09:00,1.15720,1.15927,1.15707,1.15796,31043,1.17077,1.16068,1.15957,44.39471,44.06290,,,,
2026-03-07T01:00:00+09:00,1.15796,1.16129,1.15788,1.16055,23516,1.17068,1.16070,1.15957,54.70481,44.08790,,,,
2026-03-07T02:00:00+09:00,1.16055,1.16092,1.15947,1.15957,19049,1.17059,1.16073,1.15951,50.86199,43.72474,,,,
2026-03-07T03:00:00+09:00,1.15957,1.16213,1.15928,1.15983,18281,1.17049,1.16077,1.15947,51.82880,43.68070,,,,
2026-03-07T04:00:00+09:00,1.15983,1.16096,1.15967,1.16013,11501,1.17040,1.16077,1.15944,52.97843,43.98619,,,,
2026-03-07T05:00:00+09:00,1.16013,1.16097,1.15956,1.16059,9398,1.17032,1.16079,1.15941,54.76123,44.22532,,,,
2026-03-07T06:00:00+09:00,1.16059,1.16180,1.16052,1.16157,6524,1.17024,1.16079,1.15942,58.38152,44.62172,,,,
2026-03-09T06:00:00+09:00,1.15449,1.15559,1.15442,1.15461,2255,1.17012,1.16070,1.15907,36.21526,43.86973,,,,
2026-03-09T07:00:00+09:00,1.15461,1.15517,1.15258,1.15356,12477,1.17001,1.16059,1.15864,34.11111,43.75185,,,,
2026-03-09T08:00:00+09:00,1.15356,1.15398,1.15212,1.15242,12664,1.16987,1.16047,1.15820,31.94122,43.31891,,,,
2026-03-09T09:00:00+09:00,1.15242,1.15314,1.15160,1.15173,14350,1.16974,1.16035,1.15775,30.66954,43.13841,,,,
2026-03-09T10:00:00+09:00,1.15173,1.15238,1.15072,1.15090,15842,1.16960,1.16021,1.15724,29.16533,42.99625,,,,
2026-03-09T11:00:00+09:00,1.15090,1.15282,1.15082,1.15248,14493,1.16948,1.16012,1.15679,35.63678,43.31205,,,,
2026-03-09T12:00:00+09:00,1.15248,1.15288,1.15126,1.15165,10913,1.16935,1.16002,1.15636,33.88542,42.82401,,,,
2026-03-09T13:00:00+09:00,1.15165,1.15293,1.15158,1.15257,7508,1.16922,1.15992,1.15612,37.54903,42.33503,,,,
2026-03-09T14:00:00+09:00,1.15257,1.15713,1.15238,1.15675,23244,1.16912,1.15987,1.15606,50.86991,42.06111,,,,
2026-03-09T15:00:00+09:00,1.15675,1.15689,1.15448,1.15448,19264,1.16901,1.15980,1.15598,45.22789,41.65868,,,,
2026-03-09T16:00:00+09:00,1.15448,1.15651,1.15357,1.15636,22705,1.16890,1.15976,1.15602,50.15830,41.53936,,,,
2026-03-09T17:00:00+09:00,1.15636,1.15650,1.15151,1.15344,27091,1.16878,1.15966,1.15592,43.59438,40.86907,,,,
2026-03-09T18:00:00+09:00,1.15344,1.15730,1.15308,1.15540,26366,1.16866,1.15958,1.15583,48.46906,40.41963,,,,
2026-03-09T19:00:00+09:00,1.15540,1.15648,1.15468,1.15602,21924,1.16854,1.15952,1.15573,49.94277,39.81686,,,,
2026-03-09T20:00:00+09:00,1.15602,1.15677,1.15551,1.15612,15237,1.16843,1.15946,1.15551,50.19020,40.81507,,,,
2026-03-09T21:00:00+09:00,1.15612,1.15684,1.15500,1.15533,15151,1.16830,1.15935,1.15530,48.16473,41.81890,,,,
2026-03-09T22:00:00+09:00,1.15533,1.15877,1.15523,1.15757,25691,1.16819,1.15927,1.15518,53.85155,43.38392,,,,
2026-03-09T23:00:00+09:00,1.15757,1.15780,1.15477,1.15728,33176,1.16808,1.15920,1.15504,53.04024,44.98183,,,,
2026-03-10T00:00:00+09:00,1.15728,1.15937,1.15725,1.15915,19365,1.16798,1.15914,1.15497,57.48786,47.00487,,,,
2026-03-10T01:00:00+09:00,1.15915,1.15991,1.15852,1.15876,14510,1.16788,1.15909,1.15483,56.29044,48.48013,,,,
2026-03-10T02:00:00+09:00,1.15876,1.15894,1.15785,1.15787,10943,1.16778,1.15901,1.15499,53.54930,49.88469,,,,
2026-03-10T03:00:00+09:00,1.15787,1.15843,1.15758,1.15763,9951,1.16768,1.15893,1.15520,52.80258,50.97423,,,,
2026-03-10T04:00:00+09:00,1.15763,1.16334,1.15753,1.16088,38262,1.16759,1.15890,1.15562,60.77857,51.68199,,,,
2026-03-10T05:00:00+09:00,1.16088,1.16373,1.16086,1.16345,8872,1.16752,1.15891,1.15620,65.71292,53.14521,,,,
2026-03-10T06:00:00+09:00,1.16345,1.16370,1.16302,1.16369,979,1.16745,1.15891,1.15684,66.14132,54.28685,,,,
2026-03-10T07:00:00+09:00,1.16369,1.16455,1.16228,1.16294,5858,1.16736,1.15889,1.15737,63.47243,55.70671,,,,
2026-03-10T08:00:00+09:00,1.16294,1.16312,1.16146,1.16164,5938,1.16727,1.15887,1.15787,59.02643,56.46081,,,,
2026-03-10T09:00:00+09:00,1.16164,1.16353,1.16116,1.16262,13258,1.16718,1.15886,1.15837,61.23106,57.26712,,,,
2026-03-10T10:00:00+09:00,1.16262,1.16293,1.16117,1.16198,14507,1.16708,1.15884,1.15863,58.99846,57.89628,,,,
2026-03-10T11:00:00+09:00,1.16198,1.16268,1.16116,1.16130,8754,1.16699,1.15880,1.15897,56.63557,58.50134,,,,
2026-03-10T12:00:00+09:00,1.16130,1.16155,1.16079,1.16094,6626,1.16689,1.15877,1.15920,55.37123,58.60989,,,,
2026-03-10T13:00:00+09:00,1.16094,1.16142,1.16069,1.16117,4385,1.16679,1.15876,1.15959,56.04635,58.82461,,,,
2026-03-10T14:00:00+09:00,1.16117,1.16202,1.16115,1.16202,6252,1.16669,1.15877,1.15992,58.54235,58.89993,,,,
2026-03-10T15:00:00+09:00,1.16202,1.16375,1.16202,1.16324,7599,1.16660,1.15880,1.16028,61.88770,59.29973,,,,
2026-03-10T16:00:00+09:00,1.16324,1.16633,1.16277,1.16605,15206,1.16652,1.15889,1.16078,68.24387,60.34935,,,,
2026-03-10T17:00:00+09:00,1.16605,1.16618,1.16431,1.16457,17354,1.16643,1.15894,1.16124,62.34620,61.03103,,,,
2026-03-10T18:00:00+09:00,1.16457,1.16588,1.16438,1.16513,11886,1.16635,1.15900,1.16162,63.62708,61.23450,,,,
2026-03-10T19:00:00+09:00,1.16513,1.16517,1.16203,1.16393,14404,1.16626,1.15905,1.16195,58.99584,60.75471,,,,
2026-03-10T20:00:00+09:00,1.16393,1.16527,1.16361,1.16383,15981,1.16617,1.15908,1.16218,58.61297,60.21697,,,,
2026-03-10T21:00:00+09:00,1.16383,1.16407,1.16213,1.16344,17868,1.16608,1.15911,1.16242,57.05774,59.75877,,,,
2026-03-10T22:00:00+09:00,1.16344,1.16488,1.16291,1.16323,20008,1.16599,1.15913,1.16268,56.19313,59.55640,,,,
2026-03-10T23:00:00+09:00,1.16323,1.16503,1.16270,1.16484,16194,1.16590,1.15917,1.16304,61.06444,59.54450,,,,
2026-03-11T00:00:00+09:00,1.16484,1.16549,1.16397,1.16475,13562,1.16582,1.15924,1.16324,60.65838,59.66306,,,,
2026-03-11T01:00:00+09:00,1.16475,1.16545,1.16390,1.16518,11738,1.16575,1.15930,1.16332,61.95992,60.04337,,,,
2026-03-11T02:00:00+09:00,1.16518,1.16672,1.16414,1.16450,17044,1.16568,1.15939,1.16336,58.65517,60.27794,,,,
2026-03-11T03:00:00+09:00,1.16450,1.16459,1.16139,1.16244,30121,1.16559,1.15944,1.16334,49.96145,59.84330,,,,
2026-03-11T04:00:00+09:00,1.16244,1.16285,1.16074,1.16141,16887,1.16549,1.15948,1.16333,46.26876,58.96662,,,,
2026-03-11T05:00:00+09:00,1.16141,1.16153,1.16078,1.16107,4812,1.16539,1.15951,1.16325,45.08420,57.76637,,,,
2026-03-11T06:00:00+09:00,1.16107,1.16111,1.16055,1.16101,2585,1.16529,1.15956,1.16320,44.86590,56.09651,,,,
2026-03-11T07:00:00+09:00,1.16101,1.16130,1.16027,1.16047,1749,1.16519,1.15956,1.16316,42.85475,54.70427,,,,
2026-03-11T08:00:00+09:00,1.16047,1.16119,1.16047,1.16114,2721,1.16510,1.15956,1.16317,46.08407,53.45120,,,,
2026-03-11T09:00:00+09:00,1.16114,1.16247,1.16057,1.16178,9536,1.16502,1.15958,1.16320,49.04616,52.74050,,,,
2026-03-11T10:00:00+09:00,1.16178,1.16280,1.16124,1.16268,7792,1.16495,1.15960,1.16323,52.95994,52.33672,,,,
2026-03-11T11:00:00+09:00,1.16268,1.16292,1.16186,1.16258,5695,1.16486,1.15962,1.16320,52.47762,52.00957,,,,
2026-03-11T12:00:00+09:00,1.16258,1.16317,1.16249,1.16303,4456,1.16477,1.15964,1.16305,54.48638,51.88765,,,,
2026-03-11T13:00:00+09:00,1.16303,1.16351,1.16278,1.16336,4007,1.16469,1.15967,1.16299,55.95664,51.52281,,,,
2026-03-11T14:00:00+09:00,1.16336,1.16360,1.16300,1.16329,4922,1.16461,1.15968,1.16290,55.54674,51.15769,,,,
2026-03-11T15:00:00+09:00,1.16329,1.16409,1.16297,1.16332,6777,1.16453,1.15971,1.16287,55.69653,50.71031,,,,
2026-03-11T16:00:00+09:00,1.16332,1.16453,1.16135,1.16169,14665,1.16444,1.15973,1.16276,46.52381,49.84378,,,,
2026-03-11T17:00:00+09:00,1.16169,1.16213,1.16035,1.16125,14150,1.16435,1.15973,1.16265,44.39819,49.44641,,,,
2026-03-11T18:00:00+09:00,1.16125,1.16138,1.15902,1.15921,18686,1.16424,1.15970,1.16245,36.15122,48.72373,,,,
2026-03-11T19:00:00+09:00,1.15921,1.16117,1.15910,1.16071,11852,1.16414,1.15970,1.16224,44.33834,48.67045,,,,
2026-03-11T20:00:00+09:00,1.16071,1.16106,1.15945,1.15946,11726,1.16404,1.15973,1.16198,39.76264,48.30593,,,,
2026-03-11T21:00:00+09:00,1.15946,1.16052,1.15775,1.15825,20247,1.16392,1.15974,1.16163,35.90042,47.80919,,,,
2026-03-11T22:00:00+09:00,1.15825,1.15933,1.15777,1.15916,19127,1.16382,1.15977,1.16137,40.57529,47.41571,,,,
2026-03-11T23:00:00+09:00,1.15916,1.16125,1.15810,1.15819,34743,1.16370,1.15981,1.16115,37.44075,46.58675,,,,
2026-03-12T00:00:00+09:00,1.15819,1.15841,1.15654,1.15662,13960,1.16358,1.15983,1.16091,32.99745,45.16086,,,,
2026-03-12T01:00:00+09:00,1.15662,1.15764,1.15631,1.15709,11805,1.16347,1.15982,1.16071,35.46650,43.94578,,,,
2026-03-12T02:00:00+09:00,1.15709,1.15763,1.15609,1.15712,13025,1.16335,1.15981,1.16052,35.62955,42.59886,,,,
2026-03-12T03:00:00+09:00,1.15712,1.15743,1.15640,1.15716,8635,1.16324,1.15977,1.16035,35.86224,41.16355,,,,
