time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,209.24800,209.60000,209.19400,209.38200,2337,209.62001,210.81964,210.13475,34.47778,43.47029,,,,
2026-03-02T08:00:00+09:00,209.38200,210.06000,209.38200,209.97000,24583,209.63150,210.81396,210.12495,45.77053,43.36328,,,,
2026-03-02T09:00:00+09:00,209.97000,210.16400,209.78600,210.07500,28279,209.64242,210.81243,210.12990,47.51026,43.71862,,,,
2026-03-02T10:00:00+09:00,210.07500,210.45700,210.07200,210.11600,31866,209.65352,210.81099,210.12520,48.20895,44.38530,,,,
2026-03-02T11:00:00+09:00,210.11600,210.25300,210.03900,210.11700,21748,209.66446,210.80715,210.13335,48.22705,44.98686,,,,
2026-03-02T12:00:00+09:00,210.11700,210.26300,210.07400,210.20300,18697,209.67635,210.80716,210.11765,49.85038,45.74441,,,,
2026-03-02T13:00:00+09:00,210.20300,210.39700,210.14500,210.33900,17050,209.68864,210.80719,210.09890,52.39254,46.50539,,,,
2026-03-02T14:00:00+09:00,210.33900,210.52300,210.30900,210.39700,16936,209.70118,210.81043,210.09600,53.47569,47.64157,,,,
2026-03-02T15:00:00+09:00,210.39700,210.41900,209.83600,209.93000,29076,209.71150,210.80203,210.08315,44.66423,47.85977,,,,
2026-03-02T16:00:00+09:00,209.93000,210.06000,209.50500,209.75700,38864,209.72189,210.79211,210.07335,41.90927,47.73288,,,,
2026-03-02T17:00:00+09:00,209.75700,209.93900,209.34300,209.56300,29559,209.73071,210.78116,210.05190,39.00388,47.15659,,,,
2026-03-02T18:00:00+09:00,209.56300,209.96300,209.49100,209.95200,30005,209.74029,210.77240,210.05160,46.94613,46.91766,,,,
2026-03-02T19:00:00+09:00,209.95200,210.40400,209.89200,210.36000,26841,209.75169,210.76517,210.06690,53.74853,46.90647,,,,
2026-03-02T20:00:00+09:00,210.36000,210.62900,210.26700,210.51000,26891,209.76336,210.75505,210.10175,55.98303,47.29773,,,,
2026-03-02T21:00:00+09:00,210.51000,210.88200,210.50200,210.81600,30927,209.77654,210.74433,210.14415,60.20661,49.13551,,,,
2026-03-02T22:00:00+09:00,210.81600,211.05800,210.72300,210.79400,37380,209.79017,210.73077,210.18135,59.76262,50.13494,,,,
2026-03-02T23:00:00+09:00,210.79400,211.35700,210.65300,211.20500,35045,209.80588,210.72361,210.23225,64.96121,51.38144,,,,
2026-03-03T00:00:00+09:00,211.20500,211.38000,210.75800,210.91000,45718,209.81848,210.71079,210.26155,59.06280,52.15671,,,,
2026-03-03T01:00:00+09:00,210.91000,210.91200,210.50000,210.88200,33996,209.83025,210.70047,210.28125,58.51967,52.89190,,,,
2026-03-03T02:00:00+09:00,210.88200,211.15100,210.80900,211.10000,25436,209.84238,210.69181,210.31890,61.48899,53.72323,,,,
2026-03-03T03:00:00+09:00,211.10000,211.10700,210.90200,210.97200,12350,209.85396,210.68315,210.39840,58.82628,54.18278,,,,
2026-03-03T04:00:00+09:00,210.97200,211.10600,210.93000,211.02200,16272,209.86593,210.67287,210.45100,59.56291,54.61758,,,,
2026-03-03T05:00:00+09:00,211.02200,211.02800,210.74700,210.87200,31552,209.87730,210.65903,210.49085,56.30823,55.44930,,,,
2026-03-03T06:00:00+09:00,210.87200,211.05100,210.81100,210.84000,9898,209.88839,210.64416,210.52705,55.61011,56.42793,,,,
2026-03-03T07:00:00+09:00,210.84000,210.94100,210.76100,210.90300,1440,209.89805,210.62971,210.56635,56.74708,57.69530,,,,
2026-03-03T08:00:00+09:00,210.90300,210.98000,210.76500,210.86000,10816,209.90742,210.61396,210.59920,55.69845,58.32047,,,,
2026-03-03T09:00:00+09:00,210.86000,211.20600,210.73600,211.20500,21853,209.91829,210.60476,210.64250,61.79801,58.89543,,,,
2026-03-03T10:00:00+09:00,211.20500,211.35800,210.90000,210.90400,25233,209.92809,210.59215,210.66785,54.71933,58.80517,,,,
2026-03-03T11:00:00+09:00,210.90400,210.94800,210.68600,210.78300,24292,209.93660,210.57965,210.71050,52.13407,58.22856,,,,
2026-03-03T12:00:00+09:00,210.78300,210.86900,210.66300,210.73500,16367,209.94593,210.56847,210.75940,51.10263,57.60998,,,,
2026-03-03T13:00:00+09:00,210.73500,210.77300,210.63700,210.65000,15814,209.95422,210.55705,210.81375,49.24463,56.48737,,,,
2026-03-03T14:00:00+09:00,210.65000,210.75400,210.29700,210.33100,20829,209.96204,210.54139,210.83270,42.93542,55.33542,,,,
2026-03-03T15:00:00+09:00,210.33100,210.37800,210.01200,210.07000,25600,209.96829,210.52380,210.81820,38.58016,53.91116,,,,
2026-03-03T16:00:00+09:00,210.07000,210.07700,209.75700,209.90900,31151,209.97416,210.50439,210.78815,36.14453,52.10085,,,,
2026-03-03T17:00:00+09:00,209.90900,210.03700,209.51800,209.55000,28932,209.97829,210.47896,210.72485,31.38634,50.14085,,,,
2026-03-03T18:00:00+09:00,209.55000,209.75300,209.44500,209.66000,34079,209.98097,210.45521,210.66815,34.24278,48.33227,,,,
2026-03-03T19:00:00+09:00,209.66000,209.91000,209.63900,209.68700,42141,209.98361,210.43255,210.59225,34.95853,46.80729,,,,
2026-03-03T20:00:00+09:00,209.68700,209.90600,209.42000,209.60300,32987,209.98517,210.41449,210.52690,33.72850,45.24432,,,,
2026-03-03T21:00:00+09:00,209.60300,210.11000,209.54800,210.01200,35943,209.98948,210.39979,210.48340,44.05095,44.33745,,,,
2026-03-03T22:00:00+09:00,210.01200,210.08600,209.74500,209.88800,35054,209.99165,210.38367,210.42280,41.91913,43.35322,,,,
2026-03-03T23:00:00+09:00,209.88800,210.16800,209.48800,209.49800,49119,209.99247,210.36144,210.34910,36.01557,41.51161,,,,
2026-03-04T00:00:00+09:00,209.49800,210.05000,209.21700,209.95700,62964,209.99541,210.34145,210.29585,45.70682,40.86786,,,,
2026-03-04T01:00:00+09:00,209.95700,210.19600,209.89100,210.15600,49495,210.00079,210.32512,210.26005,49.29274,40.66491,,,,
