time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.34122,1.34155,1.34000,1.34121,1541,1.35042,1.35080,1.34702,32.13292,41.98161,,,,
2026-03-02T08:00:00+09:00,1.34121,1.34358,1.34027,1.34054,17420,1.35037,1.35068,1.34659,30.95362,40.98298,,,,
2026-03-02T09:00:00+09:00,1.34054,1.34337,1.34006,1.34323,18182,1.35032,1.35061,1.34627,40.40971,40.84919,,,,
2026-03-02T10:00:00+09:00,1.34323,1.34540,1.34287,1.34504,22526,1.35027,1.35055,1.34607,45.78950,41.27642,,,,
2026-03-02T11:00:00+09:00,1.34504,1.34508,1.34379,1.34445,11179,1.35021,1.35048,1.34595,44.38292,41.47614,,,,
2026-03-02T12:00:00+09:00,1.34445,1.34558,1.34440,1.34475,9130,1.35016,1.35041,1.34575,45.30298,42.22245,,,,
2026-03-02T13:00:00+09:00,1.34475,1.34508,1.34352,1.34384,8095,1.35010,1.35032,1.34546,42.98034,42.64667,,,,
2026-03-02T14:00:00+09:00,1.34384,1.34385,1.34144,1.34148,9003,1.35002,1.35018,1.34511,37.59687,42.79567,,,,
2026-03-02T15:00:00+09:00,1.34148,1.34156,1.33761,1.33815,21219,1.34993,1.35001,1.34464,31.58523,42.18389,,,,
2026-03-02T16:00:00+09:00,1.33815,1.33856,1.33445,1.33619,25061,1.34983,1.34980,1.34412,28.67856,41.20792,,,,
2026-03-02T17:00:00+09:00,1.33619,1.33709,1.33142,1.33500,27271,1.34973,1.34957,1.34351,27.05089,39.76004,,,,
2026-03-02T18:00:00+09:00,1.33500,1.33798,1.33456,1.33726,21009,1.34963,1.34937,1.34315,34.63809,38.63118,,,,
2026-03-02T19:00:00+09:00,1.33726,1.34088,1.33724,1.34060,16377,1.34956,1.34921,1.34293,43.92101,38.25403,,,,
2026-03-02T20:00:00+09:00,1.34060,1.34262,1.33978,1.34117,15421,1.34949,1.34907,1.34277,45.34755,37.91216,,,,
2026-03-02T21:00:00+09:00,1.34117,1.34186,1.33914,1.33956,19759,1.34941,1.34891,1.34248,42.09065,38.62342,,,,
2026-03-02T22:00:00+09:00,1.33956,1.34053,1.33789,1.33825,23617,1.34932,1.34874,1.34209,39.59859,39.24092,,,,
2026-03-02T23:00:00+09:00,1.33825,1.34254,1.33752,1.34122,34619,1.34925,1.34861,1.34179,47.22733,39.72789,,,,
2026-03-03T00:00:00+09:00,1.34122,1.34132,1.33654,1.33718,32901,1.34915,1.34841,1.34125,39.85366,39.30391,,,,
2026-03-03T01:00:00+09:00,1.33718,1.33944,1.33595,1.33901,25810,1.34906,1.34826,1.34081,44.11039,39.28444,,,,
2026-03-03T02:00:00+09:00,1.33901,1.34182,1.33874,1.34153,16188,1.34898,1.34811,1.34048,49.41908,39.57845,,,,
2026-03-03T03:00:00+09:00,1.34153,1.34156,1.33951,1.34059,11324,1.34890,1.34794,1.34045,47.60273,39.90862,,,,
2026-03-03T04:00:00+09:00,1.34059,1.34317,1.34045,1.34283,10771,1.34883,1.34778,1.34057,52.11894,40.94591,,,,
2026-03-03T05:00:00+09:00,1.34283,1.34297,1.33863,1.34012,26091,1.34875,1.34757,1.34041,46.85700,42.03675,,,,
2026-03-03T06:00:00+09:00,1.34012,1.34108,1.34012,1.34047,6357,1.34867,1.34738,1.34018,47.59291,43.38777,,,,
2026-03-03T07:00:00+09:00,1.34047,1.34047,1.33924,1.34004,685,1.34860,1.34718,1.33996,46.73662,44.79390,,,,
2026-03-03T08:00:00+09:00,1.34004,1.34112,1.34004,1.34078,2686,1.34853,1.34698,1.33976,48.45535,45.78084,,,,
2026-03-03T09:00:00+09:00,1.34078,1.34127,1.33977,1.34117,8561,1.34847,1.34679,1.33963,49.38240,46.17094,,,,
2026-03-03T10:00:00+09:00,1.34117,1.34250,1.34055,1.34092,15136,1.34842,1.34660,1.33960,48.77679,46.41589,,,,
2026-03-03T11:00:00+09:00,1.34092,1.34123,1.33917,1.34047,14048,1.34836,1.34640,1.33972,47.64417,46.81257,,,,
2026-03-03T12:00:00+09:00,1.34047,1.34106,1.33951,1.33993,9256,1.34831,1.34618,1.33991,46.25612,47.28810,,,,
