time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,92.76500,93.07900,92.76500,92.85700,1309,92.82402,93.40553,93.41525,31.65884,53.28690,,,,
2026-03-02T08:00:00+09:00,92.85700,93.38200,92.85700,93.29100,10606,92.82800,93.40944,93.41560,46.86374,52.73474,,,,
2026-03-02T09:00:00+09:00,93.29100,93.43500,93.16200,93.40200,13787,92.83220,93.41513,93.42430,49.93191,52.81000,,,,
2026-03-02T10:00:00+09:00,93.40200,93.73300,93.39900,93.54100,16298,92.83714,93.42331,93.43435,53.54901,53.40123,,,,
2026-03-02T11:00:00+09:00,93.54100,93.59200,93.43400,93.56500,9895,92.84128,93.43119,93.44520,54.16473,54.20505,,,,
2026-03-02T12:00:00+09:00,93.56500,93.65800,93.53400,93.54700,8560,92.84554,93.43907,93.44825,53.59098,54.53166,,,,
2026-03-02T13:00:00+09:00,93.54700,93.61200,93.45700,93.52300,7173,92.84967,93.44623,93.45160,52.78807,54.36947,,,,
2026-03-02T14:00:00+09:00,93.52300,93.58600,93.44300,93.46300,8211,92.85367,93.45313,93.45265,50.74134,53.46538,,,,
2026-03-02T15:00:00+09:00,93.46300,93.48700,93.32500,93.37400,10725,92.85715,93.45696,93.45385,47.78189,52.54891,,,,
2026-03-02T16:00:00+09:00,93.37400,93.43300,93.20400,93.30200,13210,92.86065,93.45916,93.45470,45.47134,51.47184,,,,
2026-03-02T17:00:00+09:00,93.30200,93.39600,93.19400,93.31400,14517,92.86435,93.46204,93.45840,45.94054,50.54927,,,,
2026-03-02T18:00:00+09:00,93.31400,93.47900,93.28000,93.46900,10358,92.86995,93.46536,93.46505,51.71937,50.15321,,,,
2026-03-02T19:00:00+09:00,93.46900,93.60000,93.46300,93.56900,8906,92.87703,93.46895,93.47110,55.05732,49.58504,,,,
2026-03-02T20:00:00+09:00,93.56900,93.58400,93.46400,93.53000,7536,92.88395,93.47088,93.46520,53.50371,49.48306,,,,
2026-03-02T21:00:00+09:00,93.53000,93.58100,93.40600,93.45900,10271,92.89059,93.47049,93.45805,50.69891,50.84306,,,,
2026-03-02T22:00:00+09:00,93.45900,93.65400,93.43800,93.48000,12859,92.89775,93.46951,93.45200,51.50862,51.17484,,,,
2026-03-02T23:00:00+09:00,93.48000,93.72600,93.42600,93.63000,17417,92.90560,93.47149,93.45475,56.94770,51.67597,,,,
2026-03-03T00:00:00+09:00,93.63000,93.74700,93.42700,93.48300,17725,92.91233,93.46997,93.45135,50.91990,51.48817,,,,
2026-03-03T01:00:00+09:00,93.48300,93.48300,93.20100,93.36500,14628,92.91789,93.46787,93.43565,46.65120,50.95149,,,,
2026-03-03T02:00:00+09:00,93.36500,93.48600,93.31000,93.47700,8526,92.92326,93.46652,93.43205,50.86183,50.75655,,,,
2026-03-03T03:00:00+09:00,93.47700,93.47700,93.40400,93.46100,6111,92.92874,93.46401,93.46225,50.25165,50.57538,,,,
2026-03-03T04:00:00+09:00,93.46100,93.61400,93.45400,93.56300,6515,92.93499,93.46288,93.47585,54.03728,50.81080,,,,
2026-03-03T05:00:00+09:00,93.56300,93.56600,93.38900,93.48500,8007,92.94123,93.45989,93.48000,50.85063,51.03000,,,,
2026-03-03T06:00:00+09:00,93.48500,93.57100,93.43600,93.44500,2915,92.94761,93.45556,93.47520,49.24676,51.29967,,,,
2026-03-03T07:00:00+09:00,93.44500,93.58100,93.30400,93.50900,1979,92.95328,93.45175,93.47240,51.86288,51.72270,,,,
2026-03-03T08:00:00+09:00,93.50900,93.55600,93.42700,93.51000,2293,92.95848,93.44773,93.47055,51.90459,51.73593,,,,
2026-03-03T09:00:00+09:00,93.51000,93.63900,93.44800,93.62200,8187,92.96442,93.44561,93.47550,56.45607,51.83584,,,,
2026-03-03T10:00:00+09:00,93.62200,93.76100,93.49900,93.51000,11935,92.96969,93.44248,93.47785,51.23456,51.67375,,,,
2026-03-03T11:00:00+09:00,93.51000,93.55100,93.37400,93.51000,10707,92.97525,93.43997,93.48465,51.23456,51.71201,,,,
2026-03-03T12:00:00+09:00,93.51000,93.55200,93.44500,93.49500,7689,92.98147,93.43821,93.49430,50.50896,51.64061,,,,
2026-03-03T13:00:00+09:00,93.49500,93.54200,93.43800,93.44800,6669,92.98711,93.43539,93.50100,48.20529,51.01615,,,,
2026-03-03T14:00:00+09:00,93.44800,93.50700,93.25500,93.29000,8897,92.99209,93.43095,93.49205,41.37373,50.33428,,,,
2026-03-03T15:00:00+09:00,93.29000,93.32800,93.15100,93.24700,9676,92.99682,93.42651,93.47595,39.72378,49.83947,,,,
2026-03-03T16:00:00+09:00,93.24700,93.27200,92.99900,93.04000,12767,93.00061,93.41939,93.45145,32.91814,48.55778,,,,
2026-03-03T17:00:00+09:00,93.04000,93.10400,92.87000,92.87500,15653,93.00348,93.40837,93.42225,28.69765,47.01820,,,,
2026-03-03T18:00:00+09:00,92.87500,93.04100,92.81300,92.85000,15367,93.00489,93.39769,93.39075,28.10959,45.16623,,,,
2026-03-03T19:00:00+09:00,92.85000,92.87500,92.54600,92.69300,14364,93.00534,93.38581,93.34390,24.68814,43.29748,,,,
2026-03-03T20:00:00+09:00,92.69300,92.94000,92.58300,92.88000,17616,93.00633,93.37895,93.31375,34.85856,42.26975,,,,
2026-03-03T21:00:00+09:00,92.88000,93.03300,92.81000,93.00300,16545,93.00840,93.37295,93.29565,40.54586,41.46139,,,,
2026-03-03T22:00:00+09:00,93.00300,93.01400,92.82300,92.90800,14694,93.00932,93.36696,93.26720,37.80079,40.45398,,,,
2026-03-03T23:00:00+09:00,92.90800,93.04300,92.43000,92.44000,19116,93.00787,93.35464,93.21615,27.81146,38.40793,,,,
2026-03-04T00:00:00+09:00,92.44000,92.55200,92.11700,92.53600,28471,93.00691,93.34211,93.16480,31.79320,37.01926,,,,
2026-03-04T01:00:00+09:00,92.53600,92.81400,92.53400,92.77100,22917,93.00772,93.33305,93.12910,40.45193,36.24908,,,,
2026-03-04T02:00:00+09:00,92.77100,92.81500,92.65100,92.75400,15627,93.00897,93.32617,93.09455,40.05578,35.50242,,,,
2026-03-04T03:00:00+09:00,92.75400,92.96800,92.74300,92.93600,11141,93.01154,93.32151,93.06590,46.13732,35.35471,,,,
2026-03-04T04:00:00+09:00,92.93600,93.07300,92.82000,92.93500,13357,93.01470,93.31729,93.03715,46.10964,35.69299,,,,
2026-03-04T05:00:00+09:00,92.93500,92.96500,92.80400,92.88400,5354,93.01735,93.31307,93.00025,44.63873,36.04406,,,,
2026-03-04T06:00:00+09:00,92.88400,92.90500,92.79900,92.83300,2670,93.01939,93.30531,92.96640,43.15614,36.77534,,,,
2026-03-04T07:00:00+09:00,92.83300,92.83300,92.64900,92.79600,1469,93.02138,93.29685,92.93070,42.06460,37.73012,,,,
2026-03-04T08:00:00+09:00,92.79600,92.91300,92.77200,92.88500,2433,93.02292,93.28920,92.90020,45.62710,38.98138,,,,
2026-03-04T09:00:00+09:00,92.88500,92.90200,92.55700,92.58000,13554,93.02347,93.27921,92.85680,37.18781,39.87421,,,,
2026-03-04T10:00:00+09:00,92.58000,92.66600,92.42700,92.61900,16092,93.02401,93.27039,92.82325,38.74791,40.15202,,,,
2026-03-04T11:00:00+09:00,92.61900,92.89100,92.56900,92.78500,12157,93.02545,93.26497,92.80015,45.00873,40.47080,,,,
2026-03-04T12:00:00+09:00,92.78500,92.88300,92.69700,92.87900,10529,93.02730,93.26115,92.79210,48.23536,41.21612,,,,
2026-03-04T13:00:00+09:00,92.87900,92.91200,92.62400,92.73900,10278,93.02796,93.25445,92.78530,44.08635,42.37861,,,,
2026-03-04T14:00:00+09:00,92.73900,92.92200,92.69700,92.86400,10391,93.02960,93.24892,92.78600,48.35757,43.56178,,,,
2026-03-04T15:00:00+09:00,92.86400,92.98300,92.78300,92.89000,9087,93.03124,93.24367,92.79585,49.22637,44.18853,,,,
2026-03-04T16:00:00+09:00,92.89000,93.03300,92.83800,92.95500,10691,93.03276,93.24003,92.79960,51.42645,45.00072,,,,
2026-03-04T17:00:00+09:00,92.95500,92.99600,92.80500,92.82300,13855,93.03434,93.23313,92.79060,46.97490,45.06055,,,,
2026-03-04T18:00:00+09:00,92.82300,92.97500,92.75200,92.89500,12227,93.03715,93.22709,92.78995,49.54062,45.30562,,,,
2026-03-04T19:00:00+09:00,92.89500,93.12400,92.88300,92.98700,18472,93.04100,93.22044,92.81730,52.69065,45.88075,,,,
2026-03-04T20:00:00+09:00,92.98700,93.06500,92.88800,92.91900,10372,93.04430,93.21328,92.83645,50.19634,46.38363,,,,
2026-03-04T21:00:00+09:00,92.91900,93.03600,92.84800,92.95400,11754,93.04774,93.20677,92.84560,51.46977,47.05542,,,,
2026-03-04T22:00:00+09:00,92.95400,93.08500,92.93300,92.96900,14627,93.05032,93.20169,92.85635,52.03579,47.51319,,,,
2026-03-04T23:00:00+09:00,92.96900,93.03700,92.87600,92.91700,18853,93.05299,93.19679,92.85540,49.86453,48.41867,,,,
2026-03-05T00:00:00+09:00,92.91700,93.22000,92.91700,93.17100,19217,93.05652,93.19587,92.86720,58.88836,49.85727,,,,
2026-03-05T01:00:00+09:00,93.17100,93.21700,93.02100,93.09500,11850,93.05899,93.19265,92.87775,55.66020,50.61809,,,,
2026-03-05T02:00:00+09:00,93.09500,93.13800,92.98500,93.08600,8043,93.06151,93.18783,92.89040,55.27378,51.12083,,,,
2026-03-05T03:00:00+09:00,93.08600,93.23600,93.03100,93.22000,6276,93.06530,93.18212,92.91160,59.75385,52.23994,,,,
2026-03-05T04:00:00+09:00,93.22000,93.26600,93.19000,93.24500,5762,93.06937,93.17736,92.92960,60.54784,53.11067,,,,
2026-03-05T05:00:00+09:00,93.24500,93.29900,93.19400,93.28300,2937,93.07377,93.17312,92.96475,61.78204,54.00751,,,,
2026-03-05T06:00:00+09:00,93.28300,93.30600,93.23300,93.24200,2037,93.07733,93.16868,92.99590,59.61506,54.59241,,,,
2026-03-05T07:00:00+09:00,93.24200,93.25600,93.20400,93.23400,1589,93.08045,93.16445,93.01835,59.17889,55.46412,,,,
2026-03-05T08:00:00+09:00,93.23400,93.32500,93.18400,93.19500,2816,93.08366,93.15800,93.03415,56.98986,55.99621,,,,
2026-03-05T09:00:00+09:00,93.19500,93.21500,93.04800,93.08600,7356,93.08626,93.15183,93.05150,51.28055,55.89549,,,,
2026-03-05T10:00:00+09:00,93.08600,93.17100,92.93100,92.99300,12479,93.08853,93.15364,93.05795,46.95803,55.66418,,,,
2026-03-05T11:00:00+09:00,92.99300,93.19800,92.96800,93.19800,9049,93.09115,93.15240,93.07335,55.80192,55.97362,,,,
2026-03-05T12:00:00+09:00,93.19800,93.26900,93.01100,93.07700,9239,93.09324,93.14807,93.07945,50.45455,55.86067,,,,
2026-03-05T13:00:00+09:00,93.07700,93.17300,93.06400,93.15500,6321,93.09564,93.14292,93.09605,53.54497,56.12356,,,,
2026-03-05T14:00:00+09:00,93.15500,93.19300,92.97500,92.97800,7649,93.09743,93.13509,93.10020,46.46257,55.23601,,,,
2026-03-05T15:00:00+09:00,92.97800,93.11800,92.92100,93.11300,11451,93.10028,93.12931,93.10650,51.70910,54.95379,,,,
2026-03-05T16:00:00+09:00,93.11300,93.15700,93.04800,93.13800,9839,93.10269,93.12417,93.11745,52.63479,54.76529,,,,
2026-03-05T17:00:00+09:00,93.13800,93.14400,92.79900,93.01600,12390,93.10610,93.11821,93.12055,47.81762,53.91270,,,,
2026-03-05T18:00:00+09:00,93.01600,93.30900,92.98700,93.04800,20723,93.10950,93.11387,93.12450,49.13264,53.09733,,,,
2026-03-05T19:00:00+09:00,93.04800,93.12100,92.99400,93.09800,9387,93.11355,93.11115,93.13355,51.20191,52.34160,,,,
2026-03-05T20:00:00+09:00,93.09800,93.24300,93.09300,93.19900,8614,93.11795,93.10961,93.13495,55.16917,52.02404,,,,
2026-03-05T21:00:00+09:00,93.19900,93.31200,93.15100,93.26500,9430,93.12233,93.10689,93.14345,57.59528,51.91092,,,,
2026-03-05T22:00:00+09:00,93.26500,93.31400,93.15000,93.21600,12430,93.12631,93.10219,93.14995,55.20658,51.78355,,,,
2026-03-05T23:00:00+09:00,93.21600,93.22900,92.95900,93.14900,16415,93.12966,93.09711,93.14640,52.02910,51.83702,,,,
2026-03-06T00:00:00+09:00,93.14900,93.18900,92.87800,92.92700,16409,93.13221,93.09001,93.13050,43.16411,51.56602,,,,
2026-03-06T01:00:00+09:00,92.92700,92.93400,92.67700,92.81100,15786,93.13345,93.08109,93.10690,39.38768,50.39358,,,,
2026-03-06T02:00:00+09:00,92.81100,92.88400,92.65300,92.71300,12745,93.13413,93.06887,93.08045,36.48359,49.39565,,,,
2026-03-06T03:00:00+09:00,92.71300,92.85700,92.67100,92.77900,9774,93.13554,93.05948,93.05770,39.70773,48.40728,,,,
2026-03-06T04:00:00+09:00,92.77900,92.81100,92.69000,92.75100,5829,93.13710,93.05129,93.03550,38.80772,47.86050,,,,
2026-03-06T05:00:00+09:00,92.75100,92.95900,92.71500,92.94500,8306,93.13995,93.04420,93.02845,47.65959,47.57125,,,,
2026-03-06T06:00:00+09:00,92.94500,92.94500,92.83700,92.83700,3004,93.14260,93.03588,93.02065,43.85616,46.94421,,,,
2026-03-06T07:00:00+09:00,92.83700,92.94900,92.77400,92.85000,1651,93.14526,93.02637,93.00325,44.43102,46.70231,,,,
2026-03-06T08:00:00+09:00,92.85000,92.94100,92.78900,92.89700,3005,93.14919,93.01853,92.99425,46.56138,46.51864,,,,
2026-03-06T09:00:00+09:00,92.89700,93.02600,92.82400,93.01300,7872,93.15402,93.01277,92.98715,51.50313,46.54016,,,,
2026-03-06T10:00:00+09:00,93.01300,93.10900,92.98600,93.06100,10795,93.15910,93.00680,92.99130,53.42254,46.41540,,,,
2026-03-06T11:00:00+09:00,93.06100,93.16300,93.04500,93.05800,7004,93.16399,93.00077,92.98855,53.28061,46.10721,,,,
2026-03-06T12:00:00+09:00,93.05800,93.11400,93.02700,93.09000,5598,93.16903,92.99368,92.98615,54.66423,46.06847,,,,
2026-03-06T13:00:00+09:00,93.09000,93.12900,93.06400,93.08600,4076,93.17385,92.98803,92.98965,54.44717,46.24119,,,,
2026-03-06T14:00:00+09:00,93.08600,93.19900,93.08000,93.15100,6668,93.17926,92.98324,92.99480,57.40698,47.25854,,,,
2026-03-06T15:00:00+09:00,93.15100,93.25400,93.15100,93.19300,7332,93.18498,92.97921,92.99955,59.24946,48.67724,,,,
2026-03-06T16:00:00+09:00,93.19300,93.23400,93.13300,93.13700,6759,93.18986,92.97507,92.99645,55.78448,50.05587,,,,
2026-03-06T17:00:00+09:00,93.13700,93.14300,93.01400,93.10500,9129,93.19380,92.97260,92.98845,53.84662,51.06579,,,,
2026-03-06T18:00:00+09:00,93.10500,93.11900,92.68900,92.69600,11686,93.19556,92.96525,92.96245,36.42831,50.89583,,,,
2026-03-06T19:00:00+09:00,92.69600,92.83900,92.69200,92.83400,9682,93.19749,92.96251,92.94670,43.11465,50.57120,,,,
2026-03-06T20:00:00+09:00,92.83400,92.84100,92.61100,92.62900,11378,93.19823,92.95923,92.93180,36.90497,50.07468,,,,
2026-03-06T21:00:00+09:00,92.62900,92.74400,92.62200,92.71000,11199,93.19938,92.95736,92.92675,40.54851,49.79736,,,,
2026-03-06T22:00:00+09:00,92.71000,92.76900,92.47700,92.50700,23241,93.19933,92.95488,92.91645,35.08094,48.97733,,,,
2026-03-06T23:00:00+09:00,92.50700,92.77800,92.48500,92.51800,24575,93.19992,92.95005,92.90340,35.58777,47.84052,,,,
2026-03-07T00:00:00+09:00,92.51800,92.90800,92.51100,92.74800,22913,93.19836,92.94665,92.90325,45.21834,47.25450,,,,
2026-03-07T01:00:00+09:00,92.74800,93.05300,92.74600,93.01300,14963,93.19835,92.94805,92.90665,53.79096,47.29096,,,,
2026-03-07T02:00:00+09:00,93.01300,93.07800,92.96000,92.99100,13186,93.19828,92.95540,92.91435,53.04877,47.17557,,,,
2026-03-07T03:00:00+09:00,92.99100,93.15500,92.98300,93.08800,9182,93.19896,92.96276,92.92625,55.93564,47.28189,,,,
2026-03-07T04:00:00+09:00,93.08800,93.16900,93.07500,93.15800,5161,93.20059,92.96792,92.93930,57.94522,47.32033,,,,
2026-03-07T05:00:00+09:00,93.15800,93.20900,93.08400,93.14700,5159,93.20242,92.97316,92.94600,57.50143,47.19547,,,,
2026-03-07T06:00:00+09:00,93.14700,93.20400,93.01000,93.07600,3842,93.20368,92.97503,92.94675,54.59499,47.11051,,,,
2026-03-09T06:00:00+09:00,92.69400,92.81700,92.65500,92.67900,289,93.20284,92.97161,92.92780,41.85548,46.25400,,,,
2026-03-09T07:00:00+09:00,92.67900,92.84000,92.58500,92.70400,10523,93.20178,92.96921,92.90850,42.76126,46.70635,,,,
2026-03-09T08:00:00+09:00,92.70400,92.74600,92.58100,92.68500,9317,93.20040,92.96724,92.88845,42.22291,46.64266,,,,
2026-03-09T09:00:00+09:00,92.68500,92.91200,92.64600,92.89300,14036,93.19996,92.96853,92.87555,49.69013,47.55588,,,,
2026-03-09T10:00:00+09:00,92.89300,93.03200,92.84500,92.96000,16305,93.19996,92.96953,92.86390,51.84890,48.36305,,,,
2026-03-09T11:00:00+09:00,92.96000,93.28300,92.96000,93.26000,14855,93.20144,92.97860,92.87005,60.10385,50.15040,,,,
2026-03-09T12:00:00+09:00,93.26000,93.31200,93.19200,93.22800,10555,93.20259,92.98672,92.87620,58.94306,51.81864,,,,
2026-03-09T13:00:00+09:00,93.22800,93.34600,93.17800,93.17900,7882,93.20361,92.99197,92.90035,57.12378,52.66903,,,,
2026-03-09T14:00:00+09:00,93.17900,93.40700,93.15300,93.29700,17649,93.20546,92.99755,92.92350,60.30147,53.13406,,,,
2026-03-09T15:00:00+09:00,93.29700,93.38000,93.23600,93.27300,14017,93.20695,93.00467,92.95570,59.33821,53.58331,,,,
2026-03-09T16:00:00+09:00,93.27300,93.36500,93.22500,93.33700,14446,93.20886,93.01097,92.98705,61.12173,53.95375,,,,
2026-03-09T17:00:00+09:00,93.33700,93.40900,93.21200,93.39300,18816,93.21089,93.01768,93.03135,62.66485,54.29086,,,,
2026-03-09T18:00:00+09:00,93.39300,93.62400,93.30800,93.61400,18671,93.21424,93.02647,93.08615,68.05378,55.04460,,,,
2026-03-09T19:00:00+09:00,93.61400,93.64500,93.51300,93.59000,17011,93.21675,93.03669,93.12825,66.92406,55.92525,,,,
2026-03-09T20:00:00+09:00,93.59000,93.67200,93.56300,93.59000,13382,93.21902,93.04596,93.15710,66.92406,57.71586,,,,
2026-03-09T21:00:00+09:00,93.59000,93.62700,93.50300,93.54800,12620,93.22127,93.05344,93.18495,64.74275,59.28597,,,,
2026-03-09T22:00:00+09:00,93.54800,93.70300,93.53100,93.57900,20996,93.22306,93.06224,93.20950,65.63312,60.95813,,,,
2026-03-09T23:00:00+09:00,93.57900,93.70100,93.42900,93.59600,24273,93.22454,93.07080,93.23140,66.13814,62.13298,,,,
2026-03-10T00:00:00+09:00,93.59600,93.62500,93.50600,93.53800,16299,93.22531,93.07839,93.25095,62.75014,62.91164,,,,
2026-03-10T01:00:00+09:00,93.53800,93.69000,93.51200,93.67200,11807,93.22623,93.08845,93.28075,66.96108,63.40145,,,,
2026-03-10T02:00:00+09:00,93.67200,93.67600,93.60400,93.62800,9285,93.22660,93.09455,93.32820,64.38721,63.79031,,,,
2026-03-10T03:00:00+09:00,93.62800,93.68000,93.59500,93.64900,7523,93.22744,93.10193,93.37545,65.07717,64.35841,,,,
2026-03-10T04:00:00+09:00,93.64900,93.73600,93.45100,93.54400,16115,93.22717,93.10804,93.41840,58.92955,64.26042,,,,
2026-03-10T05:00:00+09:00,93.54400,93.58500,93.44700,93.48600,4867,93.22699,93.11159,93.44805,55.79417,64.00727,,,,
2026-03-10T06:00:00+09:00,93.48600,93.60400,93.48600,93.56200,1610,93.22691,93.11581,93.47815,58.88138,63.84725,,,,
2026-03-10T07:00:00+09:00,93.56200,93.66800,93.53300,93.61300,4590,93.22673,93.12021,93.49580,60.85691,63.71811,,,,
2026-03-10T08:00:00+09:00,93.61300,93.64300,93.53700,93.55700,3633,93.22627,93.12441,93.51225,57.58532,62.97036,,,,
2026-03-10T09:00:00+09:00,93.55700,93.60200,93.37700,93.39100,13065,93.22468,93.12651,93.52285,49.15040,61.70081,,,,
2026-03-10T10:00:00+09:00,93.39100,93.42100,93.27100,93.34000,13259,93.22253,93.12844,93.52500,46.87850,60.26899,,,,
2026-03-10T11:00:00+09:00,93.34000,93.38400,93.23500,93.28600,9993,93.21999,93.13111,93.52565,44.53137,58.82532,,,,
2026-03-10T12:00:00+09:00,93.28600,93.34700,93.26500,93.33600,9314,93.21761,93.13568,93.52560,47.16899,57.50645,,,,
2026-03-10T13:00:00+09:00,93.33600,93.34500,93.22500,93.24900,5868,93.21495,93.13636,93.51840,43.30989,55.87586,,,,
2026-03-10T14:00:00+09:00,93.24900,93.26700,93.18800,93.24500,7148,93.21245,93.13860,93.49995,43.13515,54.47479,,,,
2026-03-10T15:00:00+09:00,93.24500,93.39200,93.20700,93.39200,8451,93.21092,93.14176,93.49005,50.96491,53.33221,,,,
2026-03-10T16:00:00+09:00,93.39200,93.48000,93.35800,93.42100,12094,93.20989,93.14767,93.48160,52.35857,52.47302,,,,
2026-03-10T17:00:00+09:00,93.42100,93.51000,93.30200,93.42600,13187,93.20872,93.15184,93.47550,52.60866,51.58241,,,,
2026-03-10T18:00:00+09:00,93.42600,93.64200,93.41400,93.61000,10020,93.20866,93.15813,93.47705,60.77013,51.71388,,,,
2026-03-10T19:00:00+09:00,93.61000,93.66800,93.53900,93.66300,10989,93.20907,93.16676,93.48040,62.75955,52.21141,,,,
2026-03-10T20:00:00+09:00,93.66300,93.78600,93.64300,93.74900,11754,93.20995,93.17611,93.49095,65.79104,52.70496,,,,
2026-03-10T21:00:00+09:00,93.74900,93.80800,93.63100,93.70100,13097,93.20995,93.18415,93.49240,62.72209,52.83818,,,,
2026-03-10T22:00:00+09:00,93.70100,93.76400,93.62100,93.65500,16059,93.20997,93.19023,93.49375,59.84121,52.99932,,,,
2026-03-10T23:00:00+09:00,93.65500,93.90100,93.63000,93.88500,15752,93.21147,93.19849,93.50555,67.80394,54.33171,,,,
2026-03-11T00:00:00+09:00,93.88500,94.00100,93.84300,93.84500,11984,93.21372,93.20688,93.52060,65.37612,55.65297,,,,
2026-03-11T01:00:00+09:00,93.84500,93.84600,93.74900,93.79000,10890,93.21541,93.21543,93.53580,62.08433,56.90676,,,,
2026-03-11T02:00:00+09:00,93.79000,93.90400,93.78500,93.85600,13427,93.21790,93.22781,93.55050,64.40076,58.13760,,,,
2026-03-11T03:00:00+09:00,93.85600,93.90700,93.69200,93.74600,19652,93.21981,93.24028,93.55715,58.03667,59.18951,,,,
2026-03-11T04:00:00+09:00,93.74600,93.77100,93.65900,93.71700,9322,93.22102,93.25367,93.56515,56.45279,60.14077,,,,
2026-03-11T05:00:00+09:00,93.71700,93.74000,93.65200,93.69600,2472,93.22225,93.26589,93.58040,55.27637,60.44873,,,,
2026-03-11T06:00:00+09:00,93.69600,93.74100,93.65900,93.70500,749,93.22442,93.27861,93.59865,55.70243,60.68758,,,,
2026-03-11T07:00:00+09:00,93.70500,93.75400,93.64000,93.66800,1498,93.22633,93.28825,93.61775,53.44816,60.74754,,,,
2026-03-11T08:00:00+09:00,93.66800,93.69000,93.61700,93.65700,1419,93.22836,93.29919,93.63380,52.76448,60.17571,,,,
2026-03-11T09:00:00+09:00,93.65700,93.80700,93.64900,93.76900,9470,93.23120,93.31144,93.65980,58.57470,59.87679,,,,
2026-03-11T10:00:00+09:00,93.76900,93.96000,93.76700,93.93900,9336,93.23382,93.32533,93.69450,65.50956,59.85669,,,,
2026-03-11T11:00:00+09:00,93.93900,94.02300,93.84000,93.95000,7140,93.23642,93.33783,93.72240,65.90726,60.08420,,,,
2026-03-11T12:00:00+09:00,93.95000,94.03200,93.90200,94.01000,5516,93.23918,93.35048,93.75185,68.07001,60.67197,,,,
2026-03-11T13:00:00+09:00,94.01000,94.09700,93.99700,94.01300,4638,93.24260,93.36321,93.78120,68.17870,60.69874,,,,
2026-03-11T14:00:00+09:00,94.01300,94.05300,93.95100,94.01500,5810,93.24627,93.37555,93.80145,68.25629,60.90446,,,,
2026-03-11T15:00:00+09:00,94.01500,94.01700,93.82100,93.91700,7373,93.24990,93.38663,93.81415,60.47570,60.78956,,,,
2026-03-11T16:00:00+09:00,93.91700,93.93600,93.80400,93.88200,9937,93.25348,93.39637,93.82080,57.93565,60.32777,,,,
2026-03-11T17:00:00+09:00,93.88200,93.98700,93.80900,93.88900,11290,93.25672,93.40565,93.83020,58.31277,60.34749,,,,
