time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.59466,0.59621,0.59463,0.59494,569,0.59799,0.59847,0.59880,29.23170,51.83404,,,,
2026-03-02T08:00:00+09:00,0.59494,0.59765,0.59494,0.59567,13145,0.59796,0.59846,0.59864,34.60053,50.58257,,,,
2026-03-02T09:00:00+09:00,0.59567,0.59732,0.59490,0.59719,11128,0.59793,0.59847,0.59854,44.10859,50.18362,,,,
2026-03-02T10:00:00+09:00,0.59719,0.59910,0.59713,0.59878,15985,0.59791,0.59850,0.59853,51.97416,50.43333,,,,
2026-03-02T11:00:00+09:00,0.59878,0.59887,0.59784,0.59868,9133,0.59788,0.59853,0.59852,51.48343,50.76753,,,,
2026-03-02T12:00:00+09:00,0.59868,0.59946,0.59845,0.59845,7005,0.59785,0.59855,0.59850,50.30693,51.29923,,,,
2026-03-02T13:00:00+09:00,0.59845,0.59875,0.59734,0.59750,6510,0.59781,0.59856,0.59844,45.66509,51.02598,,,,
2026-03-02T14:00:00+09:00,0.59750,0.59750,0.59592,0.59595,6479,0.59777,0.59853,0.59830,39.29440,49.44295,,,,
2026-03-02T15:00:00+09:00,0.59595,0.59601,0.59476,0.59518,9766,0.59772,0.59850,0.59814,36.56533,47.80609,,,,
2026-03-02T16:00:00+09:00,0.59518,0.59528,0.59368,0.59435,11815,0.59767,0.59845,0.59794,33.83728,45.98771,,,,
2026-03-02T17:00:00+09:00,0.59435,0.59473,0.59280,0.59446,14366,0.59762,0.59840,0.59776,34.53438,44.21912,,,,
2026-03-02T18:00:00+09:00,0.59446,0.59610,0.59426,0.59533,10148,0.59759,0.59836,0.59764,39.92555,42.96990,,,,
2026-03-02T19:00:00+09:00,0.59533,0.59675,0.59532,0.59630,8334,0.59757,0.59833,0.59754,45.33118,41.98493,,,,
2026-03-02T20:00:00+09:00,0.59630,0.59646,0.59549,0.59588,7456,0.59755,0.59831,0.59733,43.50575,41.45459,,,,
2026-03-02T21:00:00+09:00,0.59588,0.59594,0.59355,0.59383,9193,0.59752,0.59826,0.59703,35.90563,41.93130,,,,
2026-03-02T22:00:00+09:00,0.59383,0.59488,0.59335,0.59345,12397,0.59749,0.59822,0.59671,34.69569,41.93810,,,,
2026-03-02T23:00:00+09:00,0.59345,0.59529,0.59304,0.59452,18571,0.59746,0.59820,0.59645,40.75012,41.69821,,,,
2026-03-03T00:00:00+09:00,0.59452,0.59485,0.59234,0.59270,20692,0.59742,0.59813,0.59610,34.83435,40.47394,,,,
2026-03-03T01:00:00+09:00,0.59270,0.59309,0.59160,0.59286,15526,0.59739,0.59808,0.59575,35.71785,39.34782,,,,
2026-03-03T02:00:00+09:00,0.59286,0.59411,0.59262,0.59403,9988,0.59735,0.59803,0.59550,41.91900,38.74868,,,,
2026-03-03T03:00:00+09:00,0.59403,0.59409,0.59332,0.59393,5617,0.59732,0.59797,0.59545,41.55006,38.45475,,,,
2026-03-03T04:00:00+09:00,0.59393,0.59569,0.59392,0.59543,5256,0.59729,0.59792,0.59544,48.82567,39.13556,,,,
2026-03-03T05:00:00+09:00,0.59543,0.59553,0.59308,0.59418,13112,0.59726,0.59785,0.59529,43.91946,39.66085,,,,
2026-03-03T06:00:00+09:00,0.59418,0.59477,0.59363,0.59363,2764,0.59724,0.59777,0.59503,41.92333,40.23843,,,,
2026-03-03T07:00:00+09:00,0.59363,0.59466,0.59285,0.59409,1457,0.59722,0.59769,0.59480,44.20730,40.92935,,,,
2026-03-03T08:00:00+09:00,0.59409,0.59493,0.59409,0.59461,2197,0.59719,0.59762,0.59461,46.75640,41.41727,,,,
2026-03-03T09:00:00+09:00,0.59461,0.59476,0.59403,0.59449,5637,0.59717,0.59755,0.59446,46.23146,41.48158,,,,
2026-03-03T10:00:00+09:00,0.59449,0.59556,0.59432,0.59451,12469,0.59715,0.59748,0.59439,46.33959,41.68399,,,,
2026-03-03T11:00:00+09:00,0.59451,0.59500,0.59350,0.59465,11343,0.59714,0.59741,0.59436,47.14095,42.48652,,,,
2026-03-03T12:00:00+09:00,0.59465,0.59497,0.59402,0.59447,7011,0.59713,0.59734,0.59437,46.18593,43.30725,,,,
2026-03-03T13:00:00+09:00,0.59447,0.59479,0.59360,0.59371,6239,0.59712,0.59724,0.59433,42.29026,43.41726,,,,
2026-03-03T14:00:00+09:00,0.59371,0.59413,0.59249,0.59272,10020,0.59710,0.59714,0.59420,37.81569,43.63021,,,,
2026-03-03T15:00:00+09:00,0.59272,0.59320,0.59222,0.59310,10313,0.59708,0.59704,0.59404,40.42145,43.96618,,,,
2026-03-03T16:00:00+09:00,0.59310,0.59310,0.59100,0.59108,14316,0.59705,0.59692,0.59380,32.60093,43.30061,,,,
2026-03-03T17:00:00+09:00,0.59108,0.59141,0.58949,0.58964,16417,0.59702,0.59677,0.59359,28.38488,42.36024,,,,
2026-03-03T18:00:00+09:00,0.58964,0.59058,0.58858,0.58889,17130,0.59698,0.59662,0.59336,26.46517,40.76306,,,,
2026-03-03T19:00:00+09:00,0.58889,0.58925,0.58630,0.58730,15978,0.59693,0.59645,0.59300,22.92533,39.26348,,,,
2026-03-03T20:00:00+09:00,0.58730,0.58925,0.58634,0.58905,19946,0.59689,0.59632,0.59282,33.47250,38.65985,,,,
2026-03-03T21:00:00+09:00,0.58905,0.59033,0.58844,0.58999,19157,0.59685,0.59621,0.59267,38.35244,38.24164,,,,
2026-03-03T22:00:00+09:00,0.58999,0.59009,0.58832,0.58879,18449,0.59681,0.59608,0.59241,34.83911,37.39041,,,,
2026-03-03T23:00:00+09:00,0.58879,0.58938,0.58592,0.58615,31030,0.59675,0.59591,0.59202,28.62618,36.13289,,,,
2026-03-04T00:00:00+09:00,0.58615,0.58651,0.58360,0.58630,50820,0.59669,0.59575,0.59157,29.39660,34.92267,,,,
2026-03-04T01:00:00+09:00,0.58630,0.58870,0.58610,0.58830,44683,0.59664,0.59561,0.59127,38.87113,34.33197,,,,
2026-03-04T02:00:00+09:00,0.58830,0.58845,0.58710,0.58771,24341,0.59659,0.59547,0.59098,37.28173,33.69596,,,,
2026-03-04T03:00:00+09:00,0.58771,0.58995,0.58768,0.58957,15062,0.59655,0.59536,0.59075,44.92698,33.88429,,,,
2026-03-04T04:00:00+09:00,0.58957,0.59067,0.58855,0.58951,18409,0.59652,0.59526,0.59050,44.73753,34.37871,,,,
2026-03-04T05:00:00+09:00,0.58951,0.59004,0.58887,0.58920,9712,0.59648,0.59517,0.59023,43.71193,34.61375,,,,
