time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.36480,1.36524,1.36306,1.36398,3225,1.36797,1.36757,1.36559,35.50079,35.49998,,,,
2026-03-02T08:00:00+09:00,1.36398,1.36730,1.36398,1.36689,9980,1.36796,1.36753,1.36558,56.86652,36.47676,,,,
2026-03-02T09:00:00+09:00,1.36689,1.36736,1.36528,1.36532,13008,1.36796,1.36747,1.36551,47.68816,36.45952,,,,
2026-03-02T10:00:00+09:00,1.36532,1.36552,1.36420,1.36461,19017,1.36796,1.36741,1.36542,44.21279,36.26252,,,,
2026-03-02T11:00:00+09:00,1.36461,1.36559,1.36448,1.36473,9962,1.36797,1.36733,1.36532,44.94311,36.10144,,,,
2026-03-02T12:00:00+09:00,1.36473,1.36485,1.36404,1.36452,7496,1.36797,1.36726,1.36519,43.86099,35.72055,,,,
2026-03-02T13:00:00+09:00,1.36452,1.36521,1.36447,1.36492,7961,1.36798,1.36720,1.36508,46.50319,36.32765,,,,
2026-03-02T14:00:00+09:00,1.36492,1.36590,1.36492,1.36587,6757,1.36799,1.36716,1.36502,52.25112,38.22814,,,,
2026-03-02T15:00:00+09:00,1.36587,1.36632,1.36530,1.36601,13571,1.36800,1.36713,1.36496,53.05168,40.29076,,,,
2026-03-02T16:00:00+09:00,1.36601,1.36672,1.36568,1.36575,15572,1.36801,1.36709,1.36488,51.33047,42.31719,,,,
2026-03-02T17:00:00+09:00,1.36575,1.36867,1.36550,1.36674,16115,1.36802,1.36708,1.36485,57.04518,44.76405,,,,
2026-03-02T18:00:00+09:00,1.36674,1.36693,1.36418,1.36525,12510,1.36803,1.36705,1.36475,47.92444,46.33017,,,,
2026-03-02T19:00:00+09:00,1.36525,1.36534,1.36407,1.36508,9466,1.36803,1.36700,1.36469,47.00109,47.23193,,,,
2026-03-02T20:00:00+09:00,1.36508,1.36609,1.36500,1.36578,8261,1.36803,1.36696,1.36479,51.17272,48.52516,,,,
2026-03-02T21:00:00+09:00,1.36578,1.36677,1.36502,1.36655,12270,1.36804,1.36692,1.36495,55.33721,49.94205,,,,
2026-03-02T22:00:00+09:00,1.36655,1.36852,1.36607,1.36838,17523,1.36805,1.36691,1.36522,63.33994,50.40443,,,,
2026-03-02T23:00:00+09:00,1.36838,1.36884,1.36651,1.36747,24184,1.36807,1.36687,1.36544,57.79429,51.12630,,,,
2026-03-03T00:00:00+09:00,1.36747,1.37041,1.36720,1.37007,23710,1.36808,1.36688,1.36578,66.75134,52.73620,,,,
2026-03-03T01:00:00+09:00,1.37007,1.37188,1.37006,1.37073,17825,1.36810,1.36689,1.36612,68.57453,54.42416,,,,
2026-03-03T02:00:00+09:00,1.37073,1.37155,1.36979,1.37022,12058,1.36813,1.36690,1.36644,65.58191,55.97565,,,,
2026-03-03T03:00:00+09:00,1.37022,1.37116,1.36933,1.36970,8853,1.36815,1.36692,1.36673,62.58300,57.12421,,,,
2026-03-03T04:00:00+09:00,1.36970,1.36976,1.36602,1.36620,9754,1.36816,1.36689,1.36669,47.00336,56.74937,,,,
2026-03-03T05:00:00+09:00,1.36620,1.36892,1.36611,1.36737,19839,1.36817,1.36687,1.36680,51.36226,56.62870,,,,
2026-03-03T06:00:00+09:00,1.36737,1.36811,1.36659,1.36728,4540,1.36817,1.36686,1.36693,51.01467,56.60614,,,,
2026-03-03T07:00:00+09:00,1.36728,1.36742,1.36708,1.36739,2662,1.36818,1.36686,1.36706,51.44716,56.20628,,,,
2026-03-03T08:00:00+09:00,1.36739,1.36772,1.36699,1.36721,2044,1.36818,1.36685,1.36720,50.65898,56.40160,,,,
2026-03-03T09:00:00+09:00,1.36721,1.36763,1.36686,1.36696,7343,1.36818,1.36684,1.36730,49.52414,56.58182,,,,
2026-03-03T10:00:00+09:00,1.36696,1.36717,1.36610,1.36691,12706,1.36817,1.36683,1.36735,49.28634,56.44708,,,,
2026-03-03T11:00:00+09:00,1.36691,1.36769,1.36604,1.36640,12971,1.36816,1.36682,1.36737,46.81695,55.83849,,,,
2026-03-03T12:00:00+09:00,1.36640,1.36705,1.36623,1.36676,8552,1.36814,1.36681,1.36742,48.76823,54.79765,,,,
2026-03-03T13:00:00+09:00,1.36676,1.36735,1.36642,1.36719,8888,1.36813,1.36683,1.36744,51.07714,54.31786,,,,
2026-03-03T14:00:00+09:00,1.36719,1.36800,1.36638,1.36760,11037,1.36812,1.36683,1.36756,53.24103,53.35283,,,,
2026-03-03T15:00:00+09:00,1.36760,1.36833,1.36708,1.36721,11727,1.36811,1.36683,1.36767,50.93327,52.09274,,,,
2026-03-03T16:00:00+09:00,1.36721,1.36811,1.36670,1.36789,14831,1.36810,1.36684,1.36777,54.62625,51.31020,,,,
2026-03-03T17:00:00+09:00,1.36789,1.36996,1.36772,1.36951,18490,1.36810,1.36688,1.36792,61.96983,51.26640,,,,
2026-03-03T18:00:00+09:00,1.36951,1.37106,1.36869,1.37000,19324,1.36811,1.36693,1.36800,63.87435,52.47147,,,,
2026-03-03T19:00:00+09:00,1.37000,1.37116,1.36930,1.37109,16735,1.36812,1.36700,1.36818,67.74408,53.64160,,,,
2026-03-03T20:00:00+09:00,1.37109,1.37218,1.37029,1.37029,18484,1.36812,1.36703,1.36820,62.45612,54.45885,,,,
2026-03-03T21:00:00+09:00,1.37029,1.37049,1.36824,1.36860,19307,1.36811,1.36705,1.36809,53.03760,54.57245,,,,
2026-03-03T22:00:00+09:00,1.36860,1.37097,1.36831,1.37080,20361,1.36811,1.36708,1.36812,61.23332,55.32776,,,,
2026-03-03T23:00:00+09:00,1.37080,1.37358,1.36965,1.37330,33862,1.36814,1.36715,1.36830,68.05565,56.65144,,,,
2026-03-04T00:00:00+09:00,1.37330,1.37529,1.36965,1.37036,49317,1.36815,1.36718,1.36851,55.65206,57.10613,,,,
2026-03-04T01:00:00+09:00,1.37036,1.37057,1.36587,1.36641,43300,1.36814,1.36715,1.36846,44.03882,56.90770,,,,
2026-03-04T02:00:00+09:00,1.36641,1.36793,1.36640,1.36764,29475,1.36814,1.36713,1.36848,47.69878,56.83131,,,,
2026-03-04T03:00:00+09:00,1.36764,1.36767,1.36532,1.36687,18694,1.36814,1.36711,1.36845,45.68446,56.44612,,,,
2026-03-04T04:00:00+09:00,1.36687,1.36751,1.36570,1.36703,24779,1.36813,1.36709,1.36844,46.19294,55.94268,,,,
2026-03-04T05:00:00+09:00,1.36703,1.36716,1.36594,1.36699,14058,1.36811,1.36705,1.36844,46.07681,55.59579,,,,
2026-03-04T06:00:00+09:00,1.36699,1.36857,1.36672,1.36789,6206,1.36811,1.36704,1.36849,49.17311,55.20628,,,,
