time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.76680,0.76802,0.76680,0.76720,888,0.77323,0.77261,0.77065,23.72188,29.28288,,,,
2026-03-02T08:00:00+09:00,0.76720,0.76970,0.76705,0.76955,8640,0.77321,0.77255,0.77047,43.82771,29.13254,,,,
2026-03-02T09:00:00+09:00,0.76955,0.76998,0.76839,0.76874,9499,0.77319,0.77248,0.77028,39.92171,28.82466,,,,
2026-03-02T10:00:00+09:00,0.76874,0.76946,0.76829,0.76841,9399,0.77318,0.77241,0.77005,38.41943,28.75875,,,,
2026-03-02T11:00:00+09:00,0.76841,0.76913,0.76807,0.76834,6300,0.77317,0.77234,0.76982,38.09199,28.98343,,,,
2026-03-02T12:00:00+09:00,0.76834,0.76841,0.76783,0.76821,4410,0.77316,0.77227,0.76959,37.45356,29.64323,,,,
2026-03-02T13:00:00+09:00,0.76821,0.76880,0.76818,0.76828,3849,0.77315,0.77220,0.76935,38.05559,30.85116,,,,
2026-03-02T14:00:00+09:00,0.76828,0.76919,0.76827,0.76883,5066,0.77315,0.77215,0.76915,42.72075,32.23544,,,,
2026-03-02T15:00:00+09:00,0.76883,0.77042,0.76875,0.77030,9604,0.77315,0.77211,0.76903,52.92524,34.42159,,,,
2026-03-02T16:00:00+09:00,0.77030,0.77346,0.77019,0.77268,13485,0.77316,0.77211,0.76905,64.08224,37.26401,,,,
2026-03-02T17:00:00+09:00,0.77268,0.77422,0.77209,0.77271,14354,0.77318,0.77212,0.76910,64.19743,40.32532,,,,
2026-03-02T18:00:00+09:00,0.77271,0.77279,0.77108,0.77213,9490,0.77319,0.77211,0.76918,60.17923,42.94954,,,,
2026-03-02T19:00:00+09:00,0.77213,0.77307,0.77109,0.77289,7941,0.77320,0.77211,0.76939,63.41096,45.33124,,,,
2026-03-02T20:00:00+09:00,0.77289,0.77511,0.77276,0.77498,8842,0.77322,0.77212,0.76969,70.50102,48.39348,,,,
2026-03-02T21:00:00+09:00,0.77498,0.77829,0.77498,0.77773,11067,0.77325,0.77217,0.77014,76.85593,52.18877,,,,
2026-03-02T22:00:00+09:00,0.77773,0.77952,0.77735,0.77826,14153,0.77329,0.77222,0.77062,77.84648,54.61868,,,,
2026-03-02T23:00:00+09:00,0.77826,0.77862,0.77733,0.77807,16216,0.77333,0.77226,0.77112,76.58110,57.23721,,,,
2026-03-03T00:00:00+09:00,0.77807,0.78085,0.77807,0.78020,16236,0.77337,0.77233,0.77172,80.42293,60.23746,,,,
2026-03-03T01:00:00+09:00,0.78020,0.78133,0.77942,0.77973,13115,0.77341,0.77239,0.77227,77.40544,63.04556,,,,
2026-03-03T02:00:00+09:00,0.77973,0.77990,0.77820,0.77833,8844,0.77344,0.77246,0.77278,69.08983,65.30530,,,,
2026-03-03T03:00:00+09:00,0.77833,0.77955,0.77830,0.77912,6942,0.77348,0.77253,0.77337,70.98410,67.65733,,,,
2026-03-03T04:00:00+09:00,0.77912,0.77917,0.77786,0.77806,7001,0.77351,0.77260,0.77380,65.20958,69.26368,,,,
2026-03-03T05:00:00+09:00,0.77806,0.78024,0.77798,0.77960,12000,0.77356,0.77270,0.77434,69.13768,70.42171,,,,
2026-03-03T06:00:00+09:00,0.77960,0.77960,0.77874,0.77874,3790,0.77359,0.77278,0.77486,64.74157,70.46881,,,,
2026-03-03T07:00:00+09:00,0.77874,0.77916,0.77774,0.77882,2355,0.77363,0.77286,0.77538,64.96474,70.52361,,,,
2026-03-03T08:00:00+09:00,0.77882,0.77937,0.77853,0.77876,2361,0.77367,0.77293,0.77591,64.63431,70.84183,,,,
2026-03-03T09:00:00+09:00,0.77876,0.77984,0.77872,0.77919,4982,0.77370,0.77303,0.77646,65.97018,71.02463,,,,
2026-03-03T10:00:00+09:00,0.77919,0.77944,0.77847,0.77913,7533,0.77373,0.77312,0.77697,65.59784,70.67441,,,,
2026-03-03T11:00:00+09:00,0.77913,0.78000,0.77913,0.77958,7673,0.77377,0.77322,0.77744,67.09775,69.97739,,,,
2026-03-03T12:00:00+09:00,0.77958,0.78048,0.77948,0.78018,4810,0.77381,0.77333,0.77781,69.03621,69.34809,,,,
2026-03-03T13:00:00+09:00,0.78018,0.78102,0.78003,0.78087,5056,0.77385,0.77346,0.77822,71.14183,68.95957,,,,
2026-03-03T14:00:00+09:00,0.78087,0.78134,0.78065,0.78134,7222,0.77389,0.77358,0.77868,72.51300,68.39458,,,,
