time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,155.94400,156.32000,155.94400,156.11600,1463,155.22697,156.07189,156.00050,53.20277,51.39891,,,,
2026-03-02T08:00:00+09:00,156.11600,156.65700,156.11500,156.63300,16352,155.24115,156.08193,156.04345,66.92347,52.43426,,,,
2026-03-02T09:00:00+09:00,156.63300,156.80800,156.32700,156.39900,26100,155.25531,156.08867,156.08390,58.55527,53.10252,,,,
2026-03-02T10:00:00+09:00,156.39900,156.60200,156.21200,156.21700,25558,155.26905,156.09427,156.10315,53.00388,53.53352,,,,
2026-03-02T11:00:00+09:00,156.21700,156.44200,156.16800,156.28300,16377,155.28370,156.09925,156.12325,54.68178,54.12246,,,,
2026-03-02T12:00:00+09:00,156.28300,156.33900,156.15600,156.31700,14236,155.29902,156.10792,156.13485,55.56197,54.10786,,,,
2026-03-02T13:00:00+09:00,156.31700,156.58900,156.28500,156.52400,11456,155.31520,156.11788,156.15410,60.58169,54.42837,,,,
2026-03-02T14:00:00+09:00,156.52400,156.85500,156.52300,156.83100,14160,155.33310,156.13615,156.19205,66.60645,55.47571,,,,
2026-03-02T15:00:00+09:00,156.83100,157.01600,156.81400,156.88600,20783,155.35129,156.15028,156.23750,67.56297,56.62864,,,,
2026-03-02T16:00:00+09:00,156.88600,157.03800,156.88400,156.97800,23823,155.37053,156.16687,156.29095,69.15456,57.89257,,,,
2026-03-02T17:00:00+09:00,156.97800,157.25000,156.90200,156.97500,22928,155.38928,156.18528,156.34505,69.03560,59.28336,,,,
2026-03-02T18:00:00+09:00,156.97500,157.02100,156.79600,157.00700,14747,155.40712,156.20251,156.38695,69.63558,60.69233,,,,
2026-03-02T19:00:00+09:00,157.00700,157.01600,156.79500,156.91900,11959,155.42414,156.21581,156.42390,65.85646,61.37891,,,,
2026-03-02T20:00:00+09:00,156.91900,157.00800,156.86300,156.96100,10448,155.44094,156.22455,156.46845,66.78301,62.65325,,,,
2026-03-02T21:00:00+09:00,156.96100,157.40300,156.95800,157.38100,15236,155.45987,156.23555,156.53470,74.29514,64.15985,,,,
2026-03-02T22:00:00+09:00,157.38100,157.60300,157.34800,157.52000,19607,155.48018,156.24556,156.60785,76.21249,64.82335,,,,
2026-03-02T23:00:00+09:00,157.52000,157.56800,157.41200,157.48000,22333,155.50048,156.25472,156.68130,74.49055,65.96158,,,,
2026-03-03T00:00:00+09:00,157.48000,157.75000,157.48000,157.73300,20087,155.52080,156.26872,156.76700,77.89283,67.73936,,,,
2026-03-03T01:00:00+09:00,157.73300,157.75000,157.37000,157.48700,19330,155.53964,156.27931,156.83255,68.34751,68.71549,,,,
2026-03-03T02:00:00+09:00,157.48700,157.49400,157.33600,157.36100,12774,155.55780,156.28932,156.90040,64.02008,69.31964,,,,
2026-03-03T03:00:00+09:00,157.36100,157.48900,157.33100,157.37500,8759,155.57563,156.30276,156.96335,64.29062,69.58456,,,,
2026-03-03T04:00:00+09:00,157.37500,157.37800,157.12100,157.15000,8697,155.59284,156.31403,156.98920,56.88732,68.89034,,,,
2026-03-03T05:00:00+09:00,157.15000,157.49200,157.11300,157.35200,18220,155.61118,156.32771,157.03685,61.20640,68.43630,,,,
2026-03-03T06:00:00+09:00,157.35200,157.40200,157.28400,157.34900,9456,155.62821,156.34040,157.09345,61.10849,67.86158,,,,
2026-03-03T07:00:00+09:00,157.34900,157.40800,157.25700,157.38400,1077,155.64326,156.35293,157.14850,61.87477,67.35009,,,,
2026-03-03T08:00:00+09:00,157.38400,157.41500,157.17600,157.26800,6587,155.65819,156.36392,157.19605,57.80933,66.50536,,,,
2026-03-03T09:00:00+09:00,157.26800,157.50900,157.19300,157.48100,16213,155.67333,156.37891,157.24390,62.66072,66.27709,,,,
2026-03-03T10:00:00+09:00,157.48100,157.59600,157.28100,157.28600,18359,155.68711,156.39212,157.26665,56.28035,65.52690,,,,
2026-03-03T11:00:00+09:00,157.28600,157.39000,157.17600,157.24800,15533,155.69973,156.40653,157.28475,55.10285,64.15602,,,,
2026-03-03T12:00:00+09:00,157.24800,157.38400,157.19700,157.28100,10406,155.71253,156.42377,157.29990,55.96448,62.70974,,,,
2026-03-03T13:00:00+09:00,157.28100,157.41700,157.19900,157.39600,10695,155.72543,156.44465,157.32095,58.92296,61.59776,,,,
2026-03-03T14:00:00+09:00,157.39600,157.43400,157.27000,157.39600,10730,155.73860,156.46409,157.34040,58.92296,60.24277,,,,
2026-03-03T15:00:00+09:00,157.39600,157.48700,157.20700,157.22000,14017,155.75108,156.48116,157.35545,52.64515,59.12118,,,,
2026-03-03T16:00:00+09:00,157.22000,157.45700,157.15200,157.41100,20022,155.76473,156.50127,157.37795,57.88873,58.68322,,,,
2026-03-03T17:00:00+09:00,157.41100,157.58000,157.29900,157.50900,22300,155.77862,156.52219,157.38435,60.31672,58.39937,,,,
