time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,109.67500,111.22500,109.67500,111.01300,103066,108.41118,109.47827,110.92335,59.22668,62.23985,,,,
2026-03-02T11:00:00+09:00,111.01300,111.19900,110.86800,110.99800,91070,108.43464,109.50343,110.97330,58.83324,61.23449,,,,
2026-03-02T15:00:00+09:00,110.99800,111.20500,110.66400,111.13500,114646,108.45796,109.52964,111.01695,61.35807,60.78501,,,,
2026-03-02T19:00:00+09:00,111.13500,111.36900,111.03100,111.16600,96211,108.48046,109.55601,111.04350,61.92709,60.28945,,,,
2026-03-02T23:00:00+09:00,111.16600,111.69600,111.08900,111.46100,139796,108.50623,109.58775,111.06975,66.91926,60.38628,,,,
2026-03-03T03:00:00+09:00,111.46100,111.68600,111.36800,111.59300,76191,108.53455,109.62329,111.09495,68.88523,60.71070,,,,
2026-03-03T07:00:00+09:00,111.59300,112.08800,111.56200,111.68500,61994,108.56473,109.65319,111.11495,70.21389,61.67175,,,,
2026-03-03T11:00:00+09:00,111.68500,111.89100,111.50000,111.56300,91828,108.59321,109.69651,111.12515,66.17819,62.10448,,,,
2026-03-03T15:00:00+09:00,111.56300,111.64800,110.99000,111.00500,125716,108.61929,109.73311,111.11920,51.57641,61.65491,,,,
2026-03-03T19:00:00+09:00,111.00500,111.07100,110.45000,110.64200,125386,108.64360,109.76013,111.08920,44.67122,60.47463,,,,
2026-03-03T23:00:00+09:00,110.64200,110.90600,109.52600,110.81500,220566,108.66742,109.79273,111.07520,48.22866,59.57506,,,,
2026-03-04T03:00:00+09:00,110.81500,111.19900,110.81500,110.91700,108119,108.69170,109.82424,111.06900,50.25933,59.10386,,,,
2026-03-04T07:00:00+09:00,110.91700,111.09100,110.19100,110.39700,82017,108.71231,109.85321,111.05480,41.35394,57.78083,,,,
2026-03-04T11:00:00+09:00,110.39700,110.62800,109.92100,110.30100,118674,108.73278,109.88215,111.02385,39.94669,56.39842,,,,
2026-03-04T15:00:00+09:00,110.30100,110.85400,110.21600,110.64200,122180,108.75488,109.91839,111.01550,46.86361,55.51535,,,,
2026-03-04T19:00:00+09:00,110.64200,111.04200,110.64200,110.96300,128858,108.77902,109.95252,111.01140,52.41934,55.05721,,,,
2026-03-04T23:00:00+09:00,110.96300,111.16800,110.70900,110.99400,157826,108.80390,109.98481,111.00970,52.93117,54.45529,,,,
2026-03-05T03:00:00+09:00,110.99400,111.21800,110.93600,111.07100,56202,108.83035,110.01536,111.02090,54.24767,53.90676,,,,
2026-03-05T07:00:00+09:00,111.07100,111.17700,110.68100,110.75000,57173,108.85584,110.04391,111.00635,48.19573,52.56936,,,,
2026-03-05T11:00:00+09:00,110.75000,111.03100,110.64300,110.65400,99548,108.88101,110.07208,110.98825,46.52409,50.97214,,,,
2026-03-05T15:00:00+09:00,110.65400,110.95400,110.22600,110.71300,141673,108.90768,110.10128,110.97325,47.72414,49.36573,,,,
2026-03-05T19:00:00+09:00,110.71300,111.05700,110.64300,110.89800,99676,108.93355,110.13863,110.96825,51.40649,48.31061,,,,
2026-03-05T23:00:00+09:00,110.89800,110.94800,110.06300,110.12900,169118,108.95541,110.16699,110.91795,39.08263,47.41819,,,,
2026-03-06T03:00:00+09:00,110.12900,110.49600,110.07600,110.34700,94631,108.97766,110.19640,110.87700,43.23703,47.31575,,,,
2026-03-06T07:00:00+09:00,110.34700,110.76500,110.29000,110.73200,49000,109.00063,110.23309,110.84055,49.75417,47.42472,,,,
2026-03-06T11:00:00+09:00,110.73200,111.01100,110.73200,110.94200,56302,109.02467,110.26648,110.80800,52.92878,47.61539,,,,
2026-03-06T15:00:00+09:00,110.94200,111.10900,110.47100,110.49100,78141,109.04711,110.29200,110.74830,46.18053,47.96015,,,,
2026-03-06T19:00:00+09:00,110.49100,110.73900,110.21700,110.24600,122093,109.06586,110.31433,110.68245,42.97507,48.17646,,,,
2026-03-06T23:00:00+09:00,110.24600,110.75000,110.12200,110.61800,197998,109.08834,110.34295,110.66310,48.78763,48.31389,,,,
2026-03-07T03:00:00+09:00,110.61800,110.97000,110.61000,110.85900,96964,109.11150,110.37032,110.67395,52.18780,48.29735,,,,
2026-03-09T06:00:00+09:00,110.34400,110.71100,110.23200,110.47300,77666,109.13161,110.39497,110.65685,46.82537,47.86122,,,,
2026-03-09T10:00:00+09:00,110.47300,111.18000,110.39900,110.97900,103986,109.15395,110.41920,110.65995,53.56161,47.81222,,,,
2026-03-09T14:00:00+09:00,110.97900,111.27800,110.75100,110.92700,141134,109.17606,110.44491,110.68645,52.82106,48.14260,,,,
2026-03-09T18:00:00+09:00,110.92700,111.30100,110.80800,111.17300,161669,109.19908,110.46720,110.73005,55.92566,48.81414,,,,
2026-03-09T22:00:00+09:00,111.17300,111.54900,111.13300,111.50000,200827,109.22353,110.49331,110.77295,59.72007,49.67099,,,,
2026-03-10T02:00:00+09:00,111.50000,111.75600,111.35700,111.49900,107342,109.24650,110.52272,110.79975,59.70314,50.26361,,,,
2026-03-10T06:00:00+09:00,111.49900,111.70400,111.35700,111.41400,56242,109.26909,110.55152,110.82075,58.19324,51.62865,,,,
2026-03-10T10:00:00+09:00,111.41400,111.53100,111.29000,111.40400,90278,109.29112,110.57983,110.83740,58.00738,52.68368,,,,
2026-03-10T14:00:00+09:00,111.40400,112.03300,111.28600,111.89500,107933,109.31248,110.61343,110.89465,64.07466,53.70657,,,,
2026-03-10T18:00:00+09:00,111.89500,112.41300,111.88400,112.28000,129846,109.33390,110.65601,110.97595,67.98119,54.78174,,,,
2026-03-10T22:00:00+09:00,112.28000,112.74900,112.22400,112.65900,156775,109.35753,110.69977,111.07325,71.29078,56.57533,,,,
2026-03-11T02:00:00+09:00,112.65900,112.84600,112.45100,112.47300,122611,109.37918,110.73704,111.15200,67.59794,58.33411,,,,
2026-03-11T06:00:00+09:00,112.47300,112.86000,112.43800,112.79100,42135,109.40175,110.77963,111.28510,70.41916,59.87922,,,,
2026-03-11T10:00:00+09:00,112.79100,113.62800,112.79100,113.54600,56501,109.42781,110.83123,111.44505,75.80542,61.56619,,,,
2026-03-11T14:00:00+09:00,113.54600,113.57800,113.22200,113.43500,88117,109.45211,110.87985,111.58020,73.68122,63.48447,,,,
2026-03-11T18:00:00+09:00,113.43500,113.59100,113.21800,113.34700,96071,109.47569,110.93532,111.70045,71.95964,64.79861,,,,
2026-03-11T22:00:00+09:00,113.34700,113.95800,113.31800,113.61300,146280,109.50344,110.99368,111.85655,73.94163,66.30722,,,,
2026-03-12T02:00:00+09:00,113.61300,113.76300,113.42700,113.62100,59198,109.52953,111.04643,112.02530,74.00115,67.59833,,,,
2026-03-12T06:00:00+09:00,113.62100,113.68500,113.36100,113.59500,46973,109.55952,111.10384,112.17415,73.41425,68.57649,,,,
2026-03-12T10:00:00+09:00,113.59500,113.73900,113.34300,113.35300,65222,109.58926,111.16215,112.29885,68.00779,69.16968,,,,
2026-03-12T14:00:00+09:00,113.35300,113.44000,113.11800,113.35800,77085,109.62178,111.21911,112.44310,68.06013,69.87445,,,,
2026-03-12T18:00:00+09:00,113.35800,113.37000,113.16700,113.30800,73705,109.65556,111.27151,112.55955,66.88183,70.50834,,,,
2026-03-12T22:00:00+09:00,113.30800,113.34500,112.61900,112.84500,168212,109.68795,111.31440,112.65545,57.03497,70.00551,,,,
2026-03-13T02:00:00+09:00,112.84500,112.95200,112.69800,112.69800,69345,109.71861,111.34925,112.73170,54.30145,69.02838,,,,
2026-03-13T06:00:00+09:00,112.69800,112.78500,112.49300,112.70700,38225,109.74828,111.38833,112.79205,54.44540,67.82514,,,,
2026-03-13T10:00:00+09:00,112.70700,112.89200,112.54600,112.65400,70474,109.77845,111.42321,112.84980,53.37903,66.80950,,,,
2026-03-13T14:00:00+09:00,112.65400,112.66200,111.82500,112.12500,87237,109.80523,111.45156,112.88535,44.09561,64.92925,,,,
2026-03-13T18:00:00+09:00,112.12500,112.44700,112.08400,112.43100,92644,109.83336,111.48048,112.93670,49.56024,63.05460,,,,
2026-03-13T22:00:00+09:00,112.43100,112.44400,111.70100,111.82100,142076,109.85999,111.49629,112.93300,40.96397,60.71765,,,,
2026-03-14T02:00:00+09:00,111.82100,111.95000,111.44400,111.47700,67450,109.88524,111.50351,112.89285,37.06009,58.22483,,,,
2026-03-16T06:00:00+09:00,111.56700,111.90900,111.45500,111.75700,41489,109.91100,111.51241,112.84775,41.91254,55.93703,,,,
2026-03-16T10:00:00+09:00,111.75700,111.90400,111.57300,111.75700,61274,109.93624,111.51871,112.81195,41.91254,53.64499,,,,
2026-03-16T14:00:00+09:00,111.75700,111.90300,111.62400,111.89300,70050,109.96132,111.52583,112.76705,44.33025,51.56756,,,,
2026-03-16T18:00:00+09:00,111.89300,112.30800,111.81600,112.19500,68410,109.98787,111.54011,112.69950,49.36972,50.23627,,,,
2026-03-16T22:00:00+09:00,112.19500,112.44400,112.19000,112.34000,99660,110.01491,111.55475,112.64475,51.63361,49.06295,,,,
2026-03-17T02:00:00+09:00,112.34000,112.58000,112.33900,112.41300,62349,110.04230,111.57232,112.59805,52.77840,48.05556,,,,
2026-03-17T06:00:00+09:00,112.41300,112.51300,112.32500,112.50800,25406,110.06747,111.59188,112.54280,54.29453,47.85981,,,,
2026-03-17T10:00:00+09:00,112.50800,112.99300,112.28600,112.62200,62521,110.09069,111.61776,112.49285,56.11537,47.98938,,,,
2026-03-17T14:00:00+09:00,112.62200,112.91800,112.38600,112.69200,80245,110.11560,111.64139,112.44770,57.24179,48.18912,,,,
2026-03-17T18:00:00+09:00,112.69200,112.87800,112.61800,112.87300,70891,110.13769,111.66891,112.42370,60.09407,48.66877,,,,
2026-03-17T22:00:00+09:00,112.87300,113.08200,112.71300,112.88600,109671,110.16124,111.69345,112.40010,60.29892,49.82615,,,,
2026-03-18T02:00:00+09:00,112.88600,113.07900,112.88200,112.92000,37548,110.18417,111.71868,112.38070,60.86473,50.63361,,,,
2026-03-18T06:00:00+09:00,112.92000,113.12100,112.79900,113.03900,33046,110.21280,111.74791,112.39040,62.85986,52.19760,,,,
2026-03-18T10:00:00+09:00,113.03900,113.21300,112.80900,112.98100,44123,110.23822,111.77377,112.40455,61.22164,53.92343,,,,
2026-03-18T14:00:00+09:00,112.98100,113.01100,112.86000,112.97900,56288,110.26455,111.79995,112.41815,61.16244,55.29842,,,,
2026-03-18T18:00:00+09:00,112.97900,113.06400,112.52200,112.52900,74079,110.28854,111.82016,112.41190,49.55320,55.84418,,,,
2026-03-18T22:00:00+09:00,112.52900,112.96900,112.41900,112.90500,125815,110.31497,111.84559,112.45090,56.91241,56.74291,,,,
2026-03-19T02:00:00+09:00,112.90500,112.93800,112.20400,112.26400,88880,110.33670,111.86064,112.44255,44.88977,56.42291,,,,
2026-03-19T06:00:00+09:00,112.26400,112.55200,112.18400,112.55200,35804,110.36107,111.87912,112.47910,50.00044,56.30626,,,,
2026-03-19T10:00:00+09:00,112.55200,112.60700,112.30300,112.36000,58826,110.38413,111.89111,112.52325,46.87926,55.88489,,,,
2026-03-19T14:00:00+09:00,112.36000,112.46300,111.77800,112.01100,105636,110.40434,111.89668,112.53595,41.77459,54.99061,,,,
2026-03-19T18:00:00+09:00,112.01100,112.38300,111.48200,111.53100,132384,110.42568,111.89463,112.52465,35.97281,53.55185,,,,
2026-03-19T22:00:00+09:00,111.53100,111.74500,111.15900,111.37100,197740,110.44360,111.89207,112.49855,34.26453,51.91062,,,,
2026-03-20T02:00:00+09:00,111.37100,111.98000,111.25100,111.70700,102777,110.46292,111.90143,112.47415,40.63959,50.52101,,,,
2026-03-20T06:00:00+09:00,111.70700,111.94200,111.62500,111.80400,34177,110.48135,111.91692,112.44735,42.37698,49.24088,,,,
2026-03-20T10:00:00+09:00,111.80400,112.28300,111.79600,112.25200,66182,110.50229,111.93608,112.43930,49.69955,48.44336,,,,
2026-03-20T14:00:00+09:00,112.25200,112.38600,112.09600,112.30700,70508,110.52145,111.95461,112.42925,50.53068,47.56271,,,,
2026-03-20T18:00:00+09:00,112.30700,112.36300,112.03500,112.27000,100158,110.53833,111.97959,112.41165,49.93295,46.75637,,,,
2026-03-20T22:00:00+09:00,112.27000,112.28000,111.82300,112.10300,125651,110.55286,112.00361,112.38220,47.21799,45.76034,,,,
2026-03-21T02:00:00+09:00,112.10300,112.16200,111.61200,111.74800,84072,110.56538,112.01836,112.32595,41.99124,45.22020,,,,
2026-03-23T06:00:00+09:00,111.44300,111.74400,111.35700,111.56400,50881,110.57736,112.02637,112.25985,39.54770,43.97986,,,,
2026-03-23T10:00:00+09:00,111.56400,111.75100,111.19500,111.24500,92770,110.58685,112.02972,112.17610,35.67204,43.32145,,,,
2026-03-23T14:00:00+09:00,111.24500,111.29900,110.82700,111.07800,105528,110.59360,112.02981,112.07805,33.80433,42.16459,,,,
2026-03-23T18:00:00+09:00,111.07800,111.53800,110.27700,111.43600,176948,110.60147,112.03896,112.00080,40.94279,41.74055,,,,
2026-03-23T22:00:00+09:00,111.43600,111.77600,110.88100,111.13800,224340,110.60730,112.04541,111.90875,37.33373,41.42335,,,,
2026-03-24T02:00:00+09:00,111.13800,111.33200,110.90200,110.99800,91234,110.61206,112.04921,111.83220,35.73981,41.40671,,,,
2026-03-24T06:00:00+09:00,110.99800,111.20700,110.49400,110.79800,54641,110.61935,112.04788,111.72685,33.53701,41.35474,,,,
2026-03-24T10:00:00+09:00,110.79800,110.84300,110.47200,110.58700,108087,110.62357,112.05399,111.64300,31.34224,40.69065,,,,
2026-03-24T14:00:00+09:00,110.58700,111.11600,110.36500,110.47000,121065,110.62715,112.05563,111.53890,30.16346,39.81825,,,,
2026-03-24T18:00:00+09:00,110.47000,110.74900,110.34800,110.47700,111809,110.63234,112.05223,111.44475,30.33228,38.43487,,,,
2026-03-24T22:00:00+09:00,110.47700,110.81400,110.36900,110.68900,160028,110.63776,112.04885,111.37865,35.42378,37.35581,,,,
2026-03-25T02:00:00+09:00,110.68900,111.16700,110.43300,110.96000,121463,110.64689,112.05511,111.35010,41.32676,36.74108,,,,
2026-03-25T06:00:00+09:00,110.96000,111.15300,110.81500,110.97300,46686,110.65525,112.06480,111.33020,41.60254,36.33998,,,,
2026-03-25T10:00:00+09:00,110.97300,111.05700,110.68200,110.80600,70591,110.66573,112.06731,111.28515,39.06256,36.13079,,,,
2026-03-25T14:00:00+09:00,110.80600,110.97000,110.76800,110.82900,81233,110.67670,112.06691,111.23640,39.60942,36.13520,,,,
2026-03-25T18:00:00+09:00,110.82900,110.90700,110.53900,110.66500,92001,110.68487,112.06947,111.15705,37.05584,36.23404,,,,
2026-03-25T22:00:00+09:00,110.66500,110.90100,110.51800,110.82600,141146,110.69126,112.06743,111.08300,41.07224,36.75317,,,,
2026-03-26T02:00:00+09:00,110.82600,110.94500,110.73200,110.73200,53315,110.69613,112.06483,111.00610,39.48796,36.64926,,,,
2026-03-26T06:00:00+09:00,110.73200,110.82100,110.59700,110.64100,26871,110.69802,112.05773,110.93300,37.96136,36.69409,,,,
2026-03-26T10:00:00+09:00,110.64100,110.91600,110.56800,110.87000,61935,110.70088,112.04933,110.88910,43.84477,37.27301,,,,
2026-03-26T14:00:00+09:00,110.87000,110.89800,110.55800,110.70800,76712,110.70479,112.03879,110.84630,40.89048,37.79826,,,,
2026-03-26T18:00:00+09:00,110.70800,110.72500,110.19600,110.21400,74179,110.70546,112.02279,110.79475,33.48180,37.95109,,,,
2026-03-26T22:00:00+09:00,110.21400,110.52700,110.12700,110.15000,126063,110.70536,112.00607,110.74835,32.65629,38.12915,,,,
2026-03-27T02:00:00+09:00,110.15000,110.30800,109.89200,109.99000,70916,110.70517,111.98067,110.67605,30.62349,38.14995,,,,
2026-03-27T06:00:00+09:00,109.99000,110.08800,109.62500,109.69500,33450,110.70092,111.94620,110.60390,27.25483,37.56645,,,,
2026-03-27T10:00:00+09:00,109.69500,110.32200,109.62300,110.29900,57750,110.69959,111.91473,110.56895,41.45496,37.57561,,,,
2026-03-27T14:00:00+09:00,110.29900,110.32100,110.05300,110.22500,70681,110.69885,111.88476,110.54030,40.41408,37.49072,,,,
2026-03-27T18:00:00+09:00,110.22500,110.28200,109.99600,110.10100,78020,110.70017,111.84889,110.51600,38.66227,37.46213,,,,
2026-03-27T22:00:00+09:00,110.10100,110.40400,109.98100,110.24100,127791,110.70213,111.80483,110.50455,41.73317,37.61382,,,,
