time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.70318,0.71092,0.70315,0.71065,59972,0.69679,0.70822,0.71056,52.60198,56.32197,,,,
2026-03-02T11:00:00+09:00,0.71065,0.71167,0.70769,0.70775,41858,0.69699,0.70814,0.71066,45.05792,55.07983,,,,
2026-03-02T15:00:00+09:00,0.70775,0.70916,0.70448,0.70784,67591,0.69719,0.70808,0.71066,45.32002,53.73261,,,,
2026-03-02T19:00:00+09:00,0.70784,0.70974,0.70551,0.70574,53133,0.69737,0.70796,0.71039,40.46893,52.00504,,,,
2026-03-02T23:00:00+09:00,0.70574,0.70874,0.70517,0.70832,86084,0.69756,0.70791,0.71038,47.85401,51.18943,,,,
2026-03-03T03:00:00+09:00,0.70832,0.71059,0.70718,0.70917,45380,0.69777,0.70787,0.71039,50.05242,50.71363,,,,
2026-03-03T07:00:00+09:00,0.70917,0.71226,0.70876,0.71005,31035,0.69798,0.70781,0.71030,52.29477,51.07785,,,,
2026-03-03T11:00:00+09:00,0.71005,0.71143,0.70849,0.70880,51381,0.69818,0.70781,0.71013,48.93420,50.72588,,,,
2026-03-03T15:00:00+09:00,0.70880,0.70971,0.70390,0.70401,73501,0.69836,0.70775,0.70967,38.67720,49.63960,,,,
2026-03-03T19:00:00+09:00,0.70401,0.70462,0.70008,0.70115,89483,0.69853,0.70765,0.70906,34.08346,47.87508,,,,
2026-03-03T23:00:00+09:00,0.70115,0.70290,0.69441,0.70210,199314,0.69869,0.70758,0.70857,36.76991,46.55046,,,,
2026-03-04T03:00:00+09:00,0.70210,0.70576,0.70206,0.70346,78938,0.69887,0.70753,0.70819,40.50793,45.80592,,,,
2026-03-04T07:00:00+09:00,0.70346,0.70455,0.69863,0.70055,54586,0.69902,0.70745,0.70783,35.65133,44.41387,,,,
2026-03-04T11:00:00+09:00,0.70055,0.70220,0.69846,0.70004,67706,0.69917,0.70735,0.70732,34.86244,43.08118,,,,
2026-03-04T15:00:00+09:00,0.70004,0.70447,0.69919,0.70386,75579,0.69934,0.70731,0.70699,44.72796,42.51875,,,,
2026-03-04T19:00:00+09:00,0.70386,0.70727,0.70376,0.70545,87951,0.69952,0.70727,0.70663,48.24184,42.74617,,,,
2026-03-04T23:00:00+09:00,0.70545,0.70771,0.70330,0.70708,93491,0.69971,0.70724,0.70642,51.63633,43.19734,,,,
2026-03-05T03:00:00+09:00,0.70708,0.70833,0.70610,0.70734,30311,0.69990,0.70723,0.70629,52.17512,44.03349,,,,
2026-03-05T07:00:00+09:00,0.70734,0.70891,0.70629,0.70649,29984,0.70009,0.70721,0.70604,50.20594,44.20149,,,,
2026-03-05T11:00:00+09:00,0.70649,0.70744,0.70390,0.70395,46263,0.70027,0.70716,0.70569,44.76849,43.82407,,,,
2026-03-05T15:00:00+09:00,0.70395,0.70707,0.70112,0.70446,89846,0.70045,0.70713,0.70538,46.03234,43.37675,,,,
2026-03-05T19:00:00+09:00,0.70446,0.70582,0.70239,0.70294,60996,0.70062,0.70709,0.70514,42.88279,42.94451,,,,
2026-03-05T23:00:00+09:00,0.70294,0.70447,0.69780,0.69840,117002,0.70076,0.70698,0.70467,35.14749,42.69238,,,,
2026-03-06T03:00:00+09:00,0.69840,0.70147,0.69738,0.70059,72103,0.70091,0.70690,0.70441,40.70389,43.16527,,,,
2026-03-06T07:00:00+09:00,0.70059,0.70341,0.70015,0.70315,24982,0.70107,0.70688,0.70415,46.47673,43.85861,,,,
2026-03-06T11:00:00+09:00,0.70315,0.70408,0.70272,0.70287,29265,0.70122,0.70683,0.70384,45.94980,44.24732,,,,
2026-03-06T15:00:00+09:00,0.70287,0.70473,0.69972,0.69993,47625,0.70137,0.70671,0.70333,40.72842,44.60997,,,,
2026-03-06T19:00:00+09:00,0.69993,0.70235,0.69814,0.69836,88658,0.70149,0.70659,0.70281,38.23012,44.85052,,,,
2026-03-06T23:00:00+09:00,0.69836,0.70294,0.69767,0.70099,164912,0.70163,0.70651,0.70266,44.38449,44.82598,,,,
2026-03-07T03:00:00+09:00,0.70099,0.70308,0.70093,0.70259,61557,0.70178,0.70644,0.70273,47.79241,44.79388,,,,
2026-03-09T06:00:00+09:00,0.69813,0.69964,0.69563,0.69634,51332,0.70189,0.70632,0.70244,37.99763,43.81969,,,,
2026-03-09T10:00:00+09:00,0.69634,0.69997,0.69562,0.69922,76095,0.70202,0.70622,0.70223,43.72133,43.21585,,,,
2026-03-09T14:00:00+09:00,0.69922,0.70219,0.69817,0.69927,95545,0.70215,0.70616,0.70217,43.81829,42.75959,,,,
2026-03-09T18:00:00+09:00,0.69927,0.70334,0.69881,0.70107,94711,0.70228,0.70608,0.70222,47.33618,42.94299,,,,
2026-03-09T22:00:00+09:00,0.70107,0.70573,0.70107,0.70507,126394,0.70243,0.70608,0.70228,54.19943,43.52635,,,,
2026-03-10T02:00:00+09:00,0.70507,0.70786,0.70336,0.70747,76990,0.70259,0.70610,0.70238,57.75665,44.58877,,,,
2026-03-10T06:00:00+09:00,0.70747,0.70822,0.70613,0.70697,41537,0.70274,0.70612,0.70237,56.76745,46.13306,,,,
2026-03-10T10:00:00+09:00,0.70697,0.70762,0.70532,0.70610,53351,0.70289,0.70614,0.70231,55.00225,47.15437,,,,
2026-03-10T14:00:00+09:00,0.70610,0.71195,0.70592,0.70957,54276,0.70304,0.70619,0.70247,60.30420,48.14204,,,,
