time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,203.12000,203.65100,203.12000,203.28500,42638,199.98189,200.20937,202.03560,73.60470,65.59515,,,,
2026-03-02T11:00:00+09:00,203.28500,203.97900,203.22900,203.97500,37562,200.00857,200.28303,202.16930,78.13543,65.84963,,,,
2026-03-02T15:00:00+09:00,203.97500,204.01000,202.95500,203.33200,59610,200.03144,200.34792,202.26705,66.65359,65.66211,,,,
2026-03-02T19:00:00+09:00,203.33200,203.39100,201.94400,202.38600,55769,200.04933,200.40096,202.31205,54.06577,64.68855,,,,
2026-03-02T23:00:00+09:00,202.38600,202.57800,201.67700,202.16900,75251,200.07043,200.45033,202.30870,51.65587,64.08254,,,,
2026-03-03T03:00:00+09:00,202.16900,202.17500,201.73400,201.76800,48582,200.08949,200.48597,202.28795,47.44709,63.10468,,,,
2026-03-03T07:00:00+09:00,201.76800,202.19300,201.75500,201.86300,28833,200.10896,200.51924,202.26305,48.51728,62.14313,,,,
2026-03-03T11:00:00+09:00,201.86300,201.94400,201.38500,201.42400,36486,200.12624,200.55752,202.22055,44.05286,61.16424,,,,
2026-03-03T15:00:00+09:00,201.42400,201.51300,200.52500,200.60700,59364,200.13941,200.58693,202.14815,37.19358,59.75724,,,,
2026-03-03T19:00:00+09:00,200.60700,201.09700,200.41300,200.93200,69015,200.15517,200.61032,202.09535,41.12103,58.56957,,,,
2026-03-03T23:00:00+09:00,200.93200,201.71600,200.59500,201.59300,89324,200.17378,200.64433,202.09270,48.21391,57.52856,,,,
2026-03-04T03:00:00+09:00,201.59300,201.87600,201.52000,201.60100,58116,200.19214,200.67329,202.08680,48.29509,55.85868,,,,
2026-03-04T07:00:00+09:00,201.60100,201.84800,201.27600,201.47000,32910,200.21258,200.70329,202.07135,46.99588,53.90662,,,,
2026-03-04T11:00:00+09:00,201.47000,201.71200,201.27400,201.52200,36128,200.23346,200.73695,202.06790,47.59849,52.39647,,,,
2026-03-04T15:00:00+09:00,201.52200,201.94700,200.60400,200.64200,50716,200.24958,200.76117,202.02240,39.42880,49.95533,,,,
2026-03-04T19:00:00+09:00,200.64200,201.60700,200.60700,201.47800,58711,200.27037,200.79227,202.01625,48.47629,47.83682,,,,
2026-03-04T23:00:00+09:00,201.47800,201.61500,201.10500,201.27900,72071,200.29085,200.81851,201.98465,46.68855,46.41075,,,,
2026-03-05T03:00:00+09:00,201.27900,201.66200,201.25000,201.51700,38437,200.31278,200.84475,201.92710,49.10596,46.05648,,,,
2026-03-05T07:00:00+09:00,201.51700,201.62700,200.97300,201.14200,28031,200.33390,200.87080,201.83560,45.59755,45.62374,,,,
2026-03-05T11:00:00+09:00,201.14200,201.45700,201.04400,201.12100,37004,200.35544,200.89392,201.75530,45.40193,45.47766,,,,
2026-03-05T15:00:00+09:00,201.12100,201.74200,201.02900,201.74200,62337,200.37774,200.92519,201.67815,51.96485,45.72391,,,,
2026-03-05T19:00:00+09:00,201.74200,202.04200,201.48500,201.87800,56886,200.39894,200.96415,201.57330,53.28910,46.38364,,,,
