time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.87661,0.87791,0.87617,0.87669,37595,0.86959,0.87258,0.87360,61.16128,56.63612,,,,
2026-03-02T11:00:00+09:00,0.87669,0.87734,0.87648,0.87709,21308,0.86964,0.87267,0.87385,62.45296,58.44561,,,,
2026-03-02T15:00:00+09:00,0.87709,0.87873,0.87623,0.87737,54932,0.86969,0.87276,0.87411,63.37128,60.03508,,,,
2026-03-02T19:00:00+09:00,0.87737,0.87755,0.87350,0.87415,47584,0.86973,0.87280,0.87418,48.63860,60.41738,,,,
2026-03-02T23:00:00+09:00,0.87415,0.87447,0.87228,0.87264,65044,0.86976,0.87282,0.87421,43.52809,60.13701,,,,
2026-03-03T03:00:00+09:00,0.87264,0.87278,0.87141,0.87141,34714,0.86979,0.87283,0.87420,39.85463,59.51551,,,,
2026-03-03T07:00:00+09:00,0.87141,0.87235,0.87043,0.87227,18299,0.86981,0.87285,0.87427,43.44823,57.81654,,,,
2026-03-03T11:00:00+09:00,0.87227,0.87306,0.87222,0.87299,24178,0.86985,0.87287,0.87437,46.33895,56.64462,,,,
2026-03-03T15:00:00+09:00,0.87299,0.87392,0.87259,0.87265,52372,0.86988,0.87290,0.87443,45.16488,55.42611,,,,
2026-03-03T19:00:00+09:00,0.87265,0.87331,0.87110,0.87137,60274,0.86991,0.87290,0.87442,40.95766,53.72667,,,,
2026-03-03T23:00:00+09:00,0.87137,0.87161,0.86973,0.86994,99852,0.86993,0.87287,0.87432,36.82997,52.08406,,,,
2026-03-04T03:00:00+09:00,0.86994,0.87024,0.86900,0.86900,49436,0.86993,0.87285,0.87416,34.37740,49.59860,,,,
2026-03-04T07:00:00+09:00,0.86900,0.87028,0.86847,0.87002,25747,0.86995,0.87284,0.87389,39.11529,47.27590,,,,
2026-03-04T11:00:00+09:00,0.87002,0.87080,0.86970,0.87062,24796,0.86996,0.87285,0.87367,41.77818,46.21553,,,,
2026-03-04T15:00:00+09:00,0.87062,0.87124,0.86862,0.86883,44578,0.86997,0.87286,0.87338,36.63089,44.46336,,,,
2026-03-04T19:00:00+09:00,0.86883,0.87120,0.86854,0.87038,49779,0.86999,0.87286,0.87313,43.16125,43.08538,,,,
2026-03-04T23:00:00+09:00,0.87038,0.87121,0.86942,0.87065,64884,0.87001,0.87288,0.87292,44.23922,41.71880,,,,
2026-03-05T03:00:00+09:00,0.87065,0.87102,0.86951,0.86951,26945,0.87002,0.87288,0.87254,40.72709,41.15370,,,,
2026-03-05T07:00:00+09:00,0.86951,0.87042,0.86893,0.86990,19579,0.87004,0.87288,0.87214,42.41148,41.07394,,,,
2026-03-05T11:00:00+09:00,0.86990,0.87082,0.86976,0.87080,24142,0.87006,0.87290,0.87191,46.21030,41.52791,,,,
2026-03-05T15:00:00+09:00,0.87080,0.87116,0.86959,0.87027,55003,0.87007,0.87291,0.87159,44.35476,41.59267,,,,
2026-03-05T19:00:00+09:00,0.87027,0.87067,0.86858,0.86899,43662,0.87007,0.87290,0.87119,40.16055,41.15135,,,,
2026-03-05T23:00:00+09:00,0.86899,0.86983,0.86866,0.86930,77052,0.87009,0.87289,0.87078,41.60085,40.89678,,,,
2026-03-06T03:00:00+09:00,0.86930,0.86934,0.86841,0.86870,50086,0.87009,0.87285,0.87051,39.61346,40.80076,,,,
2026-03-06T07:00:00+09:00,0.86870,0.86982,0.86810,0.86902,19664,0.87010,0.87278,0.87033,41.22614,41.11478,,,,
2026-03-06T11:00:00+09:00,0.86902,0.86922,0.86885,0.86897,19328,0.87011,0.87272,0.87021,41.04171,41.59080,,,,
2026-03-06T15:00:00+09:00,0.86897,0.86902,0.86791,0.86866,37063,0.87012,0.87265,0.87003,39.85133,41.64337,,,,
2026-03-06T19:00:00+09:00,0.86866,0.86887,0.86482,0.86624,66168,0.87011,0.87255,0.86969,32.03906,40.94772,,,,
2026-03-06T23:00:00+09:00,0.86624,0.86775,0.86574,0.86618,85091,0.87009,0.87245,0.86937,31.87223,40.60782,,,,
2026-03-07T03:00:00+09:00,0.86618,0.86718,0.86554,0.86581,51224,0.87006,0.87237,0.86909,30.80693,39.72537,,,,
2026-03-09T06:00:00+09:00,0.86507,0.86633,0.86432,0.86596,30640,0.87003,0.87229,0.86889,31.80212,38.83700,,,,
2026-03-09T10:00:00+09:00,0.86596,0.86677,0.86594,0.86672,31395,0.87001,0.87220,0.86878,36.76470,38.55397,,,,
2026-03-09T14:00:00+09:00,0.86672,0.86769,0.86535,0.86600,59364,0.86998,0.87211,0.86858,34.22391,37.96915,,,,
