time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,183.56500,184.44800,183.48700,184.21300,98380,183.66819,182.67621,184.16720,58.02314,61.70975,,,,
2026-03-02T11:00:00+09:00,184.21300,184.68900,184.13100,184.53200,79107,183.66471,182.71469,184.22240,63.21915,61.01490,,,,
2026-03-02T15:00:00+09:00,184.53200,184.55500,183.74700,184.21600,139465,183.65860,182.74551,184.25935,55.84480,60.29670,,,,
2026-03-02T19:00:00+09:00,184.21600,184.46900,184.04800,184.27100,115565,183.65248,182.78116,184.29220,56.78957,59.63383,,,,
2026-03-02T23:00:00+09:00,184.27100,184.61300,183.88000,184.22300,139571,183.64867,182.81552,184.27625,55.67006,59.21258,,,,
2026-03-03T03:00:00+09:00,184.22300,184.22700,183.83600,183.83600,65615,183.64403,182.84312,184.24390,47.53395,57.97455,,,,
2026-03-03T07:00:00+09:00,183.83600,184.33400,183.80100,183.97900,57955,183.64207,182.86751,184.21375,50.41753,57.26182,,,,
2026-03-03T11:00:00+09:00,183.97900,184.05600,183.59500,183.63000,80866,183.63795,182.89775,184.16455,44.05380,56.09759,,,,
2026-03-03T15:00:00+09:00,183.63000,183.70000,182.87400,182.97100,137435,183.63130,182.92024,184.09795,35.05598,54.68302,,,,
2026-03-03T19:00:00+09:00,182.97100,183.17500,182.79500,182.90000,145167,183.62412,182.93387,184.02705,34.24445,53.08304,,,,
2026-03-03T23:00:00+09:00,182.90000,183.06800,182.03000,182.93300,215082,183.61725,182.94905,183.96800,34.99765,51.44952,,,,
2026-03-04T03:00:00+09:00,182.93300,183.19700,182.93300,183.16400,107632,183.61176,182.96376,183.90745,40.16442,50.09519,,,,
2026-03-04T07:00:00+09:00,183.16400,183.22900,182.55600,182.70700,70305,183.60525,182.97645,183.83450,34.34772,48.05726,,,,
2026-03-04T11:00:00+09:00,182.70700,182.83600,182.37300,182.70400,83027,183.59826,182.99319,183.76150,34.31259,46.04820,,,,
2026-03-04T15:00:00+09:00,182.70400,182.97800,182.45900,182.47900,108106,183.59022,183.01069,183.69035,31.69436,44.16757,,,,
2026-03-04T19:00:00+09:00,182.47900,183.12600,182.47400,182.95400,128825,183.58588,183.02928,183.63745,41.79226,42.63708,,,,
2026-03-04T23:00:00+09:00,182.95400,183.06900,182.47600,182.61300,135420,183.58075,183.04064,183.56375,37.50563,41.32714,,,,
2026-03-05T03:00:00+09:00,182.61300,182.88200,182.58400,182.69700,48209,183.57627,183.04732,183.49045,39.16106,40.06796,,,,
2026-03-05T07:00:00+09:00,182.69700,182.76600,182.16500,182.28600,54129,183.57085,183.05421,183.38465,34.36452,38.54614,,,,
2026-03-05T11:00:00+09:00,182.28600,182.49500,182.22100,182.25800,72244,183.56555,183.05992,183.27830,34.05846,37.58360,,,,
2026-03-05T15:00:00+09:00,182.25800,182.71900,182.10100,182.65600,149775,183.56250,183.07120,183.20045,41.96986,36.98020,,,,
2026-03-05T19:00:00+09:00,182.65600,183.09100,182.55000,182.96100,105666,183.55929,183.09216,183.12190,47.19798,37.20478,,,,
2026-03-05T23:00:00+09:00,182.96100,183.02200,182.36100,182.72500,152177,183.55506,183.11359,183.04735,43.90208,37.83664,,,,
2026-03-06T03:00:00+09:00,182.72500,182.88900,182.56100,182.86700,99546,183.55095,183.13673,182.97715,46.33058,38.69994,,,,
2026-03-06T07:00:00+09:00,182.86700,182.97300,182.72100,182.91300,59396,183.54533,183.15952,182.91165,47.12906,39.56647,,,,
2026-03-06T11:00:00+09:00,182.91300,183.24600,182.90900,183.19800,46257,183.54093,183.17953,182.87975,51.90349,40.40497,,,,
2026-03-06T15:00:00+09:00,183.19800,183.26400,182.69000,182.70300,86248,183.53490,183.19287,182.81595,44.40341,41.12324,,,,
2026-03-06T19:00:00+09:00,182.70300,182.84100,182.34400,182.42300,134431,183.52504,183.20160,182.75560,40.81102,41.58741,,,,
2026-03-06T23:00:00+09:00,182.42300,183.08200,182.37400,182.97900,198187,183.51516,183.21757,182.75600,49.54091,42.86217,,,,
2026-03-07T03:00:00+09:00,182.97900,183.37800,182.97900,183.26000,89335,183.50547,183.23500,182.77400,53.29054,43.68347,,,,
2026-03-09T06:00:00+09:00,182.47700,182.83200,182.39500,182.71700,92431,183.49254,183.24435,182.76320,46.15330,44.30116,,,,
2026-03-09T10:00:00+09:00,182.71700,183.09800,182.56400,182.93800,80115,183.48019,183.25103,182.75190,49.13897,45.01387,,,,
2026-03-09T14:00:00+09:00,182.93800,183.32200,182.65300,182.97300,164804,183.46871,183.25899,182.76520,49.61545,46.10322,,,,
2026-03-09T18:00:00+09:00,182.97300,183.27400,182.87200,183.20300,149035,183.45784,183.26484,182.79015,52.74815,47.43820,,,,
2026-03-09T22:00:00+09:00,183.20300,183.40100,183.04600,183.24200,174878,183.44946,183.26629,182.82830,53.27862,48.24597,,,,
2026-03-10T02:00:00+09:00,183.24200,183.47100,183.17200,183.42400,110805,183.43983,183.27627,182.85180,55.77385,48.85853,,,,
2026-03-10T06:00:00+09:00,183.42400,183.62300,183.16600,183.21800,71938,183.43056,183.28889,182.88205,52.36494,49.46302,,,,
2026-03-10T10:00:00+09:00,183.21800,183.36700,183.05100,183.20200,71845,183.42209,183.29959,182.90730,52.09859,49.87502,,,,
2026-03-10T14:00:00+09:00,183.20200,183.69400,183.11400,183.65000,95355,183.41489,183.31559,182.97550,58.46844,50.68498,,,,
2026-03-10T18:00:00+09:00,183.65000,183.76400,183.46500,183.60600,119884,183.40536,183.33116,183.04290,57.65749,51.09598,,,,
2026-03-10T22:00:00+09:00,183.60600,183.71900,183.50900,183.59700,122649,183.39558,183.34500,183.08995,57.48187,52.03015,,,,
2026-03-11T02:00:00+09:00,183.59700,183.66300,183.44200,183.49500,122073,183.38356,183.35361,183.11665,55.42150,53.07376,,,,
2026-03-11T06:00:00+09:00,183.49500,183.86200,183.40900,183.78600,38609,183.37270,183.36516,183.16970,59.84376,53.80968,,,,
2026-03-11T10:00:00+09:00,183.78600,184.07400,183.78600,183.93500,53727,183.36158,183.38307,183.22310,61.92643,54.42653,,,,
2026-03-11T14:00:00+09:00,183.93500,184.01900,183.72300,183.94800,85317,183.34936,183.40016,183.27485,62.11107,55.56637,,,,
2026-03-11T18:00:00+09:00,183.94800,183.97800,183.63000,183.70900,106189,183.33590,183.41792,183.30040,56.66993,56.10429,,,,
2026-03-11T22:00:00+09:00,183.70900,183.88900,183.58800,183.78600,135048,183.32770,183.43453,183.35455,57.94809,56.69948,,,,
2026-03-12T02:00:00+09:00,183.78600,183.97200,183.76800,183.84200,56041,183.31836,183.44995,183.42550,58.89769,57.13873,,,,
2026-03-12T06:00:00+09:00,183.84200,183.90500,183.54300,183.55500,45860,183.31412,183.46555,183.45430,52.37055,57.07387,,,,
2026-03-12T10:00:00+09:00,183.55500,183.58300,183.43200,183.51500,53161,183.31060,183.48361,183.46705,51.51369,56.76957,,,,
2026-03-12T14:00:00+09:00,183.51500,183.68500,183.34200,183.46700,70105,183.31238,183.50057,183.50455,50.44703,56.63258,,,,
2026-03-12T18:00:00+09:00,183.46700,183.59000,183.23800,183.35200,79805,183.31492,183.51085,183.52525,47.88859,56.33187,,,,
2026-03-12T22:00:00+09:00,183.35200,183.52900,183.21500,183.43900,146893,183.32058,183.51960,183.54855,49.95633,55.72386,,,,
2026-03-13T02:00:00+09:00,183.43900,183.61300,183.40000,183.42100,64007,183.32443,183.51568,183.55945,49.51854,55.14250,,,,
2026-03-13T06:00:00+09:00,183.42100,183.57400,183.27100,183.32800,47665,183.32656,183.51060,183.56375,47.21623,54.40924,,,,
2026-03-13T10:00:00+09:00,183.32800,183.65300,183.32000,183.48000,56045,183.32839,183.50947,183.56655,51.20905,54.10836,,,,
2026-03-13T14:00:00+09:00,183.48000,183.48300,182.29900,182.35600,94173,183.32347,183.49517,183.52345,31.95765,52.11649,,,,
2026-03-13T18:00:00+09:00,182.35600,182.91700,182.33000,182.87900,97186,183.32039,183.48720,183.50730,42.74363,50.74629,,,,
2026-03-13T22:00:00+09:00,182.87900,182.92300,182.47600,182.63300,132548,183.31968,183.47412,183.45645,39.56656,49.13597,,,,
2026-03-14T02:00:00+09:00,182.63300,182.69000,182.25300,182.32900,52458,183.31772,183.44461,183.39260,36.00499,47.65990,,,,
2026-03-16T06:00:00+09:00,182.31900,182.55400,182.20000,182.47400,50728,183.31503,183.41783,183.33645,38.83318,46.29455,,,,
2026-03-16T10:00:00+09:00,182.47400,182.73000,182.40800,182.56000,51425,183.31179,183.39087,183.28970,40.51238,44.98131,,,,
2026-03-16T14:00:00+09:00,182.56000,182.58500,181.86700,182.37000,77489,183.30625,183.36095,183.21890,38.02847,43.95688,,,,
2026-03-16T18:00:00+09:00,182.37000,182.77600,182.33700,182.58600,84509,183.30366,183.33805,183.15145,42.35551,43.30272,,,,
2026-03-16T22:00:00+09:00,182.58600,183.07200,182.56700,183.05200,100605,183.30367,183.32117,183.10665,50.40158,43.29948,,,,
2026-03-17T02:00:00+09:00,183.05200,183.17900,182.90600,182.97500,62498,183.30471,183.30599,183.06995,49.18005,43.39172,,,,
2026-03-17T06:00:00+09:00,182.97500,183.09200,182.92200,183.09100,30932,183.30352,183.28887,183.03520,51.10268,43.47361,,,,
2026-03-17T10:00:00+09:00,183.09100,183.23800,183.05400,183.07000,42788,183.30205,183.27425,182.99660,50.72852,43.56003,,,,
2026-03-17T14:00:00+09:00,183.07000,183.22700,182.81400,183.14300,66875,183.30118,183.26064,182.97600,52.04301,43.90480,,,,
2026-03-17T18:00:00+09:00,183.14300,183.32500,183.03700,183.27100,77630,183.30090,183.25223,182.96380,54.34308,44.12866,,,,
2026-03-17T22:00:00+09:00,183.27100,183.38300,183.13300,183.22800,111060,183.30056,183.24177,182.95185,53.41624,45.66142,,,,
2026-03-18T02:00:00+09:00,183.22800,183.54600,183.22400,183.46400,39259,183.30125,183.23347,182.95745,57.68215,46.72846,,,,
2026-03-18T06:00:00+09:00,183.46400,183.57300,183.28300,183.47100,42121,183.30458,183.22424,182.95905,57.80558,48.03124,,,,
2026-03-18T10:00:00+09:00,183.47100,183.52100,183.25400,183.32200,38892,183.30500,183.20984,182.95410,54.18301,49.32967,,,,
2026-03-18T14:00:00+09:00,183.32200,183.35900,182.98500,183.33500,60568,183.30555,183.19584,182.95445,54.45122,50.44525,,,,
2026-03-18T18:00:00+09:00,183.33500,183.64100,183.31600,183.50700,80287,183.30538,183.18643,182.95580,57.95787,51.69135,,,,
2026-03-18T22:00:00+09:00,183.50700,183.82300,183.38100,183.58400,114796,183.30473,183.17379,183.01720,59.46247,53.22235,,,,
2026-03-19T02:00:00+09:00,183.58400,183.61100,183.06400,183.06400,94986,183.30062,183.15843,183.02645,47.18213,53.56711,,,,
2026-03-19T06:00:00+09:00,183.06400,183.34600,182.92100,183.33600,40969,183.30050,183.14596,183.06160,52.68644,53.73032,,,,
2026-03-19T10:00:00+09:00,183.33600,183.42700,183.07600,183.11500,54722,183.29918,183.13119,183.10090,48.28363,53.66629,,,,
2026-03-19T14:00:00+09:00,183.11500,183.25800,182.05100,182.28700,114198,183.29044,183.11053,183.09155,36.10871,52.59529,,,,
2026-03-19T18:00:00+09:00,182.28700,182.78300,182.28200,182.54400,139755,183.28539,183.09140,183.09075,41.07522,51.90577,,,,
2026-03-19T22:00:00+09:00,182.54400,182.59100,182.05100,182.32700,198986,183.27906,183.07403,183.08860,38.36353,50.92866,,,,
2026-03-20T02:00:00+09:00,182.32700,182.98500,182.32700,182.73700,98144,183.27532,183.07091,183.09615,45.66260,50.30863,,,,
2026-03-20T06:00:00+09:00,182.73700,182.89800,182.59200,182.69800,34233,183.27134,183.06821,183.07845,45.11531,49.71571,,,,
2026-03-20T10:00:00+09:00,182.69800,183.09300,182.59200,183.02100,52986,183.26905,183.06939,183.08075,50.41589,49.19669,,,,
2026-03-20T14:00:00+09:00,183.02100,183.42300,183.01400,183.33600,70278,183.26738,183.07168,183.09300,54.98205,48.99501,,,,
2026-03-20T18:00:00+09:00,183.33600,183.60700,183.26300,183.52500,113904,183.26730,183.08259,183.11575,57.51035,49.23267,,,,
2026-03-20T22:00:00+09:00,183.52500,184.13200,183.43200,184.10200,123998,183.26879,183.10123,183.16370,64.13305,49.92423,,,,
2026-03-21T02:00:00+09:00,184.10200,184.24100,183.97000,184.21900,86806,183.27049,183.12443,183.21110,65.31365,50.44965,,,,
2026-03-23T06:00:00+09:00,183.75000,184.20300,183.57500,184.13100,58087,183.27113,183.14012,183.25625,63.61749,50.74643,,,,
2026-03-23T10:00:00+09:00,184.13100,184.33400,184.01400,184.11100,78945,183.27153,183.16009,183.28860,63.21567,51.89169,,,,
2026-03-23T14:00:00+09:00,184.11100,184.15000,183.74400,183.82500,114102,183.26744,183.17513,183.30630,57.61193,52.24351,,,,
2026-03-23T18:00:00+09:00,183.82500,184.21600,183.15800,184.06000,205980,183.26301,183.19879,183.34320,60.69503,53.13003,,,,
2026-03-23T22:00:00+09:00,184.06000,184.24100,183.64500,183.93600,212408,183.25744,183.22116,183.37325,58.28598,54.71413,,,,
2026-03-24T02:00:00+09:00,183.93600,184.02700,183.73100,183.97000,78470,183.25232,183.23868,183.39640,58.76921,55.97798,,,,
