time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.17708,1.17943,1.17560,1.17919,39462,1.18037,1.18179,1.17982,48.03491,51.72687,,,,
2026-03-02T11:00:00+09:00,1.17919,1.17958,1.17660,1.17662,22227,1.18044,1.18163,1.17979,42.10105,50.81017,,,,
2026-03-02T15:00:00+09:00,1.17662,1.17665,1.16980,1.17330,65775,1.18048,1.18145,1.17957,35.92674,49.14549,,,,
2026-03-02T19:00:00+09:00,1.17330,1.17472,1.16952,1.16985,49447,1.18051,1.18120,1.17906,30.86173,47.30603,,,,
2026-03-02T23:00:00+09:00,1.16985,1.17236,1.16717,1.17071,69209,1.18054,1.18099,1.17865,33.38296,46.13850,,,,
2026-03-03T03:00:00+09:00,1.17071,1.17133,1.16785,1.16873,35299,1.18056,1.18073,1.17822,30.61488,44.58428,,,,
2026-03-03T07:00:00+09:00,1.16873,1.17068,1.16806,1.16968,19187,1.18058,1.18048,1.17767,33.46552,43.81119,,,,
2026-03-03T11:00:00+09:00,1.16968,1.16989,1.16650,1.16666,29961,1.18059,1.18021,1.17695,29.33895,42.33408,,,,
2026-03-03T15:00:00+09:00,1.16666,1.16715,1.15987,1.16051,69393,1.18058,1.17986,1.17584,23.09384,40.53926,,,,
2026-03-03T19:00:00+09:00,1.16051,1.16153,1.15820,1.15904,72608,1.18055,1.17949,1.17469,21.89419,38.32335,,,,
2026-03-03T23:00:00+09:00,1.15904,1.16059,1.15302,1.15903,127516,1.18053,1.17913,1.17366,21.88586,36.35559,,,,
2026-03-04T03:00:00+09:00,1.15903,1.16256,1.15898,1.16129,55234,1.18054,1.17880,1.17269,28.50535,34.90926,,,,
2026-03-04T07:00:00+09:00,1.16129,1.16202,1.15746,1.15938,32008,1.18053,1.17843,1.17178,26.46426,32.87810,,,,
2026-03-04T11:00:00+09:00,1.15938,1.16103,1.15869,1.15952,34645,1.18052,1.17805,1.17077,26.87756,30.88913,,,,
2026-03-04T15:00:00+09:00,1.15952,1.16279,1.15896,1.16086,55296,1.18052,1.17771,1.16986,30.88182,29.66391,,,,
2026-03-04T19:00:00+09:00,1.16086,1.16545,1.16085,1.16310,71219,1.18054,1.17740,1.16897,37.08422,29.30556,,,,
2026-03-04T23:00:00+09:00,1.16310,1.16461,1.16164,1.16330,64635,1.18055,1.17709,1.16816,37.62245,29.42669,,,,
2026-03-05T03:00:00+09:00,1.16330,1.16436,1.16234,1.16332,23391,1.18056,1.17678,1.16737,37.67986,29.91370,,,,
2026-03-05T07:00:00+09:00,1.16332,1.16472,1.16244,1.16281,19445,1.18057,1.17648,1.16642,36.75094,30.15427,,,,
2026-03-05T11:00:00+09:00,1.16281,1.16318,1.15940,1.15945,27341,1.18057,1.17614,1.16532,31.27967,30.20175,,,,
2026-03-05T15:00:00+09:00,1.15945,1.16439,1.15815,1.16224,80779,1.18057,1.17584,1.16447,39.35342,30.62231,,,,
2026-03-05T19:00:00+09:00,1.16224,1.16315,1.15900,1.15974,47501,1.18056,1.17551,1.16363,35.34612,31.05140,,,,
2026-03-05T23:00:00+09:00,1.15974,1.16089,1.15590,1.15877,88924,1.18054,1.17517,1.16290,33.90356,31.82352,,,,
2026-03-06T03:00:00+09:00,1.15877,1.16103,1.15700,1.16083,55422,1.18053,1.17485,1.16245,39.54634,33.08439,,,,
2026-03-06T07:00:00+09:00,1.16083,1.16201,1.16031,1.16151,18080,1.18051,1.17458,1.16199,41.32699,34.47304,,,,
2026-03-06T11:00:00+09:00,1.16151,1.16210,1.16056,1.16063,18818,1.18049,1.17427,1.16158,39.69740,35.27247,,,,
2026-03-06T15:00:00+09:00,1.16063,1.16180,1.15717,1.15741,40358,1.18046,1.17389,1.16097,34.35868,35.83636,,,,
2026-03-06T19:00:00+09:00,1.15741,1.15925,1.15505,1.15549,73150,1.18040,1.17350,1.16041,31.62738,36.17563,,,,
2026-03-06T23:00:00+09:00,1.15549,1.16129,1.15458,1.15957,107865,1.18034,1.17317,1.16036,42.15114,36.98058,,,,
2026-03-07T03:00:00+09:00,1.15957,1.16213,1.15928,1.16157,45704,1.18028,1.17288,1.16049,46.49835,37.65302,,,,
2026-03-09T06:00:00+09:00,1.15449,1.15559,1.15160,1.15173,41746,1.18017,1.17247,1.16013,33.25665,37.34118,,,,
2026-03-09T10:00:00+09:00,1.15173,1.15293,1.15072,1.15257,48756,1.18007,1.17209,1.15969,34.95943,37.14686,,,,
2026-03-09T14:00:00+09:00,1.15257,1.15713,1.15151,1.15344,92304,1.17998,1.17176,1.15939,36.75902,37.14744,,,,
2026-03-09T18:00:00+09:00,1.15344,1.15730,1.15308,1.15533,78678,1.17989,1.17144,1.15918,40.60384,37.81345,,,,
2026-03-09T22:00:00+09:00,1.15533,1.15991,1.15477,1.15876,92742,1.17984,1.17117,1.15908,46.91185,38.35334,,,,
2026-03-10T02:00:00+09:00,1.15876,1.16373,1.15753,1.16345,68028,1.17978,1.17095,1.15910,54.09131,39.69228,,,,
2026-03-10T06:00:00+09:00,1.16345,1.16455,1.16116,1.16262,26033,1.17975,1.17076,1.15906,52.73218,41.03718,,,,
2026-03-10T10:00:00+09:00,1.16262,1.16293,1.16069,1.16117,34272,1.17971,1.17056,1.15895,50.35193,41.80901,,,,
2026-03-10T14:00:00+09:00,1.16117,1.16633,1.16115,1.16457,46411,1.17969,1.17039,1.15904,55.43196,42.81651,,,,
2026-03-10T18:00:00+09:00,1.16457,1.16588,1.16203,1.16344,60139,1.17966,1.17022,1.15924,53.47362,43.80052,,,,
2026-03-10T22:00:00+09:00,1.16344,1.16549,1.16270,1.16518,61502,1.17964,1.17008,1.15939,56.04850,45.34980,,,,
2026-03-11T02:00:00+09:00,1.16518,1.16672,1.16074,1.16107,68864,1.17959,1.16988,1.15946,49.13182,46.60011,,,,
2026-03-11T06:00:00+09:00,1.16107,1.16247,1.16027,1.16178,16591,1.17953,1.16967,1.15961,50.27345,47.18028,,,,
2026-03-11T10:00:00+09:00,1.16178,1.16351,1.16124,1.16336,21950,1.17946,1.16948,1.15973,52.81148,47.63122,,,,
2026-03-11T14:00:00+09:00,1.16336,1.16453,1.16035,1.16125,40514,1.17940,1.16926,1.15972,49.20001,48.77003,,,,
2026-03-11T18:00:00+09:00,1.16125,1.16138,1.15775,1.15825,62511,1.17931,1.16893,1.15960,44.53667,49.45412,,,,
2026-03-11T22:00:00+09:00,1.15825,1.16125,1.15631,1.15709,79635,1.17923,1.16860,1.15958,42.84561,49.88887,,,,
2026-03-12T02:00:00+09:00,1.15709,1.15763,1.15609,1.15668,29343,1.17915,1.16829,1.15964,42.23519,50.00540,,,,
2026-03-12T06:00:00+09:00,1.15668,1.15742,1.15340,1.15457,18108,1.17902,1.16796,1.15939,39.14438,49.45058,,,,
2026-03-12T10:00:00+09:00,1.15457,1.15555,1.15319,1.15331,19344,1.17888,1.16760,1.15898,37.38496,48.25727,,,,
2026-03-12T14:00:00+09:00,1.15331,1.15558,1.15326,1.15473,29955,1.17872,1.16729,1.15913,40.62397,47.39240,,,,
2026-03-12T18:00:00+09:00,1.15473,1.15662,1.15326,1.15392,35935,1.17856,1.16696,1.15920,39.37282,46.60817,,,,
2026-03-12T22:00:00+09:00,1.15392,1.15503,1.15109,1.15219,82802,1.17839,1.16662,1.15914,36.76818,45.27505,,,,
2026-03-13T02:00:00+09:00,1.15219,1.15318,1.15095,1.15112,33034,1.17821,1.16625,1.15893,35.21644,43.97096,,,,
2026-03-13T06:00:00+09:00,1.15112,1.15283,1.15097,1.15233,13113,1.17804,1.16592,1.15860,38.38332,42.70916,,,,
2026-03-13T10:00:00+09:00,1.15233,1.15296,1.15000,1.15032,18252,1.17785,1.16554,1.15795,35.29662,41.72094,,,,
2026-03-13T14:00:00+09:00,1.15032,1.15063,1.14330,1.14451,38416,1.17763,1.16511,1.15704,28.22979,40.14639,,,,
2026-03-13T18:00:00+09:00,1.14451,1.14884,1.14451,1.14779,55133,1.17743,1.16471,1.15637,36.01790,38.94685,,,,
2026-03-13T22:00:00+09:00,1.14779,1.14901,1.14344,1.14420,71454,1.17721,1.16423,1.15535,31.93341,37.71352,,,,
2026-03-14T02:00:00+09:00,1.14420,1.14461,1.14110,1.14141,30446,1.17695,1.16373,1.15425,29.16531,36.61556,,,,
2026-03-16T06:00:00+09:00,1.14275,1.14554,1.14188,1.14547,22488,1.17669,1.16330,1.15327,37.63699,36.24352,,,,
2026-03-16T10:00:00+09:00,1.14547,1.14564,1.14397,1.14414,21099,1.17639,1.16282,1.15242,36.11328,35.80624,,,,
2026-03-16T14:00:00+09:00,1.14414,1.14453,1.14142,1.14448,31424,1.17612,1.16233,1.15156,36.81748,35.64003,,,,
2026-03-16T18:00:00+09:00,1.14448,1.14878,1.14410,1.14737,40215,1.17586,1.16186,1.15076,42.60826,36.01313,,,,
2026-03-16T22:00:00+09:00,1.14737,1.15021,1.14737,1.14935,47644,1.17561,1.16142,1.15016,46.24343,36.41452,,,,
2026-03-17T02:00:00+09:00,1.14935,1.15249,1.14906,1.15046,32919,1.17538,1.16103,1.14977,48.22336,37.04670,,,,
2026-03-17T06:00:00+09:00,1.15046,1.15072,1.14891,1.14925,10978,1.17516,1.16061,1.14938,46.22470,37.72216,,,,
2026-03-17T10:00:00+09:00,1.14925,1.15029,1.14865,1.14971,16426,1.17493,1.16024,1.14903,47.12195,38.57256,,,,
2026-03-17T14:00:00+09:00,1.14971,1.15179,1.14659,1.15104,30875,1.17471,1.15986,1.14885,49.73345,39.38328,,,,
2026-03-17T18:00:00+09:00,1.15104,1.15247,1.15039,1.15241,35418,1.17448,1.15950,1.14881,52.34431,40.60097,,,,
2026-03-17T22:00:00+09:00,1.15241,1.15435,1.15182,1.15280,53267,1.17426,1.15913,1.14871,53.09125,42.37679,,,,
