time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,209.24800,210.45700,209.19400,210.11600,87065,211.18267,209.31783,210.77760,47.63251,54.77640,,,,
2026-03-02T11:00:00+09:00,210.11600,210.52300,210.03900,210.39700,74431,211.16699,209.34008,210.78795,51.25681,53.23478,,,,
2026-03-02T15:00:00+09:00,210.39700,210.41900,209.34300,209.95200,127504,211.14741,209.35621,210.76870,45.84555,51.75781,,,,
2026-03-02T19:00:00+09:00,209.95200,211.05800,209.89200,210.79400,122039,211.13104,209.38703,210.78920,55.43290,51.02090,,,,
2026-03-02T23:00:00+09:00,210.79400,211.38000,210.50000,211.10000,140195,211.11832,209.42105,210.76320,58.32077,50.86769,,,,
2026-03-03T03:00:00+09:00,211.10000,211.10700,210.74700,210.84000,70072,211.10642,209.44944,210.72240,55.05634,50.30321,,,,
2026-03-03T07:00:00+09:00,210.84000,211.35800,210.73600,210.90400,59342,211.09779,209.47215,210.67210,55.71346,50.71853,,,,
2026-03-03T11:00:00+09:00,210.90400,210.94800,210.29700,210.33100,77302,211.08446,209.50095,210.59390,48.82975,50.60129,,,,
2026-03-03T15:00:00+09:00,210.33100,210.37800,209.44500,209.66000,119762,211.06901,209.52392,210.50160,42.24695,50.18059,,,,
2026-03-03T19:00:00+09:00,209.66000,210.11000,209.42000,209.88800,146125,211.05484,209.53985,210.42315,44.96205,49.94501,,,,
2026-03-03T23:00:00+09:00,209.88800,210.37300,209.21700,210.27900,206257,211.04207,209.56320,210.38135,49.35888,49.80535,,,,
2026-03-04T03:00:00+09:00,210.27900,210.73700,210.24200,210.60000,103488,211.03308,209.58308,210.34230,52.69972,50.32298,,,,
2026-03-04T07:00:00+09:00,210.60000,210.69000,209.78300,209.98500,72845,211.02201,209.60053,210.32375,46.38590,50.30288,,,,
2026-03-04T11:00:00+09:00,209.98500,210.17100,209.48400,209.84100,94777,211.01052,209.61775,210.29535,45.02566,49.91194,,,,
2026-03-04T15:00:00+09:00,209.84100,210.43700,209.72100,210.02900,114937,210.99969,209.63924,210.28680,47.20248,49.88123,,,,
2026-03-04T19:00:00+09:00,210.02900,210.56500,209.96600,210.18600,130596,210.99086,209.65819,210.28560,49.01802,49.72132,,,,
2026-03-04T23:00:00+09:00,210.18600,210.48000,209.48000,209.73500,154260,210.97986,209.66881,210.24960,44.30492,49.61127,,,,
2026-03-05T03:00:00+09:00,209.73500,210.15700,209.68200,209.97600,55385,210.97077,209.67471,210.25050,47.22506,49.02500,,,,
2026-03-05T07:00:00+09:00,209.97600,210.00400,209.35000,209.53700,56071,210.96063,209.68133,210.22485,42.82079,47.91786,,,,
2026-03-05T11:00:00+09:00,209.53700,209.76500,209.26700,209.28700,65742,210.94990,209.68340,210.17185,40.50414,46.87841,,,,
2026-03-05T15:00:00+09:00,209.28700,209.90900,209.16800,209.87500,160282,210.94344,209.69324,210.15980,47.67451,46.30420,,,,
2026-03-05T19:00:00+09:00,209.87500,210.56200,209.70700,210.53700,113180,210.93861,209.72009,210.16680,54.34568,46.69820,,,,
2026-03-05T23:00:00+09:00,210.53700,210.61300,209.78100,210.19100,142097,210.93098,209.74771,210.17875,50.70688,47.30248,,,,
2026-03-06T03:00:00+09:00,210.19100,210.47900,210.11300,210.34900,100111,210.92355,209.78169,210.15650,52.27824,47.82506,,,,
2026-03-06T07:00:00+09:00,210.34900,210.56700,210.04500,210.46700,61332,210.91462,209.82391,210.12485,53.47118,48.11880,,,,
2026-03-06T11:00:00+09:00,210.46700,210.89100,210.45800,210.81400,46695,210.90784,209.86281,210.12355,56.88445,48.41771,,,,
2026-03-06T15:00:00+09:00,210.81400,210.98800,210.25900,210.32200,93343,210.89934,209.89525,210.09445,51.15448,48.75832,,,,
2026-03-06T19:00:00+09:00,210.32200,210.88200,210.30300,210.56600,151352,210.88964,209.92899,210.10620,53.64813,49.37421,,,,
2026-03-06T23:00:00+09:00,210.56600,211.35100,210.27700,211.24000,205804,210.88316,209.97129,210.18520,59.75938,50.27114,,,,
2026-03-07T03:00:00+09:00,211.24000,211.53200,211.11600,211.44300,100972,210.87874,210.00820,210.26295,61.40968,51.15625,,,,
2026-03-09T06:00:00+09:00,210.81500,211.12300,210.60000,210.99700,87396,210.87098,210.03987,210.29885,55.97795,51.99004,,,,
