time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.34122,1.34540,1.34000,1.34504,59669,1.35721,1.35419,1.35032,41.47424,47.92687,,,,
2026-03-02T11:00:00+09:00,1.34504,1.34558,1.34144,1.34148,37407,1.35720,1.35386,1.34997,36.64995,46.23508,,,,
2026-03-02T15:00:00+09:00,1.34148,1.34156,1.33142,1.33726,94560,1.35718,1.35352,1.34931,31.91137,44.00457,,,,
2026-03-02T19:00:00+09:00,1.33726,1.34262,1.33724,1.33825,75174,1.35715,1.35318,1.34862,34.06513,42.19494,,,,
2026-03-02T23:00:00+09:00,1.33825,1.34254,1.33595,1.34153,109518,1.35713,1.35290,1.34811,40.75195,41.45955,,,,
2026-03-03T03:00:00+09:00,1.34153,1.34317,1.33863,1.34047,54543,1.35711,1.35258,1.34759,39.36262,40.48222,,,,
2026-03-03T07:00:00+09:00,1.34047,1.34250,1.33924,1.34092,27068,1.35710,1.35226,1.34686,40.29324,40.66445,,,,
2026-03-03T11:00:00+09:00,1.34092,1.34123,1.33612,1.33631,44953,1.35706,1.35192,1.34589,34.45874,39.99157,,,,
2026-03-03T15:00:00+09:00,1.33631,1.33662,1.32809,1.32977,93053,1.35699,1.35149,1.34451,28.21655,38.91948,,,,
2026-03-03T19:00:00+09:00,1.32977,1.33272,1.32625,1.33009,105181,1.35693,1.35107,1.34321,28.89527,37.70974,,,,
2026-03-03T23:00:00+09:00,1.33009,1.33370,1.32531,1.33230,192905,1.35687,1.35069,1.34219,33.56702,36.89644,,,,
2026-03-04T03:00:00+09:00,1.33230,1.33699,1.33226,1.33544,81516,1.35686,1.35034,1.34128,39.63556,36.96209,,,,
2026-03-04T07:00:00+09:00,1.33544,1.33634,1.33032,1.33256,44216,1.35683,1.34993,1.34065,36.35525,36.55861,,,,
2026-03-04T11:00:00+09:00,1.33256,1.33414,1.33111,1.33175,52373,1.35680,1.34948,1.33984,35.46621,35.79308,,,,
2026-03-04T15:00:00+09:00,1.33175,1.33760,1.33053,1.33607,81935,1.35679,1.34910,1.33926,43.41401,35.93163,,,,
2026-03-04T19:00:00+09:00,1.33607,1.34028,1.33484,1.33626,95847,1.35678,1.34872,1.33862,43.74218,36.43822,,,,
2026-03-04T23:00:00+09:00,1.33626,1.33845,1.33461,1.33610,104214,1.35677,1.34835,1.33800,43.51333,37.26693,,,,
2026-03-05T03:00:00+09:00,1.33610,1.33807,1.33468,1.33731,34622,1.35675,1.34799,1.33765,45.82186,38.10670,,,,
2026-03-05T07:00:00+09:00,1.33731,1.33868,1.33621,1.33668,31100,1.35674,1.34764,1.33718,44.79535,38.39551,,,,
2026-03-05T11:00:00+09:00,1.33668,1.33715,1.33135,1.33141,41261,1.35671,1.34722,1.33635,37.27321,38.24627,,,,
2026-03-05T15:00:00+09:00,1.33141,1.33760,1.33058,1.33548,104645,1.35669,1.34686,1.33587,44.96016,38.57962,,,,
2026-03-05T19:00:00+09:00,1.33548,1.33737,1.33323,1.33454,71891,1.35667,1.34650,1.33553,43.63030,39.23473,,,,
2026-03-05T23:00:00+09:00,1.33454,1.33598,1.32973,1.33296,108344,1.35663,1.34613,1.33531,41.41297,40.17733,,,,
2026-03-06T03:00:00+09:00,1.33296,1.33655,1.33179,1.33534,72525,1.35660,1.34581,1.33516,45.87511,41.39018,,,,
2026-03-06T07:00:00+09:00,1.33534,1.33714,1.33330,1.33650,30465,1.35657,1.34560,1.33491,47.95567,42.41794,,,,
2026-03-06T11:00:00+09:00,1.33650,1.33731,1.33554,1.33562,31531,1.35653,1.34534,1.33467,46.49550,42.90794,,,,
2026-03-06T15:00:00+09:00,1.33562,1.33793,1.33179,1.33236,59739,1.35648,1.34502,1.33424,41.45927,43.27251,,,,
2026-03-06T19:00:00+09:00,1.33236,1.33869,1.33113,1.33385,108902,1.35643,1.34473,1.33412,44.42238,43.91224,,,,
2026-03-06T23:00:00+09:00,1.33385,1.34095,1.33252,1.33868,157151,1.35639,1.34450,1.33457,52.76821,44.58039,,,,
2026-03-07T03:00:00+09:00,1.33868,1.34080,1.33780,1.34039,66326,1.35637,1.34427,1.33508,55.32596,45.40781,,,,
