time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,92.76500,93.73300,92.76500,93.54100,42000,92.74610,92.73308,93.42020,59.03059,60.01570,,,,
2026-03-02T11:00:00+09:00,93.54100,93.65800,93.43400,93.46300,33839,92.75703,92.74468,93.44460,56.42395,58.93035,,,,
2026-03-02T15:00:00+09:00,93.46300,93.48700,93.19400,93.46900,48810,92.76756,92.75573,93.46875,56.58277,58.14014,,,,
2026-03-02T19:00:00+09:00,93.46900,93.65400,93.40600,93.48000,39572,92.77748,92.76732,93.48785,56.89296,57.32623,,,,
2026-03-02T23:00:00+09:00,93.48000,93.74700,93.20100,93.47700,58296,92.78863,92.77895,93.48730,56.77383,57.06210,,,,
2026-03-03T03:00:00+09:00,93.47700,93.61400,93.38900,93.44500,23548,92.80050,92.78701,93.48340,55.44026,56.70915,,,,
2026-03-03T07:00:00+09:00,93.44500,93.76100,93.30400,93.51000,24394,92.81360,92.79261,93.47345,57.61795,57.01830,,,,
2026-03-03T11:00:00+09:00,93.51000,93.55200,93.25500,93.29000,33962,92.82503,92.80683,93.44890,48.90609,56.50149,,,,
2026-03-03T15:00:00+09:00,93.29000,93.32800,92.81300,92.85000,53463,92.83491,92.81636,93.40840,36.89181,55.29993,,,,
2026-03-03T19:00:00+09:00,92.85000,93.03300,92.54600,92.90800,63219,92.84522,92.82212,93.36875,39.01845,54.08568,,,,
2026-03-03T23:00:00+09:00,92.90800,93.04300,92.11700,92.75400,86131,92.85363,92.82725,93.33380,35.58917,52.46202,,,,
2026-03-04T03:00:00+09:00,92.75400,93.07300,92.74300,92.83300,32522,92.86276,92.82923,93.30295,38.57175,51.28195,,,,
2026-03-04T07:00:00+09:00,92.83300,92.91300,92.42700,92.61900,33548,92.87066,92.83180,93.27385,33.98140,49.35803,,,,
2026-03-04T11:00:00+09:00,92.61900,92.92200,92.56900,92.86400,43355,92.87985,92.83852,93.25060,42.42873,48.15355,,,,
2026-03-04T15:00:00+09:00,92.86400,93.03300,92.75200,92.89500,45860,92.88861,92.84811,93.23330,43.41531,47.03817,,,,
2026-03-04T19:00:00+09:00,92.89500,93.12400,92.84800,92.96900,55225,92.89776,92.85564,93.21475,45.80288,46.27953,,,,
2026-03-04T23:00:00+09:00,92.96900,93.22000,92.87600,93.08600,57963,92.90765,92.86396,93.19695,49.43568,45.76902,,,,
2026-03-05T03:00:00+09:00,93.08600,93.30600,93.03100,93.24200,17012,92.91905,92.87045,93.19225,53.87508,45.55346,,,,
2026-03-05T07:00:00+09:00,93.24200,93.32500,92.93100,92.99300,24240,92.92939,92.87569,93.16185,46.81055,44.84179,,,,
2026-03-05T11:00:00+09:00,92.99300,93.26900,92.96800,92.97800,32258,92.93983,92.88112,93.13330,46.41570,44.19718,,,,
2026-03-05T15:00:00+09:00,92.97800,93.30900,92.79900,93.04800,54403,92.95060,92.88695,93.10865,48.59487,43.55268,,,,
2026-03-05T19:00:00+09:00,93.04800,93.31400,92.99400,93.21600,39861,92.96082,92.89981,93.09630,53.48420,43.87968,,,,
2026-03-05T23:00:00+09:00,93.21600,93.22900,92.65300,92.71300,61355,92.96830,92.90587,93.05850,40.93134,44.16822,,,,
2026-03-06T03:00:00+09:00,92.71300,92.95900,92.67100,92.83700,26913,92.97570,92.91191,93.02635,44.39601,44.55233,,,,
2026-03-06T07:00:00+09:00,92.83700,93.10900,92.77400,93.06100,23323,92.98309,92.92165,93.00555,50.09101,45.58818,,,,
2026-03-06T11:00:00+09:00,93.06100,93.19900,93.02700,93.15100,23346,92.99041,92.92964,92.99085,52.20896,46.56227,,,,
2026-03-06T15:00:00+09:00,93.15100,93.25400,92.68900,92.69600,34906,92.99541,92.93008,92.95015,42.41042,47.16434,,,,
2026-03-06T19:00:00+09:00,92.69600,92.84100,92.47700,92.50700,55500,92.99694,92.93219,92.91100,39.12559,46.92840,,,,
2026-03-06T23:00:00+09:00,92.50700,93.07800,92.48500,92.99100,75637,93.00152,92.94477,92.91805,49.83995,47.38730,,,,
2026-03-07T03:00:00+09:00,92.99100,93.20900,92.98300,93.07600,23344,93.00657,92.95376,92.92645,51.45589,47.79109,,,,
2026-03-09T06:00:00+09:00,92.69400,92.91200,92.58100,92.89300,34165,93.00969,92.96341,92.93340,47.87958,47.67994,,,,
2026-03-09T10:00:00+09:00,92.89300,93.34600,92.84500,93.17900,49597,93.01468,92.97305,92.95070,53.33795,47.64157,,,,
2026-03-09T14:00:00+09:00,93.17900,93.40900,93.15300,93.39300,64928,93.02086,92.98771,92.98940,56.96929,48.36720,,,,
2026-03-09T18:00:00+09:00,93.39300,93.67200,93.30800,93.54800,61684,93.02686,93.00076,93.02360,59.43187,49.29692,,,,
