time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,1.36480,1.36736,1.36306,1.36461,45230,1.36907,1.36569,1.36748,41.56251,45.67920,,,,
2026-03-02T11:00:00+09:00,1.36461,1.36590,1.36404,1.36587,32176,1.36896,1.36582,1.36729,46.06471,45.70034,,,,
2026-03-02T15:00:00+09:00,1.36587,1.36867,1.36418,1.36525,57768,1.36884,1.36593,1.36705,44.25783,45.83418,,,,
2026-03-02T19:00:00+09:00,1.36525,1.36852,1.36407,1.36838,47520,1.36873,1.36608,1.36709,54.05567,46.57212,,,,
2026-03-02T23:00:00+09:00,1.36838,1.37188,1.36651,1.37022,77777,1.36864,1.36625,1.36714,58.65626,47.28561,,,,
2026-03-03T03:00:00+09:00,1.37022,1.37116,1.36602,1.36728,42986,1.36854,1.36639,1.36700,50.03501,47.12876,,,,
2026-03-03T07:00:00+09:00,1.36728,1.36772,1.36610,1.36691,24755,1.36843,1.36653,1.36692,49.05777,46.61766,,,,
2026-03-03T11:00:00+09:00,1.36691,1.36800,1.36604,1.36760,41448,1.36833,1.36659,1.36694,50.98054,46.74401,,,,
2026-03-03T15:00:00+09:00,1.36760,1.37106,1.36670,1.37000,64372,1.36824,1.36672,1.36713,57.05259,47.33159,,,,
2026-03-03T19:00:00+09:00,1.37000,1.37218,1.36824,1.37080,74887,1.36814,1.36684,1.36734,58.88100,48.42009,,,,
2026-03-03T23:00:00+09:00,1.37080,1.37529,1.36587,1.36764,155954,1.36803,1.36691,1.36734,49.85270,48.71498,,,,
2026-03-04T03:00:00+09:00,1.36764,1.36857,1.36532,1.36789,63737,1.36791,1.36701,1.36729,50.49936,48.90498,,,,
2026-03-04T07:00:00+09:00,1.36789,1.36998,1.36683,1.36892,34745,1.36781,1.36713,1.36724,53.17829,50.17374,,,,
