time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,0.76680,0.76998,0.76680,0.76841,28426,0.77803,0.77192,0.77242,35.07033,45.32964,,,,
2026-03-02T11:00:00+09:00,0.76841,0.76919,0.76783,0.76883,19625,0.77787,0.77190,0.77217,37.11640,44.76198,,,,
2026-03-02T15:00:00+09:00,0.76883,0.77422,0.76875,0.77213,46933,0.77772,0.77192,0.77210,50.35408,45.37409,,,,
2026-03-02T19:00:00+09:00,0.77213,0.77952,0.77109,0.77826,42003,0.77760,0.77203,0.77241,65.06564,46.79784,,,,
2026-03-02T23:00:00+09:00,0.77826,0.78133,0.77733,0.77833,54411,0.77749,0.77212,0.77262,65.19248,47.72204,,,,
2026-03-03T03:00:00+09:00,0.77833,0.78024,0.77786,0.77874,29733,0.77737,0.77227,0.77281,65.97182,48.66325,,,,
2026-03-03T07:00:00+09:00,0.77874,0.77984,0.77774,0.77913,17231,0.77727,0.77241,0.77314,66.73479,49.43553,,,,
2026-03-03T11:00:00+09:00,0.77913,0.78134,0.77913,0.78134,24761,0.77718,0.77256,0.77360,70.73864,50.94752,,,,
2026-03-03T15:00:00+09:00,0.78134,0.78610,0.78088,0.78581,50743,0.77711,0.77279,0.77433,76.81667,52.76394,,,,
2026-03-03T19:00:00+09:00,0.78581,0.78785,0.78399,0.78530,51539,0.77703,0.77300,0.77500,74.90494,54.68625,,,,
2026-03-03T23:00:00+09:00,0.78530,0.78695,0.78171,0.78287,94377,0.77694,0.77317,0.77544,66.42275,56.00791,,,,
2026-03-04T03:00:00+09:00,0.78287,0.78299,0.78087,0.78175,41762,0.77684,0.77334,0.77583,62.88797,57.63542,,,,
2026-03-04T07:00:00+09:00,0.78175,0.78333,0.78058,0.78217,23329,0.77674,0.77352,0.77618,63.66877,59.64426,,,,
2026-03-04T11:00:00+09:00,0.78217,0.78233,0.78031,0.78186,24321,0.77663,0.77371,0.77661,62.62153,61.68334,,,,
2026-03-04T15:00:00+09:00,0.78186,0.78352,0.77905,0.78342,40695,0.77653,0.77392,0.77709,65.68072,63.86980,,,,
2026-03-04T19:00:00+09:00,0.78342,0.78345,0.77938,0.78064,53097,0.77642,0.77409,0.77747,56.76475,65.27325,,,,
2026-03-04T23:00:00+09:00,0.78064,0.78194,0.77908,0.77983,54991,0.77631,0.77424,0.77782,54.44566,65.56551,,,,
2026-03-05T03:00:00+09:00,0.77983,0.78038,0.77816,0.77816,20018,0.77619,0.77435,0.77820,49.91762,64.48351,,,,
2026-03-05T07:00:00+09:00,0.77816,0.77940,0.77789,0.77929,16170,0.77607,0.77448,0.77872,52.77933,63.59685,,,,
2026-03-05T11:00:00+09:00,0.77929,0.78154,0.77914,0.78150,19634,0.77597,0.77464,0.77939,57.85178,63.01685,,,,
2026-03-05T15:00:00+09:00,0.78150,0.78187,0.77849,0.77894,53160,0.77587,0.77477,0.77991,51.01549,61.89404,,,,
2026-03-05T19:00:00+09:00,0.77894,0.78205,0.77851,0.78142,39308,0.77578,0.77492,0.78054,56.39163,60.86926,,,,
2026-03-05T23:00:00+09:00,0.78142,0.78331,0.77977,0.78240,62039,0.77570,0.77510,0.78106,58.33751,59.54932,,,,
2026-03-06T03:00:00+09:00,0.78240,0.78375,0.78058,0.78087,38636,0.77562,0.77525,0.78119,54.26627,58.07513,,,,
2026-03-06T07:00:00+09:00,0.78087,0.78128,0.78022,0.78054,14974,0.77553,0.77538,0.78130,53.40064,57.14498,,,,
2026-03-06T11:00:00+09:00,0.78054,0.78108,0.78007,0.78103,13663,0.77545,0.77551,0.78141,54.55971,56.55010,,,,
2026-03-06T15:00:00+09:00,0.78103,0.78213,0.77940,0.78204,29355,0.77537,0.77568,0.78156,56.93732,56.06928,,,,
2026-03-06T19:00:00+09:00,0.78204,0.78274,0.77958,0.78172,51151,0.77530,0.77583,0.78158,55.93865,55.59193,,,,
2026-03-06T23:00:00+09:00,0.78172,0.78244,0.77677,0.77753,85552,0.77524,0.77592,0.78116,44.84672,54.10379,,,,
2026-03-07T03:00:00+09:00,0.77753,0.77768,0.77500,0.77501,33187,0.77516,0.77597,0.78065,39.74258,52.88792,,,,
2026-03-09T06:00:00+09:00,0.77881,0.78195,0.77811,0.78173,23875,0.77512,0.77610,0.78059,54.58602,52.89795,,,,
2026-03-09T10:00:00+09:00,0.78173,0.78255,0.78046,0.78066,31850,0.77508,0.77621,0.78054,52.37376,53.07339,,,,
2026-03-09T14:00:00+09:00,0.78066,0.78084,0.77774,0.78037,57659,0.77503,0.77631,0.78045,51.76146,53.00068,,,,
2026-03-09T18:00:00+09:00,0.78037,0.78049,0.77822,0.77961,54698,0.77497,0.77641,0.78034,50.10815,52.44757,,,,
2026-03-09T22:00:00+09:00,0.77961,0.78070,0.77792,0.77895,68033,0.77491,0.77649,0.78011,48.65473,52.27894,,,,
2026-03-10T02:00:00+09:00,0.77895,0.78034,0.77690,0.77694,46635,0.77484,0.77654,0.77993,44.42827,51.42441,,,,
2026-03-10T06:00:00+09:00,0.77694,0.77810,0.77650,0.77711,15267,0.77476,0.77657,0.77979,44.86450,50.46206,,,,
2026-03-10T10:00:00+09:00,0.77711,0.77829,0.77693,0.77798,23826,0.77467,0.77661,0.77978,47.15094,49.95382,,,,
2026-03-10T14:00:00+09:00,0.77798,0.77801,0.77533,0.77617,32512,0.77458,0.77663,0.77963,43.14248,49.22109,,,,
2026-03-10T18:00:00+09:00,0.77617,0.77744,0.77507,0.77586,41410,0.77448,0.77663,0.77934,42.47644,48.35800,,,,
2026-03-10T22:00:00+09:00,0.77586,0.77662,0.77479,0.77566,45890,0.77439,0.77663,0.77918,42.02566,47.29288,,,,
2026-03-11T02:00:00+09:00,0.77566,0.77918,0.77540,0.77788,42622,0.77432,0.77666,0.77900,48.55231,46.76529,,,,
2026-03-11T06:00:00+09:00,0.77788,0.77887,0.77693,0.77854,10758,0.77426,0.77669,0.77881,50.34217,47.15782,,,,
2026-03-11T10:00:00+09:00,0.77854,0.77884,0.77693,0.77702,15739,0.77420,0.77672,0.77862,46.34341,47.62931,,,,
2026-03-11T14:00:00+09:00,0.77702,0.77872,0.77660,0.77768,27507,0.77414,0.77675,0.77847,48.26501,47.17781,,,,
2026-03-11T18:00:00+09:00,0.77768,0.77976,0.77651,0.77934,41758,0.77409,0.77685,0.77839,52.83973,47.21109,,,,
2026-03-11T22:00:00+09:00,0.77934,0.78084,0.77785,0.77969,54572,0.77403,0.77695,0.77827,53.76798,47.35441,,,,
2026-03-12T02:00:00+09:00,0.77969,0.78061,0.77935,0.77990,20620,0.77398,0.77702,0.77818,54.34859,47.65730,,,,
2026-03-12T06:00:00+09:00,0.77990,0.78206,0.77865,0.78123,13831,0.77396,0.77711,0.77837,57.95037,48.32128,,,,
2026-03-12T10:00:00+09:00,0.78123,0.78236,0.78068,0.78215,14996,0.77397,0.77722,0.77872,60.28460,49.45387,,,,
2026-03-12T14:00:00+09:00,0.78215,0.78278,0.78120,0.78202,27352,0.77399,0.77732,0.77874,59.77962,50.51924,,,,
2026-03-12T18:00:00+09:00,0.78202,0.78242,0.78011,0.78206,28767,0.77401,0.77740,0.77881,59.89095,51.42924,,,,
2026-03-12T22:00:00+09:00,0.78206,0.78505,0.78152,0.78446,57642,0.77406,0.77752,0.77901,65.97627,53.06022,,,,
2026-03-13T02:00:00+09:00,0.78446,0.78633,0.78361,0.78591,22693,0.77410,0.77769,0.77933,69.03316,54.95713,,,,
2026-03-13T06:00:00+09:00,0.78591,0.78630,0.78470,0.78507,9645,0.77414,0.77782,0.77963,65.36907,56.62452,,,,
2026-03-13T10:00:00+09:00,0.78507,0.78728,0.78484,0.78675,14509,0.77420,0.77800,0.78012,68.92192,58.07949,,,,
2026-03-13T14:00:00+09:00,0.78675,0.78947,0.78652,0.78857,26366,0.77425,0.77820,0.78070,72.24404,59.64391,,,,
2026-03-13T18:00:00+09:00,0.78857,0.78876,0.78613,0.78702,36994,0.77430,0.77838,0.78115,65.79359,61.03321,,,,
2026-03-13T22:00:00+09:00,0.78702,0.78992,0.78610,0.78973,47763,0.77437,0.77861,0.78183,70.71661,62.63689,,,,
2026-03-14T02:00:00+09:00,0.78973,0.79168,0.78922,0.79081,18502,0.77447,0.77883,0.78257,72.42016,64.03550,,,,
2026-03-16T06:00:00+09:00,0.79081,0.79114,0.78887,0.78904,14925,0.77459,0.77902,0.78324,65.67675,64.88612,,,,
2026-03-16T10:00:00+09:00,0.78904,0.79036,0.78881,0.79036,17256,0.77473,0.77926,0.78387,68.06496,65.86586,,,,
2026-03-16T14:00:00+09:00,0.79036,0.79228,0.78924,0.78947,25342,0.77485,0.77949,0.78441,64.79153,66.35452,,,,
2026-03-16T18:00:00+09:00,0.78947,0.78974,0.78700,0.78777,25895,0.77496,0.77971,0.78495,58.95880,66.25982,,,,
2026-03-16T22:00:00+09:00,0.78777,0.78927,0.78662,0.78787,34055,0.77507,0.77992,0.78546,59.19152,66.21781,,,,
