time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02T07:00:00+09:00,155.94400,156.80800,155.94400,156.21700,69473,155.61409,154.57888,156.10040,57.30316,56.82631,,,,
2026-03-02T11:00:00+09:00,156.21700,156.85500,156.15600,156.83100,56229,155.60293,154.63227,156.14725,65.12380,56.96364,,,,
2026-03-02T15:00:00+09:00,156.83100,157.25000,156.79600,157.00700,82281,155.59128,154.68271,156.20875,66.99025,57.80986,,,,
2026-03-02T19:00:00+09:00,157.00700,157.60300,156.79500,157.52000,57250,155.58221,154.74496,156.30505,71.73794,58.90594,,,,
2026-03-02T23:00:00+09:00,157.52000,157.75000,157.33600,157.36100,74524,155.57520,154.80177,156.34530,68.45178,59.66300,,,,
2026-03-03T03:00:00+09:00,157.36100,157.49200,157.11300,157.34900,45132,155.56897,154.86096,156.37810,68.19787,60.32286,,,,
2026-03-03T07:00:00+09:00,157.34900,157.59600,157.17600,157.28600,42236,155.56389,154.91460,156.42610,66.79700,60.69631,,,,
2026-03-03T11:00:00+09:00,157.28600,157.43400,157.17600,157.39600,47364,155.55874,154.97517,156.47805,68.03176,61.52135,,,,
2026-03-03T15:00:00+09:00,157.39600,157.82200,157.15200,157.67400,76644,155.55533,155.04140,156.57025,70.97000,62.68263,,,,
2026-03-03T19:00:00+09:00,157.67400,157.96700,157.50300,157.80300,80831,155.55219,155.10193,156.66340,72.24480,64.10720,,,,
2026-03-03T23:00:00+09:00,157.80300,157.95400,157.60200,157.83200,111201,155.54935,155.16247,156.75165,72.53677,65.31064,,,,
2026-03-04T03:00:00+09:00,157.83200,157.84400,157.47100,157.68400,56767,155.54363,155.21816,156.82775,68.57223,66.13600,,,,
2026-03-04T07:00:00+09:00,157.68400,157.86100,157.39900,157.58600,49649,155.53902,155.27843,156.88755,65.99991,66.92401,,,,
2026-03-04T11:00:00+09:00,157.58600,157.64300,157.17900,157.56800,43503,155.53370,155.34193,156.96145,65.51379,67.74793,,,,
2026-03-04T15:00:00+09:00,157.56800,157.65400,157.08700,157.19800,64568,155.52669,155.40285,157.02230,56.32945,67.67838,,,,
2026-03-04T19:00:00+09:00,157.19800,157.35000,156.84900,157.29500,81767,155.52128,155.45985,157.09545,57.99210,67.16897,,,,
2026-03-04T23:00:00+09:00,157.29500,157.41400,156.88200,156.97700,79959,155.51519,155.51028,157.14070,51.12065,66.03543,,,,
2026-03-05T03:00:00+09:00,156.97700,157.16900,156.96900,157.04900,31609,155.51034,155.55671,157.18470,52.49319,64.66081,,,,
2026-03-05T07:00:00+09:00,157.04900,157.09600,156.44900,156.76500,38161,155.50346,155.60247,157.22010,46.89903,63.12132,,,,
2026-03-05T11:00:00+09:00,156.76500,157.21500,156.71800,157.19100,46677,155.49908,155.65209,157.27945,54.69781,62.15703,,,,
2026-03-05T15:00:00+09:00,157.19100,157.37500,156.89700,157.15700,88693,155.49644,155.70067,157.32645,54.01595,61.24410,,,,
2026-03-05T19:00:00+09:00,157.15700,157.78200,157.10600,157.76200,51777,155.49574,155.76224,157.37300,62.88275,60.87632,,,,
2026-03-05T23:00:00+09:00,157.76200,157.84700,157.39400,157.68800,74610,155.49455,155.82537,157.40705,61.32514,60.18740,,,,
2026-03-06T03:00:00+09:00,157.68800,157.84800,157.41400,157.55000,54445,155.49268,155.88733,157.40855,58.41901,59.19984,,,,
2026-03-06T07:00:00+09:00,157.55000,157.60200,157.38200,157.47900,43750,155.48991,155.94336,157.41445,56.92437,58.08467,,,,
2026-03-06T11:00:00+09:00,157.47900,157.87700,157.44900,157.84300,34626,155.48845,156.00169,157.43915,62.25599,57.63351,,,,
2026-03-06T15:00:00+09:00,157.84300,157.89900,157.50300,157.86100,47802,155.48801,156.06315,157.46790,62.50315,57.38374,,,,
2026-03-06T19:00:00+09:00,157.86100,158.08700,157.37100,157.87200,82291,155.48687,156.12225,157.49170,62.66406,57.18019,,,,
2026-03-06T23:00:00+09:00,157.87200,158.08800,157.51300,157.80000,107952,155.48721,156.18016,157.49800,60.82426,57.50125,,,,
2026-03-07T03:00:00+09:00,157.80000,157.96300,157.61500,157.75000,46778,155.48675,156.23377,157.49535,59.51744,57.61020,,,,
2026-03-09T06:00:00+09:00,158.04500,158.69300,158.02800,158.64900,64732,155.49021,156.29653,157.53620,71.41103,59.05951,,,,
