"code","name","currency_code","name_en","name_short",sort_order
"AU","オーストラリア","AUD","Australia","豪",140
"BR","ブラジル","BRL","Federative Republic of Brazil","BR",570
"CA","カナダ","CAD","Canada","加",160
"CH","スイス","CHF","Swiss Confederation","CH",520
"CN","中国","CNY","People's Republic of China","中",620
"DE","ドイツ","EUR","Federal Republic of Germany","独",540
"EU","ユーロ","EUR","European Union","EU",120
"FR","フランス","EUR","French Republic","仏",580
"GB","イギリス","GBP","United Kingdom","英",130
"HK","香港","HKD","Hong Kong","港",610
"IN","インド","INR","India","印",500
"JP","日本","JPY","Japan","日",100
"MX","メキシコ","MXN","United Mexican States","MX",590
"NO","ノルウェー","NOK","Kingdom of Norway","NO",560
"NZ","ニュージーランド","NZD","New Zealand","NZ",150
"RU","ロシア","RUB","Russian Federation","露",600
"SE","スウェーデン","SEK","Kingdom of Sweden","SE",530
"SG","シンガポール","SGD","Republic of Singapore","SG",510
"TR","トルコ","TRY","Republic of Turkey","土",550
"US","アメリカ","USD","United States of America","米",110
