"code","country_code","importance","name","description","unit_of_value"
"RBA_RATE","AU","H","豪準備銀行(中央銀行)政策金利発表","","％"
"GDP_Q_QOQ","AU","H","四半期国内総生産(GDP)(前期比)","","％"
"GDP_Q_YOY","AU","H","四半期国内総生産(GDP)(前年同期比)","","％"
"RBA_MIN","AU","M","豪準備銀行(中央銀行)金融政策会合議事要旨公表","",""
"RBA_REPORT","AU","M","豪準備銀行(中央銀行)四半期金融政策報告","",""
"PPI_Q_QOQ","AU","M","四半期卸売物価指数(PPI)(前期比)","","％"
"PPI_Q_YOY","AU","M","四半期卸売物価指数(PPI)(前年同期比)","","％"
"HOUSE_PRICE_Q_QOQ","AU","M","四半期住宅価格指数(前期比)","","％"
"HOUSE_PRICE_Q_YOY","AU","M","四半期住宅価格指数(前年同期比)","","％"
"CPI_Q_QOQ","AU","M","四半期消費者物価(CPI)(前期比)","","％"
"CPI_Q_YOY","AU","M","四半期消費者物価(CPI)(前年同期比)","","％"
"WAGE_Q_QOQ","AU","M","四半期賃金指数(前期比)","","％"
"UNEMP","AU","M","失業率","","％"
"HOUSING_PERMIT_MOM","AU","M","住宅建設許可件数(前月比)","","％"
"RETAIL_MOM","AU","M","小売売上高(前月比)","","％"
"CPI_YOY","AU","M","消費者物価指数(CPI)(前年同月比)","","％"
"NEW_EMP","AU","M","新規雇用者数","","万人"
"BCB_RATE","BR","H","ブラジル中央銀行政策金利","","％"
"GDP_Q_QOQ","BR","H","四半期国内総生産(GDP)(前期比)","","％"
"GDP_Q_YOY","BR","H","四半期国内総生産(GDP)(前年同期比)","","％"
"IPCA_YOY","BR","M","IBGE消費者物価指数(IPCA)(前年同月比)","","％"
"RETAIL_YOY","BR","M","小売売上高(前年同月比)","","％"
"TRADE","BR","M","貿易収支","","億ドル"
"BOC_RATE","CA","H","カナダ銀行政策金利","","％"
"GDP_M_MOM","CA","H","月次国内総生産(GDP)(前月比)","","％"
"GDP_M_YOY","CA","H","月次国内総生産(GDP)(前年同月比)","","％"
"GDP_Q_ANN","CA","H","四半期国内総生産(GDP)(前期比年率)","","％"
"UNEMP","CA","H","失業率","","％"
"NEW_EMP","CA","H","新規雇用者数","","万人"
"RETAIL_EX_AUTO_MOM","CA","M","小売売上高(除自動車)(前月比)","","％"
"RETAIL_MOM","CA","M","小売売上高(前月比)","","％"
"CPI_MOM","CA","M","消費者物価指数(CPI)(前月比)","","％"
"CPI_YOY","CA","M","消費者物価指数(CPI)(前年同月比)","","％"
"SNB_LIBOR","CH","H","スイス国立銀行3カ月物銀行間取引金利誘導目標中心値","","％"
"SNB_RATE","CH","H","スイス国立銀行政策金利","","％"
"GDP_Q_QOQ","CH","M","四半期国内総生産(GDP)(前期比)","","％"
"GDP_Q_YOY","CH","M","四半期国内総生産(GDP)(前年同期比)","","％"
"CPI_MOM","CH","M","消費者物価指数(CPI)(前月比)","","％"
"GDP_Q_QOQ","CN","H","四半期国内総生産(GDP)(前期比)","","％"
"GDP_Q_YOY","CN","H","四半期国内総生産(GDP)(前年同期比)","","％"
"PMI_SVC_CAIXIN","CN","M","Caixinサービス部門購買担当者景気指数(PMI)","",""
"PMI_MFG_CAIXIN","CN","M","Caixin製造業購買担当者景気指数(PMI)","",""
"IPI_YOY","CN","M","鉱工業生産(前年同月比)","","％"
"RETAIL_YOY","CN","M","小売売上高(前年同月比)","","％"
"CPI_YOY","CN","M","消費者物価指数(CPI)(前年同月比)","","％"
"PPI_YOY","CN","M","生産者物価指数(PPI)(前年同月比)","","％"
"PMI_MFG","CN","M","製造業購買担当者景気指数(PMI)","",""
"TRADE_CNY","CN","M","貿易収支(人民元)","","億元"
"TRADE_USD","CN","M","貿易収支(米ドル)","","億ドル"
"GDP_R_QOQ","DE","H","国内総生産(GDP改定値)(前期比)","","％"
"GDP_R_YOY","DE","H","国内総生産(GDP改定値)(前年同期比)","","％"
"GDP_R_NSA_YOY","DE","H","国内総生産(GDP改定値季調前)(前年同期比)","","％"
"GDP_F_QOQ","DE","H","国内総生産(GDP速報値)(前期比)","","％"
"GDP_F_YOY","DE","H","国内総生産(GDP速報値)(前年同期比)","","％"
"GDP_F_NSA_YOY","DE","H","国内総生産(GDP速報値季調前)(前年同期比)","","％"
"IFO","DE","M","IFO企業景況感指数","",""
"ZEW_EXP","DE","M","ZEW景況感調査(期待指数)","",""
"PMI_SVC_R","DE","M","サービス部門購買担当者景気指数(PMI改定値)","",""
"PMI_SVC_F","DE","M","サービス部門購買担当者景気指数(PMI速報値)","",""
"IPI_MOM","DE","M","鉱工業生産(前月比)","","％"
"IPI_YOY","DE","M","鉱工業生産(前年同月比)","","％"
"UNEMP_CHANGE_MOM","DE","M","失業者数(前月比)","","万人"
"UNEMP","DE","M","失業率","","％"
"RETAIL_MOM","DE","M","小売売上高(前月比)","","％"
"RETAIL_YOY","DE","M","小売売上高(前年同月比)","","％"
"CPI_R_MOM","DE","M","消費者物価指数(CPI改定値)(前月比)","","％"
"CPI_R_YOY","DE","M","消費者物価指数(CPI改定値)(前年同月比)","","％"
"CPI_F_MOM","DE","M","消費者物価指数(CPI速報値)(前月比)","","％"
