"symbol","symbol_type","name",valid_scale,target_volatility,sort_order
"USDJPY","Trade","ドル円",3,0.50000,100
"EURJPY","Trade","ユーロ円",3,0.50000,200
"EURUSD","Trade","ユーロドル",5,0.00500,210
"GBPJPY","Trade","ボンド円",3,0.50000,300
"GBPUSD","Trade","ポンドドル",5,0.00500,310
"AUDJPY","Trade","豪ドル円",3,0.50000,400
"AUDUSD","Trade","豪ドルドル",5,0.00500,410
"NZDJPY","Trade","キウイ円",3,0.50000,500
"NZDUSD","Trade","キウイドル",5,0.00500,510
"CADJPY","Trade","カナダドル円",3,0.50000,600
"USDCAD","Trade","ドルカナダ",5,0.00500,610
"CHFJPY","Trade","スイスフラン円",3,0.50000,700
"USDCHF","Trade","スイスフランドル",5,0.00500,710
"EURGBP","Trade","ユーロポンド",5,0.00500,800
"DXY","Analyze","US Dollar currency index",3,0.50000,1000
"US10Y","Analyze","米国債10年",3,0.50000,1100
"WTI","Analyze","原油価格",3,0.50000,1200
"VIX","Analyze","恐怖指数",3,0.50000,1300
