symbol,depth,wave_start,wave_end,wave,resistance,support,previous_wave_start,previous_wave,wave_memo
AUDJPY,12,"2026-02-28 05:45:00","2026-03-02 07:00:00",-1,111.16800,109.67500,"2026-02-28 00:45:00",4,BSU_DW1
AUDJPY,12,"2026-02-28 00:45:00","2026-02-28 05:45:00",4,111.29800,110.64300,"2026-02-27 22:30:00",3,BS1_RV1
AUDJPY,12,"2026-02-27 22:30:00","2026-02-28 00:45:00",3,111.29800,110.64300,"2026-02-27 16:45:00",2,BSD_UP1
AUDJPY,12,"2026-02-27 16:45:00","2026-02-27 22:30:00",2,111.22700,110.64300,"2026-02-27 09:45:00",1,BR1_UP2
AUDJPY,12,"2026-02-27 09:45:00","2026-02-27 16:45:00",1,111.22700,110.50700,"2026-02-27 00:15:00",-4,BSD_UP1
AUDUSD,12,"2026-02-28 05:30:00","2026-03-02 07:00:00",-3,0.71220,0.70315,"2026-02-27 22:30:00",-2,BSU_DW1
AUDUSD,12,"2026-02-27 22:30:00","2026-02-28 05:30:00",-2,0.71321,0.70864,"2026-02-27 14:15:00",-1,BS1_DW2
AUDUSD,12,"2026-02-27 14:15:00","2026-02-27 22:30:00",-1,0.71321,0.70864,"2026-02-27 09:45:00",1,BSU_DW1
AUDUSD,12,"2026-02-27 09:45:00","2026-02-27 14:15:00",1,0.71321,0.70962,"2026-02-27 00:15:00",-6,BSD_UP1
AUDUSD,12,"2026-02-27 00:15:00","2026-02-27 09:45:00",-6,0.71242,0.70668,"2026-02-26 22:15:00",-5,BR1_RV1
CADJPY,12,"2026-02-27 20:15:00","2026-02-28 02:15:00",5,114.54200,113.99000,"2026-02-25 22:15:00",4,BSD_UP1
CADJPY,12,"2026-02-25 22:15:00","2026-02-27 20:15:00",4,114.50200,113.75000,"2026-02-25 15:00:00",3,BR1_UP2
CADJPY,12,"2026-02-25 15:00:00","2026-02-25 22:15:00",3,114.50200,113.70300,"2026-02-24 17:15:00",2,BSD_UP1
CADJPY,12,"2026-02-24 17:15:00","2026-02-25 15:00:00",2,114.04300,113.50300,"2026-02-24 07:15:00",1,BR1_UP2
CADJPY,12,"2026-02-24 07:15:00","2026-02-24 17:15:00",1,114.04300,112.80900,"2026-02-24 02:00:00",-6,BSD_UP1
CHFJPY,12,"2026-02-28 06:45:00","2026-03-02 09:00:00",3,203.65100,202.70500,"2026-02-28 00:30:00",2,BSD_UP1
CHFJPY,12,"2026-02-28 00:30:00","2026-02-28 06:45:00",2,203.38600,202.70500,"2026-02-27 20:30:00",1,BR1_UP2
CHFJPY,12,"2026-02-27 20:30:00","2026-02-28 00:30:00",1,203.38600,201.72500,"2026-02-26 20:30:00",-2,BSD_UP1
CHFJPY,12,"2026-02-26 20:30:00","2026-02-27 20:30:00",-2,202.23200,201.21200,"2026-02-26 16:15:00",-1,BR1_RV1
CHFJPY,12,"2026-02-26 16:15:00","2026-02-26 20:30:00",-1,202.23200,201.21200,"2026-02-26 00:15:00",8,BSU_DW1
EURGBP,12,"2026-02-27 18:45:00","2026-02-28 02:00:00",5,0.87892,0.87458,"2026-02-27 16:00:00",4,BSD_UP1
EURGBP,12,"2026-02-27 16:00:00","2026-02-27 18:45:00",4,0.87647,0.87458,"2026-02-27 07:00:00",3,BR1_UP2
EURGBP,12,"2026-02-27 07:00:00","2026-02-27 16:00:00",3,0.87647,0.87404,"2026-02-27 03:00:00",2,BSD_UP1
EURGBP,12,"2026-02-27 03:00:00","2026-02-27 07:00:00",2,0.87581,0.87404,"2026-02-26 20:15:00",1,BR1_UP2
EURGBP,12,"2026-02-26 20:15:00","2026-02-27 03:00:00",1,0.87581,0.87146,"2026-02-26 17:30:00",-1,BSD_UP1
